# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0.0313893 0.00428707
15 1.45 1.4253 0.228911
16 1.55 3.37508 0.836736
17 1.65 0.798837 0.999775
18 1.75 0.0928944 1.02111
19 1.85 0.231504 1.08051
20 1.95 0.5041 1.22421
21 2.05 0.86409 1.49643
22 2.15 1.1601 1.89838
23 2.25 1.2831 2.38525
24 2.35 1.26266 2.90787
25 2.45 1.16594 3.4324
26 2.55 1.0556 3.94683
27 2.65 0.948233 4.44587
28 2.75 0.851091 4.92823
29 2.85 0.774772 5.39985
30 2.95 0.730146 5.87606
31 3.05 0.715625 6.37499
32 3.15 0.737955 6.92379
33 3.25 0.789589 7.54886
34 3.35 0.863748 8.27537
35 3.45 0.945615 9.11892
36 3.55 1.0237 10.0858
37 3.65 1.08323 11.1674
38 3.75 1.11066 12.338
39 3.85 1.11557 13.5772
40 3.95 1.1063 14.8708
41 4.05 1.092 16.2131
42 4.15 1.07562 17.6014
43 4.25 1.06059 19.0371
44 4.35 1.0478 20.523
45 4.45 1.03831 22.064
46 4.55 1.03417 23.6685
47 4.65 1.02985 25.3373
48 4.75 1.02859 27.0765
49 4.85 1.02627 28.8856
50 4.95 1.02184 30.762
51 5.05 1.01464 32.7011
52 5.15 1.00748 34.7036
53 5.25 1.00093 36.7711
54 5.35 0.996156 38.9079
55 5.45 0.993197 41.1187
56 5.55 0.989951 43.4039
57 5.65 0.988014 45.7675
58 5.75 0.987711 48.2147
59 5.85 0.985862 50.7431
60 5.95 0.987097 53.3619
61 6.05 0.987143 56.0696
62 6.15 0.984276 58.8595
63 6.25 0.983153 61.7375
64 6.35 0.983169 64.7084
65 6.45 0.984033 67.7764
66 6.55 0.985812 70.9459
67 6.65 0.985812 74.213
68 6.75 0.988468 77.5882
69 6.85 0.99021 81.0702
70 6.95 0.991635 84.6598
71 7.05 0.99596 88.3695
72 7.15 0.999692 92.1995
73 7.25 1.00279 96.1496
74 7.35 1.00528 100.22
75 7.45 1.00901 104.416
76 7.55 1.01149 108.737
77 7.65 1.01223 113.177
78 7.75 1.01538 117.747
79 7.85 1.01498 122.434
80 7.95 1.01369 127.236
81 8.05 1.01308 132.156
82 8.15 1.01118 137.189
83 8.25 1.00835 142.332
84 8.35 1.00593 147.588
85 8.45 1.00344 152.958
86 8.55 1.00161 158.445
87 8.65 1.00102 164.058
88 8.75 0.999208 169.791
89 8.85 0.997962 175.648
90 8.95 0.997164 181.634
91 9.05 0.99588 187.747
92 9.15 0.995516 193.993
93 9.25 0.995473 200.376
94 9.35 0.995534 206.898
95 9.45 0.994757 213.555
96 9.55 0.994764 220.354
97 9.65 0.99609 227.305
98 9.75 0.996622 234.405
99 9.85 0.998026 241.662
100 9.95 0.999856 249.08
