# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0.030814 0.00423141
15 1.45 1.3921 0.224838
16 1.55 3.35845 0.833049
17 1.65 0.810739 0.999427
18 1.75 0.0925478 1.02079
19 1.85 0.231753 1.08058
20 1.95 0.504956 1.22531
21 2.05 0.861564 1.4982
22 2.15 1.15793 1.90161
23 2.25 1.28255 2.39096
24 2.35 1.2632 2.9167
25 2.45 1.15823 3.44067
26 2.55 1.0461 3.95333
27 2.65 0.93716 4.44931
28 2.75 0.841009 4.92863
29 2.85 0.759853 5.39375
30 2.95 0.715573 5.86306
31 3.05 0.706083 6.35807
32 3.15 0.731543 6.90511
33 3.25 0.790055 7.534
34 3.35 0.864579 8.26522
35 3.45 0.946851 9.11453
36 3.55 1.02663 10.0895
37 3.65 1.08702 11.1809
38 3.75 1.11384 12.3613
39 3.85 1.11799 13.6101
40 3.95 1.10831 14.9132
41 4.05 1.09413 16.2657
42 4.15 1.07747 17.6641
43 4.25 1.0592 19.1059
44 4.35 1.04477 20.5958
45 4.45 1.03677 22.143
46 4.55 1.03318 23.7548
47 4.65 1.03121 25.4352
48 4.75 1.03163 27.1892
49 4.85 1.02772 29.011
50 4.95 1.02292 30.8998
51 5.05 1.0181 32.8565
52 5.15 1.01262 34.8804
53 5.25 1.00736 36.9728
54 5.35 1.0023 39.1347
55 5.45 0.996702 41.3656
56 5.55 0.991892 43.668
57 5.65 0.98774 46.0441
58 5.75 0.984658 48.4973
59 5.85 0.983786 51.0344
60 5.95 0.98341 53.6579
61 6.05 0.982737 56.3685
62 6.15 0.982579 59.1691
63 6.25 0.98115 62.0573
64 6.35 0.982096 65.0415
65 6.45 0.981889 68.1198
66 6.55 0.983113 71.2982
67 6.65 0.984415 74.5788
68 6.75 0.986066 77.9644
69 6.85 0.98896 81.4613
70 6.95 0.993318 85.0769
71 7.05 0.996775 88.8102
72 7.15 1.00044 92.6643
73 7.25 1.00315 96.6377
74 7.35 1.00549 100.731
75 7.45 1.00839 104.949
76 7.55 1.00994 109.287
77 7.65 1.00941 113.738
78 7.75 1.00961 118.308
79 7.85 1.01061 123.001
80 7.95 1.01089 127.816
81 8.05 1.01144 132.755
82 8.15 1.01148 137.817
83 8.25 1.011 143.003
84 8.35 1.01011 148.31
85 8.45 1.00773 153.732
86 8.55 1.00596 159.274
87 8.65 1.00363 164.933
88 8.75 1.00198 170.714
89 8.85 1.00026 176.617
90 8.95 0.998166 182.642
91 9.05 0.996543 188.793
92 9.15 0.995825 195.076
93 9.25 0.995724 201.496
94 9.35 0.994799 208.05
95 9.45 0.994984 214.745
96 9.55 0.993665 221.575
97 9.65 0.995 228.557
98 9.75 0.995876 235.691
99 9.85 0.996918 242.98
100 9.95 0.997118 250.418
