# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0.0283425 0.00389133
15 1.45 1.39662 0.225117
16 1.55 3.3702 0.835266
17 1.65 0.801868 0.999797
18 1.75 0.0936458 1.02141
19 1.85 0.229954 1.08073
20 1.95 0.50224 1.22466
21 2.05 0.858425 1.49651
22 2.15 1.14964 1.89696
23 2.25 1.28268 2.38626
24 2.35 1.2666 2.9133
25 2.45 1.1688 3.4419
26 2.55 1.04635 3.95449
27 2.65 0.937214 4.4503
28 2.75 0.842092 4.93009
29 2.85 0.763924 5.39759
30 2.95 0.718154 5.86847
31 3.05 0.70435 6.36215
32 3.15 0.729231 6.90736
33 3.25 0.787495 7.53409
34 3.35 0.86109 8.2622
35 3.45 0.942432 9.10737
36 3.55 1.02273 10.0785
37 3.65 1.08511 11.1677
38 3.75 1.11474 12.3487
39 3.85 1.1208 13.6004
40 3.95 1.11301 14.9087
41 4.05 1.09674 16.2641
42 4.15 1.07982 17.6652
43 4.25 1.06288 19.1117
44 4.35 1.05089 20.6099
45 4.45 1.04248 22.1652
46 4.55 1.03486 23.7793
47 4.65 1.03241 25.4611
48 4.75 1.02893 27.2102
49 4.85 1.02804 29.032
50 4.95 1.02484 30.9238
51 5.05 1.01737 32.8785
52 5.15 1.0136 34.9038
53 5.25 1.00688 36.9945
54 5.35 0.998401 39.1474
55 5.45 0.994276 41.3724
56 5.55 0.990083 43.67
57 5.65 0.985937 46.0412
58 5.75 0.985118 48.495
59 5.85 0.985041 51.0347
60 5.95 0.984102 53.6595
61 6.05 0.982969 56.3701
62 6.15 0.982654 59.1702
63 6.25 0.982013 62.0602
64 6.35 0.981592 65.0421
65 6.45 0.984558 68.1278
66 6.55 0.984995 71.3115
67 6.65 0.984175 74.5904
68 6.75 0.985702 77.9739
69 6.85 0.988804 81.4694
70 6.95 0.992357 85.0807
71 7.05 0.996803 88.8133
72 7.15 0.999645 92.6635
73 7.25 1.0036 96.6379
74 7.35 1.00771 100.739
75 7.45 1.01035 104.964
76 7.55 1.01109 109.306
77 7.65 1.01289 113.772
78 7.75 1.0135 118.358
79 7.85 1.01422 123.066
80 7.95 1.01368 127.893
81 8.05 1.01227 132.835
82 8.15 1.01029 137.891
83 8.25 1.00903 143.065
84 8.35 1.00793 148.359
85 8.45 1.00687 153.775
86 8.55 1.0049 159.309
87 8.65 1.00329 164.965
88 8.75 1.00146 170.741
89 8.85 0.999462 176.639
90 8.95 0.998074 182.662
91 9.05 0.99705 188.814
92 9.15 0.995475 195.093
93 9.25 0.995362 201.509
94 9.35 0.995495 208.066
95 9.45 0.994278 214.755
96 9.55 0.995764 221.597
97 9.65 0.994854 228.576
98 9.75 0.995515 235.706
99 9.85 0.996853 242.993
100 9.95 0.998628 250.441
