# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0.0279734 0.00382249
15 1.45 1.39999 0.22453
16 1.55 3.39353 0.835977
17 1.65 0.802704 0.999882
18 1.75 0.0907632 1.02073
19 1.85 0.229926 1.07975
20 1.95 0.508022 1.22463
21 2.05 0.871 1.49915
22 2.15 1.16426 1.90276
23 2.25 1.29092 2.39282
24 2.35 1.26718 2.91755
25 2.45 1.16747 3.44299
26 2.55 1.05123 3.95552
27 2.65 0.936837 4.4488
28 2.75 0.84026 4.92524
29 2.85 0.765416 5.39138
30 2.95 0.717634 5.85964
31 3.05 0.706492 6.35243
32 3.15 0.731457 6.89667
33 3.25 0.785562 7.51885
34 3.35 0.85983 8.2424
35 3.45 0.945659 9.08642
36 3.55 1.02409 10.0542
37 3.65 1.08503 11.1381
38 3.75 1.11576 12.3146
39 3.85 1.12134 13.5609
40 3.95 1.10913 14.8584
41 4.05 1.09712 16.2078
42 4.15 1.08056 17.6031
43 4.25 1.0652 19.0458
44 4.35 1.05018 20.5358
45 4.45 1.03851 22.0778
46 4.55 1.0325 23.6805
47 4.65 1.02931 25.3492
48 4.75 1.02841 27.089
49 4.85 1.02897 28.9037
50 4.95 1.02551 30.7877
51 5.05 1.01818 32.7346
52 5.15 1.01154 34.7462
53 5.25 1.005 36.823
54 5.35 0.997886 38.9644
55 5.45 0.994454 41.1791
56 5.55 0.991635 43.4692
57 5.65 0.988805 45.8358
58 5.75 0.985131 48.2778
59 5.85 0.983704 50.8019
60 5.95 0.982511 53.4098
61 6.05 0.982274 56.1055
62 6.15 0.982337 58.8912
63 6.25 0.98444 61.7743
64 6.35 0.984412 64.7504
65 6.45 0.984519 67.8213
66 6.55 0.986163 70.9935
67 6.65 0.986316 74.2639
68 6.75 0.987093 77.636
69 6.85 0.989235 81.1162
70 6.95 0.99165 84.7076
71 7.05 0.994769 88.4148
72 7.15 0.998231 92.241
73 7.25 1.00113 96.1865
74 7.35 1.00573 100.26
75 7.45 1.00874 104.458
76 7.55 1.01045 108.776
77 7.65 1.01199 113.217
78 7.75 1.01355 117.781
79 7.85 1.01371 122.465
80 7.95 1.01307 127.265
81 8.05 1.01097 132.177
82 8.15 1.00991 137.206
83 8.25 1.00843 142.352
84 8.35 1.00776 147.621
85 8.45 1.00571 153.005
86 8.55 1.00325 158.503
87 8.65 1.0009 164.118
88 8.75 0.999639 169.857
89 8.85 0.997712 175.715
90 8.95 0.996456 181.7
91 9.05 0.994917 187.809
92 9.15 0.994108 194.05
93 9.25 0.993387 200.422
94 9.35 0.993058 206.931
95 9.45 0.9938 213.585
96 9.55 0.994718 220.387
97 9.65 0.995697 227.339
98 9.75 0.996596 234.442
99 9.85 0.997647 241.699
100 9.95 0.999299 249.117
