# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myNaO[1] c_myNaO[2] c_myNaO[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0.00026951 2.5e-05
25 2.45 0.000247891 5e-05
26 2.55 0.00296395 0.000375
27 2.65 0.0119928 0.0018
28 2.75 0.0407309 0.007025
29 2.85 21.723 3.00752
30 2.95 4.87618 3.72912
31 3.05 1.71016 3.99965
32 3.15 0.00207397 4
33 3.25 0 4
34 3.35 0 4
35 3.45 0 4
36 3.55 0 4
37 3.65 0 4
38 3.75 0 4
39 3.85 0 4
40 3.95 0 4
41 4.05 0 4
42 4.15 0 4
43 4.25 0 4
44 4.35 0 4
45 4.45 7.4186e-05 4.00002
46 4.55 0.00220042 4.0008
47 4.65 0.0350625 4.0137
48 4.75 0.750807 4.30178
49 4.85 1.52937 4.91345
50 4.95 0.155226 4.97813
51 5.05 0.0355708 4.99355
52 5.15 0.0119746 4.99895
53 5.25 0.00229582 5.00002
54 5.35 0.229118 5.1116
55 5.45 3.72659 6.9937
56 5.55 0.0063242 6.997
57 5.65 0.00494973 6.99967
58 5.75 0.00321689 7.00148
59 5.85 0.000777061 7.00192
60 5.95 0.000666599 7.00232
61 6.05 0.00257129 7.00392
62 6.15 0.192718 7.12788
63 6.25 1.21466 7.93465
64 6.35 0.261097 8.1137
65 6.45 0.661424 8.5817
66 6.55 4.14082 11.6024
67 6.65 3.76774 14.4355
68 6.75 1.95201 15.9477
69 6.85 0.655939 16.4712
70 6.95 1.90922 18.0393
71 7.05 2.07563 19.7933
72 7.15 0.365993 20.1115
73 7.25 1.0045 21.0094
74 7.35 2.24319 23.0698
75 7.45 1.15417 24.1591
76 7.55 0.738146 24.8746
77 7.65 1.66547 26.5318
78 7.75 0.559612 27.1032
79 7.85 0.982252 28.1324
80 7.95 0.723827 28.9103
81 8.05 0.234201 29.1684
82 8.15 0.384278 29.6025
83 8.25 1.87006 31.7666
84 8.35 2.02452 34.1668
85 8.45 0.820713 35.1634
86 8.55 0.677665 36.0056
87 8.65 0.207526 36.2696
88 8.75 0.614933 37.0702
89 8.85 1.80835 39.4785
90 8.95 1.37826 41.3557
91 9.05 1.21201 43.0436
92 9.15 1.50439 45.1852
93 9.25 0.60708 46.0684
94 9.35 0.385261 46.6411
95 9.45 1.60186 49.0734
96 9.55 1.0084 50.6372
97 9.65 1.14225 52.4459
98 9.75 1.07422 54.1823
99 9.85 1.87072 57.2683
100 9.95 0.472796 58.0643
