# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myOO[1] c_myOO[2] c_myOO[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 3.06555e-05 1.07066e-07
6 0.55 0.00020646 1.17773e-06
7 0.65 0.012903 9.45396e-05
8 0.75 8.0366 0.0776293
9 0.85 2.02325 0.102703
10 0.95 0.0156071 0.102944
11 1.05 0.000289896 0.102949
12 1.15 3.33514e-05 0.10295
13 1.25 4.83199e-05 0.102951
14 1.35 0.000320271 0.102961
15 1.45 0.017111 0.103576
16 1.55 1.2369 0.154482
17 1.65 2.87833 0.288752
18 1.75 1.64932 0.375295
19 1.85 0.191773 0.386538
20 1.95 0.0518297 0.389913
21 2.05 0.170459 0.402183
22 2.15 0.373199 0.43174
23 2.25 0.278675 0.455908
24 2.35 0.376256 0.491502
25 2.45 0.645425 0.557857
26 2.55 1.38665 0.71232
27 2.65 1.85695 0.93572
28 2.75 1.35332 1.11103
29 2.85 1.10951 1.2654
30 2.95 0.993463 1.41349
31 3.05 1.1801 1.60157
32 3.15 1.30548 1.82347
33 3.25 1.30241 2.05911
34 3.35 0.78571 2.21013
35 3.45 0.613184 2.33514
36 3.55 0.429157 2.42775
37 3.65 0.379593 2.51436
38 3.75 0.346517 2.59782
39 3.85 0.392794 2.69757
40 3.95 0.414095 2.80822
41 4.05 0.52067 2.95454
42 4.15 0.504029 3.1032
43 4.25 0.573008 3.28045
44 4.35 0.721885 3.51444
45 4.45 0.793923 3.78372
46 4.55 0.808557 4.07042
47 4.65 0.888731 4.39956
48 4.75 0.957683 4.76966
49 4.85 1.09093 5.20924
50 4.95 1.08646 5.66528
51 5.05 1.08254 6.13812
52 5.15 1.17502 6.67197
53 5.25 1.16972 7.2242
54 5.35 1.09239 7.75975
55 5.45 1.1366 8.33804
56 5.55 1.16839 8.95449
57 5.65 1.13009 9.5724
58 5.75 1.08944 10.1893
59 5.85 1.13471 10.8543
60 5.95 1.2254 11.5974
61 6.05 1.20778 12.3546
62 6.15 1.17691 13.1171
63 6.25 1.08954 13.846
64 6.35 1.11977 14.6195
65 6.45 1.10607 15.4077
66 6.55 1.09827 16.2148
67 6.65 1.03609 16.9996
68 6.75 1.0039 17.783
69 6.85 0.998992 18.586
70 6.95 1.01149 19.4228
71 7.05 0.970266 20.2488
72 7.15 0.949515 21.0803
73 7.25 0.963464 21.9478
74 7.35 0.956793 22.8331
75 7.45 0.957467 23.7433
76 7.55 0.980296 24.7005
77 7.65 0.972167 25.675
78 7.75 0.989951 26.6934
79 7.85 0.999147 27.7479
80 7.95 1.01745 28.8494
81 8.05 0.987783 29.9458
82 8.15 0.979896 31.0605
83 8.25 1.01801 32.2473
84 8.35 1.0095 33.4529
85 8.45 0.991576 34.6655
86 8.55 0.986609 35.9009
87 8.65 1.00768 37.1924
88 8.75 1.03188 38.5457
89 8.85 0.983229 39.8647
90 8.95 0.974045 41.2012
91 9.05 0.958148 42.5452
92 9.15 0.968446 43.934
93 9.25 0.984793 45.3772
94 9.35 0.97978 46.8443
95 9.45 0.977227 48.339
96 9.55 0.965977 49.8479
97 9.65 0.998624 51.4407
98 9.75 0.996984 53.064
99 9.85 1.02432 54.7662
100 9.95 1.01757 56.4918
