# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myOO[1] c_myOO[2] c_myOO[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 4.17697e-05 2.14133e-07
7 0.65 0.000998033 7.28051e-06
8 0.75 4.25016 0.0404545
9 0.85 2.99506 0.0770736
10 0.95 0.000989201 0.0770887
11 1.05 0.000109903 0.0770907
12 1.15 0.000115756 0.0770933
13 1.25 0.000338599 0.0771021
14 1.35 0.00154662 0.0771497
15 1.45 0.0404965 0.0785877
16 1.55 0.677109 0.106079
17 1.65 2.58863 0.225217
18 1.75 1.83174 0.320031
19 1.85 0.303794 0.337602
20 1.95 0.0986669 0.343943
21 2.05 0.154914 0.354946
22 2.15 0.485726 0.392889
23 2.25 0.395564 0.426721
24 2.35 0.561363 0.479128
25 2.45 0.608727 0.540871
26 2.55 1.52803 0.708819
27 2.65 1.66271 0.906139
28 2.75 1.29981 1.07226
29 2.85 1.10794 1.22433
30 2.95 0.952847 1.36447
31 3.05 1.21868 1.55609
32 3.15 1.47251 1.80303
33 3.25 1.135 2.00564
34 3.35 0.799381 2.15726
35 3.45 0.523613 2.26256
36 3.55 0.387575 2.34509
37 3.65 0.347766 2.42338
38 3.75 0.32317 2.50016
39 3.85 0.312428 2.57841
40 3.95 0.347204 2.66994
41 4.05 0.464665 2.79874
42 4.15 0.603275 2.97432
43 4.25 0.663176 3.17675
44 4.35 0.703948 3.40184
45 4.45 0.810898 3.67317
46 4.55 0.877188 3.98002
47 4.65 0.981183 4.33855
48 4.75 1.02776 4.7304
49 4.85 1.08056 5.15996
50 4.95 1.16123 5.64084
51 5.05 1.08393 6.108
52 5.15 1.07412 6.58937
53 5.25 1.05161 7.07915
54 5.35 1.10507 7.61367
55 5.45 1.17695 8.20444
56 5.55 1.26073 8.86074
57 5.65 1.24209 9.53079
58 5.75 1.23896 10.223
59 5.85 1.15487 10.8909
60 5.95 1.13084 11.5674
61 6.05 1.07133 12.2301
62 6.15 1.04416 12.8975
63 6.25 1.12797 13.6421
64 6.35 1.09668 14.3894
65 6.45 1.02891 15.1127
66 6.55 1.00242 15.8395
67 6.65 0.997418 16.5849
68 6.75 0.992527 17.3491
69 6.85 0.96269 18.1124
70 6.95 1.00099 18.9295
71 7.05 1.02599 19.7913
72 7.15 1.03104 20.682
73 7.25 0.987239 21.5589
74 7.35 0.994743 22.467
75 7.45 0.98991 23.3954
76 7.55 0.990904 24.3499
77 7.65 0.982288 25.3214
78 7.75 0.956179 26.2918
79 7.85 0.977068 27.3092
80 7.95 1.01247 28.3906
81 8.05 1.01729 29.5045
82 8.15 1.01775 30.6468
83 8.25 1.00745 31.8055
84 8.35 1.01499 33.0015
85 8.45 1.00088 34.2092
86 8.55 0.994507 35.4378
87 8.65 0.987077 36.6858
88 8.75 1.0092 37.9915
89 8.85 0.96601 39.2699
90 8.95 0.983606 40.6012
91 9.05 0.973445 41.9484
92 9.15 0.974742 43.3274
93 9.25 0.992151 44.762
94 9.35 1.00339 46.2444
95 9.45 0.989126 47.7371
96 9.55 0.948744 49.1994
97 9.65 0.958883 50.7082
98 9.75 0.991324 52.3006
99 9.85 0.991215 53.9259
100 9.95 0.976018 55.5588
