# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 3.72365e-05 7.64361e-07
13 1.25 2.30743 0.0559559
14 1.35 0.458953 0.0689365
15 1.45 0.603743 0.0886345
16 1.55 1.36689e-05 0.088635
17 1.65 0 0.088635
18 1.75 0 0.088635
19 1.85 0 0.088635
20 1.95 0 0.088635
21 2.05 0 0.088635
22 2.15 0 0.088635
23 2.25 0.000116489 0.0886441
24 2.35 0.0297343 0.0911916
25 2.45 0.103753 0.100853
26 2.55 0.588914 0.160262
27 2.65 4.82207 0.685598
28 2.75 6.7701 1.47987
29 2.85 5.62876 2.18913
30 2.95 4.29799 2.76938
31 3.05 2.93403 3.19279
32 3.15 1.94888 3.49278
33 3.25 1.65859 3.76455
34 3.35 1.60667 4.04426
35 3.45 1.26033 4.27697
36 3.55 1.21184 4.51388
37 3.65 1.36553 4.79609
38 3.75 1.59721 5.14452
39 3.85 1.86873 5.57421
40 3.95 2.15246 6.09517
41 4.05 2.42116 6.71123
42 4.15 2.64785 7.41864
43 4.25 2.82492 8.21016
44 4.35 2.92644 9.06917
45 4.45 2.95103 9.97568
46 4.55 2.92112 10.9138
47 4.65 2.84244 11.8672
48 4.75 2.7481 12.829
49 4.85 2.64411 13.7938
50 4.95 2.5337 14.7568
51 5.05 2.43602 15.7205
52 5.15 2.33731 16.6822
53 5.25 2.24094 17.6403
54 5.35 2.15391 18.5966
55 5.45 2.08766 19.5585
56 5.55 2.04169 20.5341
57 5.65 2.00712 21.528
58 5.75 1.98487 22.5459
59 5.85 1.98346 23.5989
60 5.95 1.99826 24.6963
61 6.05 2.03255 25.8503
62 6.15 2.08011 27.0707
63 6.25 2.13869 28.3666
64 6.35 2.20839 29.7479
65 6.45 2.26407 31.209
66 6.55 2.31741 32.7513
67 6.65 2.35552 34.3671
68 6.75 2.38003 36.0493
69 6.85 2.3925 37.7907
70 6.95 2.39208 39.583
71 7.05 2.3713 41.4112
72 7.15 2.35269 43.2769
73 7.25 2.32754 45.1747
74 7.35 2.30488 47.1062
75 7.45 2.28186 49.0707
76 7.55 2.26459 51.0731
77 7.65 2.25396 53.1193
78 7.75 2.2521 55.2175
79 7.85 2.25134 57.3696
80 7.95 2.25632 59.5816
81 8.05 2.2629 61.8563
82 8.15 2.2736 64.1989
83 8.25 2.28323 66.6095
84 8.35 2.28921 69.0854
85 8.45 2.29377 71.6259
86 8.55 2.30086 74.235
87 8.65 2.29793 76.9021
88 8.75 2.29608 79.629
89 8.85 2.2905 82.4118
90 8.95 2.2825 85.2479
91 9.05 2.27052 88.1325
92 9.15 2.25795 91.0649
93 9.25 2.24622 94.0461
94 9.35 2.23807 97.0811
95 9.45 2.22701 100.166
96 9.55 2.22063 103.308
97 9.65 2.21546 106.508
98 9.75 2.21289 109.771
99 9.85 2.21557 113.105
100 9.95 2.22176 116.517
