# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_myRDF2[1] c_myRDF2[2] c_myRDF2[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0.00547409 0.00123798
26 2.55 0.166875 0.0420973
27 2.65 1.41011 0.414879
28 2.75 2.69772 1.18276
29 2.85 2.73955 2.02015
30 2.95 2.19987 2.74049
31 3.05 1.55248 3.28388
32 3.15 1.02851 3.66788
33 3.25 0.739295 3.96177
34 3.35 0.614387 4.22131
35 3.45 0.595848 4.4883
36 3.55 0.631327 4.78779
37 3.65 0.705746 5.14168
38 3.75 0.79102 5.5603
39 3.85 0.87434 6.04799
40 3.95 0.960815 6.61219
41 4.05 1.04147 7.25508
42 4.15 1.11838 7.98001
43 4.25 1.16913 8.77481
44 4.35 1.20533 9.63322
45 4.45 1.21657 10.5399
46 4.55 1.2137 11.4855
47 4.65 1.18771 12.4519
48 4.75 1.1522 13.4302
49 4.85 1.10285 14.4064
50 4.95 1.06325 15.3866
51 5.05 1.0217 16.367
52 5.15 0.986617 17.3515
53 5.25 0.961122 18.3483
54 5.35 0.940253 19.3609
55 5.45 0.925504 20.3954
56 5.55 0.915994 21.4571
57 5.65 0.909117 22.5492
58 5.75 0.902323 23.6719
59 5.85 0.904749 24.8371
60 5.95 0.907225 26.0459
61 6.05 0.91817 27.3107
62 6.15 0.933184 28.6391
63 6.25 0.957457 30.0466
64 6.35 0.980487 31.5345
65 6.45 1.00173 33.1028
66 6.55 1.01919 34.7482
67 6.65 1.03789 36.4753
68 6.75 1.04187 38.2616
69 6.85 1.04814 40.1125
70 6.95 1.04769 42.017
71 7.05 1.04188 43.9658
72 7.15 1.03389 45.9549
73 7.25 1.02684 47.986
74 7.35 1.01807 50.0557
75 7.45 1.00863 52.1623
76 7.55 1.00092 54.3093
77 7.65 0.998435 56.508
78 7.75 0.997227 58.7618
79 7.85 0.999821 61.0802
80 7.95 1.00209 63.4635
81 8.05 1.00055 65.9035
82 8.15 1.00463 68.4146
83 8.25 1.00787 70.9961
84 8.35 1.00952 73.6448
85 8.45 1.01208 76.3643
86 8.55 1.01237 79.1494
87 8.65 1.01097 81.996
88 8.75 1.01062 84.9077
89 8.85 1.00662 87.8746
90 8.95 1.00377 90.9002
91 9.05 1.00175 93.9876
92 9.15 0.996811 97.128
93 9.25 0.990566 100.317
94 9.35 0.992679 103.583
95 9.45 0.989923 106.909
96 9.55 0.98484 110.289
97 9.65 0.982113 113.731
98 9.75 0.982258 117.245
99 9.85 0.984598 120.84
100 9.95 0.987888 124.52
