# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_myRDF1[1] c_myRDF1[2] c_myRDF1[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0.00580858 0.00130752
26 2.55 0.176992 0.0444306
27 2.65 1.4291 0.420374
28 2.75 2.69813 1.18467
29 2.85 2.72524 2.01368
30 2.95 2.20102 2.73098
31 3.05 1.56179 3.27503
32 3.15 1.04339 3.66275
33 3.25 0.745252 3.95755
34 3.35 0.613404 4.21538
35 3.45 0.594617 4.48049
36 3.55 0.627751 4.77683
37 3.65 0.704151 5.12822
38 3.75 0.790465 5.54456
39 3.85 0.882363 6.03445
40 3.95 0.961537 6.59636
41 4.05 1.0455 7.23871
42 4.15 1.11013 7.95482
43 4.25 1.15739 8.73785
44 4.35 1.2002 9.58845
45 4.45 1.20597 10.4829
46 4.55 1.19456 11.4091
47 4.65 1.17683 12.3622
48 4.75 1.14102 13.3263
49 4.85 1.1089 14.3031
50 4.95 1.06724 15.2823
51 5.05 1.0344 16.2702
52 5.15 1.00179 17.2652
53 5.25 0.967349 18.2636
54 5.35 0.945077 19.2767
55 5.45 0.931711 20.3131
56 5.55 0.915262 21.3689
57 5.65 0.909187 22.4558
58 5.75 0.902874 23.5737
59 5.85 0.901261 24.7288
60 5.95 0.904766 25.9284
61 6.05 0.918507 27.1875
62 6.15 0.933378 28.5095
63 6.25 0.951329 29.9013
64 6.35 0.974853 31.3735
65 6.45 1.00078 32.9328
66 6.55 1.02061 34.5727
67 6.65 1.03755 36.2911
68 6.75 1.04918 38.0813
69 6.85 1.05277 39.9313
70 6.95 1.04829 41.8277
71 7.05 1.04018 43.7639
72 7.15 1.03854 45.7523
73 7.25 1.02379 47.7677
74 7.35 1.01593 49.8233
75 7.45 1.00915 51.921
76 7.55 1.00314 54.0625
77 7.65 1.00163 56.2578
78 7.75 0.999578 58.5063
79 7.85 1.00097 60.8162
80 7.95 0.997181 63.1764
81 8.05 0.99969 65.6025
82 8.15 1.00134 68.0933
83 8.25 1.00378 70.6519
84 8.35 1.00653 73.28
85 8.45 1.00596 75.97
86 8.55 1.00816 78.7301
87 8.65 1.00945 81.5588
88 8.75 1.01066 84.4567
89 8.85 1.00371 87.4008
90 8.95 0.999009 90.3976
91 9.05 0.99994 93.4646
92 9.15 0.996081 96.5877
93 9.25 0.992363 99.7675
94 9.35 0.987794 103.001
95 9.45 0.986906 106.302
96 9.55 0.985422 109.668
97 9.65 0.983034 113.096
98 9.75 0.986076 116.606
99 9.85 0.987983 120.196
100 9.95 0.99002 123.867
