# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0.0315311 0.00482986
15 1.45 0.69691 0.127965
16 1.55 2.43879 0.620386
17 1.65 1.57909 0.981681
18 1.75 0.254198 1.04712
19 1.85 0.404491 1.16347
20 1.95 0.713995 1.39164
21 2.05 1.02206 1.75259
22 2.15 1.24216 2.2351
23 2.25 1.33114 2.80137
24 2.35 1.29596 3.40276
25 2.45 1.18886 4.00239
26 2.55 1.04717 4.57454
27 2.65 0.890901 5.10022
28 2.75 0.766989 5.58759
29 2.85 0.702842 6.06727
30 2.95 0.689837 6.57173
31 3.05 0.713891 7.12978
32 3.15 0.763748 7.76661
33 3.25 0.82889 8.50233
34 3.35 0.902222 9.35315
35 3.45 0.978518 10.3318
36 3.55 1.04351 11.4368
37 3.65 1.09379 12.6612
38 3.75 1.1232 13.9884
39 3.85 1.13075 15.3967
40 3.95 1.11977 16.8647
41 4.05 1.09601 18.3752
42 4.15 1.07244 19.9271
43 4.25 1.05452 21.5275
44 4.35 1.04208 23.1843
45 4.45 1.03011 24.8982
46 4.55 1.02655 26.6839
47 4.65 1.02035 28.5376
48 4.75 1.01263 30.4573
49 4.85 1.00652 32.4465
50 4.95 1.00084 34.5069
51 5.05 0.9945 36.6378
52 5.15 0.990797 38.8457
53 5.25 0.987086 41.1316
54 5.35 0.987573 43.5065
55 5.45 0.988168 45.9726
56 5.55 0.992043 48.5401
57 5.65 0.99492 51.2086
58 5.75 0.994961 53.9725
59 5.85 0.995787 56.8358
60 5.95 0.995148 59.7959
61 6.05 0.993609 62.8516
62 6.15 0.992071 66.0043
63 6.25 0.99039 69.2548
64 6.35 0.989513 72.6072
65 6.45 0.987769 76.0599
66 6.55 0.987395 79.6192
67 6.65 0.987717 83.2892
68 6.75 0.989792 87.0783
69 6.85 0.992327 90.9906
70 6.95 0.995719 95.0316
71 7.05 0.998724 99.2023
72 7.15 1.00283 103.51
73 7.25 1.00522 107.949
74 7.35 1.00799 112.524
75 7.45 1.0089 117.229
76 7.55 1.01059 122.069
77 7.65 1.01121 127.041
78 7.75 1.0117 132.147
79 7.85 1.01129 137.383
80 7.95 1.00921 142.742
81 8.05 1.0081 148.231
82 8.15 1.0065 153.848
83 8.25 1.00516 159.596
84 8.35 1.00354 165.474
85 8.45 1.00172 171.484
86 8.55 1.00112 177.633
87 8.65 1.00004 183.92
88 8.75 0.999542 190.349
89 8.85 0.999092 196.924
90 8.95 0.999304 203.649
91 9.05 0.998533 210.521
92 9.15 0.997814 217.54
93 9.25 0.99631 224.702
94 9.35 0.996129 232.019
95 9.45 0.996182 239.493
96 9.55 0.99702 247.133
97 9.65 0.997989 254.941
98 9.75 0.998583 262.917
99 9.85 0.999006 271.061
100 9.95 1.0001 279.38
