# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0.0335657 0.00512119
15 1.45 0.709755 0.130039
16 1.55 2.44098 0.620933
17 1.65 1.58169 0.981372
18 1.75 0.258407 1.04761
19 1.85 0.414025 1.16621
20 1.95 0.721369 1.39579
21 2.05 1.02904 1.75773
22 2.15 1.24468 2.23926
23 2.25 1.32672 2.80137
24 2.35 1.28653 3.39598
25 2.45 1.18057 3.98903
26 2.55 1.04204 4.5561
27 2.65 0.887949 5.07794
28 2.75 0.763659 5.56125
29 2.85 0.701677 6.03821
30 2.95 0.69428 6.54383
31 3.05 0.722287 7.10612
32 3.15 0.770262 7.74572
33 3.25 0.835535 8.48426
34 3.35 0.906829 9.3359
35 3.45 0.979297 10.3113
36 3.55 1.04443 11.4128
37 3.65 1.09134 12.6295
38 3.75 1.11976 13.9472
39 3.85 1.12676 15.3448
40 3.95 1.11525 16.8009
41 4.05 1.09426 18.3029
42 4.15 1.07196 19.8478
43 4.25 1.05291 21.4393
44 4.35 1.04192 23.0892
45 4.45 1.03402 24.8026
46 4.55 1.02948 26.5861
47 4.65 1.02381 28.4386
48 4.75 1.01765 30.36
49 4.85 1.01031 32.3487
50 4.95 1.0021 34.4033
51 5.05 0.995439 36.5277
52 5.15 0.990272 38.7255
53 5.25 0.985819 40.9992
54 5.35 0.984911 43.3582
55 5.45 0.985512 45.8077
56 5.55 0.987531 48.3531
57 5.65 0.989695 50.9969
58 5.75 0.992678 53.7433
59 5.85 0.994985 56.5926
60 5.95 0.996491 59.5447
61 6.05 0.995256 62.5931
62 6.15 0.992516 65.7343
63 6.25 0.990945 68.9735
64 6.35 0.989333 72.3116
65 6.45 0.988605 75.7532
66 6.55 0.989154 79.3044
67 6.65 0.989176 82.9648
68 6.75 0.991378 86.7446
69 6.85 0.993626 90.646
70 6.95 0.995966 94.6716
71 7.05 0.999407 98.8282
72 7.15 1.00066 103.109
73 7.25 1.00429 107.526
74 7.35 1.00619 112.075
75 7.45 1.00847 116.758
76 7.55 1.0094 121.573
77 7.65 1.01026 126.521
78 7.75 1.00986 131.596
79 7.85 1.00873 136.798
80 7.95 1.00797 142.128
81 8.05 1.00826 147.596
82 8.15 1.007 153.193
83 8.25 1.00544 158.919
84 8.35 1.00393 164.776
85 8.45 1.00251 170.766
86 8.55 1.00021 176.885
87 8.65 0.999869 183.145
88 8.75 0.999069 189.546
89 8.85 0.998957 196.093
90 8.95 0.997975 202.782
91 9.05 0.996663 209.613
92 9.15 0.996495 216.594
93 9.25 0.996098 223.726
94 9.35 0.997025 231.019
95 9.45 0.99809 238.478
96 9.55 0.998811 246.1
97 9.65 0.998651 253.882
98 9.75 0.998944 261.828
99 9.85 0.999041 269.939
100 9.95 1.0006 278.229
