# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0.0292688 0.00399664
15 1.45 1.42951 0.229187
16 1.55 3.3873 0.839008
17 1.65 0.788895 0.999967
18 1.75 0.095265 1.02183
19 1.85 0.2399 1.08336
20 1.95 0.513551 1.2297
21 2.05 0.867189 1.50277
22 2.15 1.15737 1.90364
23 2.25 1.2783 2.38853
24 2.35 1.25844 2.90923
25 2.45 1.16069 3.43123
26 2.55 1.04742 3.94151
27 2.65 0.941879 4.43706
28 2.75 0.847937 4.91748
29 2.85 0.77058 5.3864
30 2.95 0.722417 5.85739
31 3.05 0.712515 6.35397
32 3.15 0.738926 6.9033
33 3.25 0.792121 7.53015
34 3.35 0.863208 8.25595
35 3.45 0.946069 9.09963
36 3.55 1.02687 10.0692
37 3.65 1.088 11.1551
38 3.75 1.11899 12.3341
39 3.85 1.12199 13.5801
40 3.95 1.10975 14.8773
41 4.05 1.09503 16.2229
42 4.15 1.07841 17.6144
43 4.25 1.06023 19.0491
44 4.35 1.04712 20.5335
45 4.45 1.03806 22.0736
46 4.55 1.03253 23.6751
47 4.65 1.03036 25.3442
48 4.75 1.02778 27.0815
49 4.85 1.02388 28.8858
50 4.95 1.01711 30.7528
51 5.05 1.01261 32.6875
52 5.15 1.00566 34.6856
53 5.25 0.998549 36.7475
54 5.35 0.993651 38.8782
55 5.45 0.990266 41.0817
56 5.55 0.987087 43.3595
57 5.65 0.988105 45.7225
58 5.75 0.986682 48.1664
59 5.85 0.985044 50.6919
60 5.95 0.984202 53.3022
61 6.05 0.983403 55.9988
62 6.15 0.984438 58.7882
63 6.25 0.984387 61.6688
64 6.35 0.984208 64.6418
65 6.45 0.984196 67.7092
66 6.55 0.985622 70.8771
67 6.65 0.986349 74.1447
68 6.75 0.989077 77.5208
69 6.85 0.991417 81.0058
70 6.95 0.995039 84.6064
71 7.05 0.997968 88.3224
72 7.15 1.00076 92.1553
73 7.25 1.00325 96.1058
74 7.35 1.0059 100.177
75 7.45 1.0093 104.374
76 7.55 1.01115 108.692
77 7.65 1.01145 113.126
78 7.75 1.01219 117.681
79 7.85 1.01318 122.358
80 7.95 1.01272 127.153
81 8.05 1.01189 132.066
82 8.15 1.00942 137.089
83 8.25 1.00733 142.225
84 8.35 1.00609 147.48
85 8.45 1.00317 152.846
86 8.55 1.00139 158.33
87 8.65 0.99986 163.934
88 8.75 0.99846 169.661
89 8.85 0.997583 175.515
90 8.95 0.995683 181.49
91 9.05 0.994944 187.594
92 9.15 0.994161 193.83
93 9.25 0.994287 200.203
94 9.35 0.994044 206.713
95 9.45 0.995042 213.37
96 9.55 0.995092 220.169
97 9.65 0.995313 227.113
98 9.75 0.997055 234.213
99 9.85 0.998458 241.471
100 9.95 0.999926 248.887
