# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.0301396
200 0.0301323
300 0.0301181
400 0.0300961
500 0.0300653
600 0.030028
700 0.0299896
800 0.029955
900 0.0299245
1000 0.0298943
1100 0.0298611
1200 0.0298244
1300 0.0297893
1400 0.0297564
1500 0.0297304
1600 0.029716
1700 0.0297157
1800 0.0297297
1900 0.0297598
2000 0.0298
2100 0.0298461
2200 0.0299001
2300 0.0299683
2400 0.0300422
2500 0.0301175
2600 0.0301908
2700 0.0302595
2800 0.0303199
2900 0.030374
3000 0.0304228
3100 0.0304673
3200 0.0305067
3300 0.0305325
3400 0.0305433
3500 0.0305392
3600 0.030522
3700 0.0304903
3800 0.0304461
3900 0.030394
4000 0.030338
4100 0.0302789
4200 0.030219
4300 0.0301678
4400 0.0301245
4500 0.0300874
4600 0.0300575
4700 0.0300334
4800 0.0300161
4900 0.0299998
5000 0.0299891
5100 0.0299819
5200 0.0299758
5300 0.0299722
5400 0.029968
5500 0.0299624
5600 0.0299538
5700 0.0299432
5800 0.0299392
5900 0.0299444
6000 0.0299541
6100 0.0299678
6200 0.0299824
6300 0.0299995
6400 0.0300218
6500 0.0300505
6600 0.0300759
6700 0.0301
6800 0.0301265
6900 0.0301519
7000 0.0301738
7100 0.0301938
7200 0.0302083
7300 0.0302209
7400 0.0302357
7500 0.0302578
7600 0.0302882
7700 0.0303239
7800 0.0303547
7900 0.0303829
8000 0.0304056
8100 0.0304234
8200 0.0304322
8300 0.0304332
8400 0.0304284
8500 0.0304269
8600 0.0304275
8700 0.0304283
8800 0.0304301
8900 0.0304367
9000 0.0304454
9100 0.0304613
9200 0.0304781
9300 0.0304931
9400 0.0305122
9500 0.0305366
9600 0.0305652
9700 0.0305889
9800 0.0306098
9900 0.0306247
10000 0.0306321
10100 0.0306298
10200 0.0306163
10300 0.0305884
10400 0.0305484
10500 0.0305096
10600 0.0304721
10700 0.0304391
10800 0.0304157
10900 0.0303945
11000 0.0303721
11100 0.0303526
11200 0.0303371
11300 0.0303242
11400 0.0303084
11500 0.0302886
11600 0.0302692
11700 0.0302533
11800 0.0302413
11900 0.0302317
12000 0.030226
12100 0.0302192
12200 0.030216
12300 0.0302145
12400 0.0302215
12500 0.0302304
12600 0.0302323
12700 0.0302342
12800 0.0302447
12900 0.0302626
13000 0.0302872
13100 0.0303139
13200 0.0303414
13300 0.0303672
13400 0.0303925
13500 0.0304087
13600 0.0304183
13700 0.0304221
13800 0.0304202
13900 0.0304156
14000 0.0304072
14100 0.0303881
14200 0.0303595
14300 0.0303233
14400 0.0302831
14500 0.0302425
14600 0.0302118
14700 0.0301872
14800 0.0301706
14900 0.0301548
15000 0.030131
15100 0.0301038
15200 0.0300809
15300 0.0300622
15400 0.0300477
15500 0.0300345
15600 0.0300211
15700 0.0299997
15800 0.0299641
15900 0.0299201
16000 0.0298724
16100 0.0298271
16200 0.0297927
16300 0.0297677
16400 0.0297474
16500 0.0297254
16600 0.0297029
16700 0.029683
16800 0.0296608
16900 0.0296299
17000 0.029597
17100 0.0295658
17200 0.02954
17300 0.0295212
17400 0.0295063
17500 0.0294941
17600 0.0294828
17700 0.0294711
17800 0.0294638
17900 0.0294646
18000 0.0294744
18100 0.0294883
18200 0.0295007
18300 0.0295106
18400 0.0295244
18500 0.0295426
18600 0.0295665
18700 0.0296005
18800 0.0296491
18900 0.029718
19000 0.0298017
19100 0.0298876
19200 0.0299736
19300 0.0300563
19400 0.0301275
19500 0.030189
19600 0.0302417
19700 0.0302802
19800 0.0303018
19900 0.0303121
20000 0.0303155
20100 0.0303169
20200 0.0303169
20300 0.0303205
20400 0.0303259
20500 0.0303319
20600 0.0303344
20700 0.030334
20800 0.0303302
20900 0.0303274
21000 0.0303213
21100 0.0303106
21200 0.0302992
21300 0.0302989
21400 0.0303059
21500 0.0303198
21600 0.0303374
21700 0.0303464
21800 0.0303417
21900 0.0303264
22000 0.0303058
22100 0.0302877
22200 0.0302687
22300 0.0302462
22400 0.0302251
22500 0.0302028
22600 0.0301775
22700 0.0301561
22800 0.0301375
22900 0.0301123
23000 0.0300765
23100 0.030034
23200 0.0299861
23300 0.0299391
