# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.0135622
200 0.0135126
300 0.0135563
400 0.0135611
500 0.0135721
600 0.0135752
700 0.0135915
800 0.0135712
900 0.0135899
1000 0.0135808
1100 0.0136254
1200 0.0136213
1300 0.0136162
1400 0.0136219
1500 0.0135996
1600 0.0136085
1700 0.0136113
1800 0.0136072
1900 0.0136225
2000 0.0136312
2100 0.013623
2200 0.0136061
2300 0.0136348
2400 0.0136187
2500 0.0136318
2600 0.0136277
2700 0.0136219
2800 0.0136155
2900 0.0136212
3000 0.0136327
3100 0.0136222
3200 0.0136124
3300 0.0136232
3400 0.0136256
3500 0.0136302
3600 0.0136212
3700 0.0136165
3800 0.0136149
3900 0.0135984
4000 0.0136069
4100 0.0135947
4200 0.0136089
4300 0.0136221
4400 0.0136147
4500 0.0136165
4600 0.0136086
4700 0.013625
4800 0.0136263
4900 0.0136066
5000 0.013633
5100 0.0136203
5200 0.0136172
5300 0.0136175
5400 0.0136037
5500 0.0136156
5600 0.0136142
5700 0.0136245
5800 0.0136202
5900 0.0136127
6000 0.0136102
6100 0.0136121
6200 0.0136109
6300 0.0136083
6400 0.0136029
6500 0.0136067
6600 0.0136044
6700 0.0136025
6800 0.013608
6900 0.0136153
7000 0.0136173
7100 0.0136075
7200 0.0136228
7300 0.0136126
7400 0.0136153
7500 0.0136215
7600 0.0136248
7700 0.0136176
7800 0.0136069
7900 0.0136144
8000 0.0136065
8100 0.0136132
8200 0.0136146
8300 0.0136102
8400 0.0136075
8500 0.0136185
8600 0.0136132
8700 0.0136148
8800 0.0136177
8900 0.0136215
9000 0.0136208
9100 0.013614
9200 0.0136211
9300 0.013603
9400 0.013622
9500 0.0136154
9600 0.0136125
9700 0.0136124
9800 0.0136171
9900 0.0136184
10000 0.0136122
10100 0.0136112
10200 0.0136202
10300 0.0136032
10400 0.0136202
10500 0.0136007
10600 0.0136155
10700 0.0136094
10800 0.013608
10900 0.0136007
11000 0.0136104
11100 0.0136153
11200 0.0136005
11300 0.0136067
11400 0.0136082
11500 0.0135921
11600 0.0136082
11700 0.013614
11800 0.0136123
11900 0.0136068
12000 0.0136011
12100 0.0136164
12200 0.0136022
12300 0.0136009
12400 0.0136086
12500 0.0136014
12600 0.0136052
12700 0.0135957
12800 0.0135968
12900 0.0136022
13000 0.0136016
13100 0.0135861
13200 0.013601
13300 0.0135901
13400 0.0135898
13500 0.0135951
13600 0.0135967
13700 0.0136002
13800 0.0135998
13900 0.0135948
14000 0.0136024
14100 0.0136011
14200 0.0135952
14300 0.0136005
14400 0.0135976
14500 0.013598
14600 0.0136026
14700 0.0135933
14800 0.0135976
14900 0.0136016
15000 0.013608
15100 0.0135927
15200 0.0135885
15300 0.0135897
15400 0.0135907
15500 0.0135909
15600 0.0135915
15700 0.013596
15800 0.0135875
15900 0.0135854
16000 0.0135893
16100 0.013599
16200 0.0135892
16300 0.0135926
16400 0.0135808
16500 0.0135908
16600 0.013597
16700 0.0135922
16800 0.0135938
16900 0.0135615
17000 0.0135746
17100 0.0135732
17200 0.0135695
17300 0.0135781
17400 0.0135819
17500 0.0135824
17600 0.013564
17700 0.0135781
17800 0.0135723
17900 0.0135672
18000 0.0135784
18100 0.0135814
18200 0.0135803
18300 0.0135717
18400 0.013577
18500 0.0135783
18600 0.0135769
18700 0.0135758
18800 0.0135709
18900 0.013578
19000 0.0135764
19100 0.0135674
19200 0.0135726
19300 0.013571
19400 0.0135708
19500 0.0135747
19600 0.0135651
19700 0.0135684
19800 0.0135628
19900 0.013563
20000 0.0135623
20100 0.0135666
20200 0.0135716
20300 0.013561
20400 0.0135703
20500 0.0135595
20600 0.0135759
20700 0.0135707
20800 0.0135653
20900 0.0135571
21000 0.0135606
21100 0.013573
21200 0.0135605
21300 0.0135647
21400 0.0135656
21500 0.0135693
21600 0.0135725
21700 0.0135639
21800 0.0135762
21900 0.0135714
22000 0.0135705
22100 0.0135712
22200 0.013571
22300 0.0135665
22400 0.0135698
22500 0.0135712
22600 0.0135749
22700 0.013577
22800 0.0135659
22900 0.0135674
23000 0.0135703
23100 0.013577
23200 0.0135834
23300 0.0135646
23400 0.0135704
23500 0.0135718
23600 0.0135704
23700 0.0135679
23800 0.0135724
23900 0.0135683
24000 0.0135641
24100 0.0135605
24200 0.0135679
24300 0.0135693
24400 0.0135632
24500 0.0135601
24600 0.0135629
24700 0.0135602
24800 0.0135637
24900 0.0135658
25000 0.013554
25100 0.0135639
25200 0.0135635
25300 0.0135585
25400 0.0135665
25500 0.0135672
25600 0.0135655
25700 0.0135704
25800 0.0135668
25900 0.0135578
26000 0.013563
26100 0.0135612
26200 0.0135691
26300 0.0135661
26400 0.0135573
26500 0.0135657
26600 0.0135646
26700 0.0135686
26800 0.0135774
26900 0.013572
27000 0.0135631
27100 0.0135665
27200 0.0135696
27300 0.0135613
27400 0.0135637
27500 0.0135616
27600 0.0135574
27700 0.0135572
27800 0.0135606
27900 0.0135629
28000 0.0135654
28100 0.0135623
28200 0.0135572
28300 0.0135628
28400 0.0135537
28500 0.0135618
28600 0.0135604
28700 0.0135689
28800 0.0135577
28900 0.0135632
29000 0.0135632
29100 0.0135641
29200 0.0135664
29300 0.0135639
29400 0.0135525
29500 0.0135506
29600 0.0135509
29700 0.0135562
29800 0.0135538
29900 0.0135614
30000 0.0135671
30100 0.013555
30200 0.0135596
30300 0.013566
30400 0.0135589
30500 0.0135529
30600 0.013564
30700 0.0135641
30800 0.0135565
30900 0.0135587
31000 0.0135644
31100 0.0135573
31200 0.0135634
31300 0.0135557
31400 0.0135567
31500 0.0135515
31600 0.0135624
31700 0.0135548
31800 0.0135553
