# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.013451
200 0.013409
300 0.0134516
400 0.0135155
500 0.0135743
600 0.0135375
700 0.0135682
800 0.0135053
900 0.0135635
1000 0.0135435
1100 0.0135233
1200 0.0135413
1300 0.0135212
1400 0.0135429
1500 0.0135197
1600 0.0135196
1700 0.0135474
1800 0.0135131
1900 0.0135072
2000 0.0135195
2100 0.0135094
2200 0.0135211
2300 0.0135143
2400 0.0135045
2500 0.0135277
2600 0.0135118
2700 0.0135073
2800 0.0135103
2900 0.0134934
3000 0.0135067
3100 0.0135128
3200 0.0135169
3300 0.0134971
3400 0.0135072
3500 0.0135007
3600 0.0135153
3700 0.0135093
3800 0.0135031
3900 0.0135217
4000 0.0135115
4100 0.0135216
4200 0.013522
4300 0.0135092
4400 0.0135018
4500 0.0135134
4600 0.0135063
4700 0.0135004
4800 0.0135134
4900 0.0135251
5000 0.0135173
5100 0.0135156
5200 0.013509
5300 0.013506
5400 0.0135204
5500 0.013513
5600 0.0135126
5700 0.0134959
5800 0.0135078
5900 0.0135261
6000 0.0135163
6100 0.0135111
6200 0.0135235
6300 0.013524
6400 0.013507
6500 0.013519
6600 0.0135204
6700 0.0135218
6800 0.0135118
6900 0.0135189
7000 0.0135122
7100 0.0135079
7200 0.0135106
7300 0.0135123
7400 0.0135232
7500 0.0135198
7600 0.0135234
7700 0.0135139
7800 0.0135132
7900 0.013516
8000 0.013516
8100 0.013511
8200 0.0135057
8300 0.0135185
8400 0.0135306
8500 0.0135207
8600 0.0135246
8700 0.013512
8800 0.0135179
8900 0.0135111
9000 0.0135182
9100 0.0135113
9200 0.0135306
9300 0.0135128
9400 0.0135162
9500 0.0135196
9600 0.0135182
9700 0.0135161
9800 0.0135146
9900 0.0135188
10000 0.0135182
10100 0.0135107
10200 0.0135008
10300 0.0135208
10400 0.0135105
10500 0.0135094
10600 0.0135192
10700 0.0135107
10800 0.0135083
10900 0.0135055
11000 0.0135207
11100 0.0135194
11200 0.0135209
11300 0.0135109
11400 0.0135183
11500 0.0135111
11600 0.0135097
11700 0.0135206
11800 0.013509
11900 0.013514
12000 0.0135155
12100 0.0135192
12200 0.0135111
12300 0.0135121
12400 0.0135066
12500 0.0135092
12600 0.013516
12700 0.0135181
12800 0.0135103
12900 0.0135113
13000 0.0135214
13100 0.0135276
13200 0.0135191
13300 0.0135152
13400 0.0135135
13500 0.0135126
13600 0.0135197
13700 0.0135159
13800 0.0135147
13900 0.0135171
14000 0.0135176
14100 0.0135121
14200 0.0135014
14300 0.0135197
14400 0.0135163
14500 0.0135204
14600 0.0135083
14700 0.013512
14800 0.0135124
14900 0.0135027
15000 0.0135096
15100 0.0135133
15200 0.0135045
15300 0.0135237
15400 0.0135089
15500 0.013507
15600 0.0135141
15700 0.0135226
15800 0.0135186
15900 0.0135188
16000 0.0135116
16100 0.0135146
16200 0.0135124
16300 0.0135087
16400 0.0135114
16500 0.013505
16600 0.0135083
16700 0.0135179
16800 0.0135029
16900 0.0135142
17000 0.0134994
17100 0.0135022
17200 0.0135114
17300 0.0135124
17400 0.0135149
17500 0.013517
17600 0.0134982
17700 0.013515
17800 0.0135066
17900 0.013515
18000 0.0135076
18100 0.0135041
18200 0.0135138
18300 0.0135136
18400 0.0135126
18500 0.0135092
18600 0.0135168
18700 0.0135199
18800 0.0135067
18900 0.0135077
19000 0.0135149
19100 0.0135073
19200 0.0135089
19300 0.0135136
19400 0.0135127
19500 0.0135181
19600 0.0135053
19700 0.0135106
19800 0.0135141
19900 0.013513
20000 0.013512
20100 0.0135121
20200 0.0135235
20300 0.0135107
20400 0.0135078
20500 0.0135272
20600 0.0135226
20700 0.0135191
20800 0.0135154
20900 0.0135097
21000 0.0135071
21100 0.0135244
21200 0.0135121
21300 0.0135103
21400 0.013511
21500 0.0135007
21600 0.0135134
21700 0.0135228
21800 0.0135215
21900 0.0135211
22000 0.0135181
22100 0.0135081
22200 0.0135144
22300 0.0135116
22400 0.0135077
22500 0.0135083
22600 0.0135079
22700 0.0134971
22800 0.013492
22900 0.0135105
23000 0.0135145
23100 0.0135048
23200 0.013513
23300 0.0135081
23400 0.0135089
23500 0.0135064
23600 0.0135105
23700 0.0135291
23800 0.0135129
23900 0.0135055
24000 0.0135067
24100 0.0135186
24200 0.0135102
24300 0.0135094
24400 0.0135176
24500 0.0135123
24600 0.0135033
24700 0.0135114
24800 0.0135088
24900 0.0135171
25000 0.0135163
25100 0.0135185
25200 0.0135036
25300 0.013516
25400 0.0135042
25500 0.0135029
25600 0.0135075
25700 0.013517
25800 0.0135242
25900 0.0135194
26000 0.0135126
26100 0.0135169
26200 0.0135141
26300 0.0135087
26400 0.0135118
26500 0.0135086
26600 0.0135126
26700 0.0135026
26800 0.013508
26900 0.013509
27000 0.013512
27100 0.013511
27200 0.0135056
27300 0.0135143
27400 0.0135104
27500 0.0135092
27600 0.0135169
27700 0.0135238
27800 0.0135185
27900 0.01351
28000 0.0135164
28100 0.0135184
28200 0.0135232
28300 0.0135066
28400 0.0135084
28500 0.0135195
28600 0.0135139
28700 0.0135069
28800 0.0135057
28900 0.0135217
29000 0.0135089
29100 0.013516
29200 0.0135111
29300 0.0135166
29400 0.0135133
29500 0.0135123
29600 0.0135117
29700 0.013519
29800 0.0135143
29900 0.0135143
30000 0.013509
30100 0.0135084
30200 0.0135072
30300 0.0135024
30400 0.0135065
30500 0.0135135
30600 0.0135082
30700 0.0135114
30800 0.0135096
30900 0.0135122
31000 0.0135078
31100 0.0135163
31200 0.0135085
31300 0.0135025
31400 0.0135124
31500 0.0135141
31600 0.0135126
31700 0.0135186
31800 0.0135067
31900 0.0135066
32000 0.0135052
32100 0.0135176
32200 0.0135152
32300 0.0135088
32400 0.0135061
32500 0.0135126
32600 0.0134942
32700 0.0135085
32800 0.0135156
32900 0.0135181
33000 0.0135113
33100 0.013516
33200 0.0135058
33300 0.0135154
33400 0.0135072
33500 0.0135112
33600 0.0135001
33700 0.0135165
