# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -322389
200 -322389
300 -322390
400 -322390
500 -322389
600 -322389
700 -322390
800 -322391
900 -322392
1000 -322394
1100 -322395
1200 -322396
1300 -322397
1400 -322396
1500 -322396
1600 -322395
1700 -322395
1800 -322393
1900 -322390
2000 -322388
2100 -322386
2200 -322386
2300 -322386
2400 -322385
2500 -322385
2600 -322385
2700 -322386
2800 -322387
2900 -322389
3000 -322390
3100 -322391
3200 -322391
3300 -322392
3400 -322392
3500 -322393
3600 -322393
3700 -322395
3800 -322397
3900 -322399
4000 -322400
4100 -322400
4200 -322399
4300 -322399
4400 -322398
4500 -322396
4600 -322394
4700 -322392
4800 -322390
4900 -322388
5000 -322387
5100 -322385
5200 -322384
5300 -322381
5400 -322379
5500 -322378
5600 -322377
5700 -322376
5800 -322376
5900 -322377
6000 -322377
6100 -322378
6200 -322379
6300 -322380
6400 -322382
6500 -322384
6600 -322385
6700 -322386
6800 -322387
6900 -322387
7000 -322387
7100 -322386
7200 -322384
7300 -322383
7400 -322382
7500 -322381
7600 -322380
7700 -322380
7800 -322379
7900 -322378
8000 -322379
8100 -322380
8200 -322381
8300 -322382
8400 -322383
8500 -322384
8600 -322385
8700 -322385
8800 -322385
8900 -322384
9000 -322383
9100 -322382
9200 -322381
9300 -322380
9400 -322379
9500 -322379
9600 -322380
9700 -322381
9800 -322383
9900 -322384
10000 -322384
10100 -322384
10200 -322384
10300 -322383
10400 -322383
10500 -322381
10600 -322380
10700 -322380
10800 -322379
10900 -322380
11000 -322380
11100 -322381
11200 -322381
11300 -322382
11400 -322384
11500 -322387
11600 -322389
11700 -322390
11800 -322390
11900 -322389
12000 -322388
12100 -322388
12200 -322387
12300 -322387
12400 -322387
12500 -322388
12600 -322389
12700 -322389
12800 -322390
12900 -322391
13000 -322391
13100 -322391
13200 -322389
13300 -322387
13400 -322384
13500 -322382
13600 -322381
13700 -322380
13800 -322381
13900 -322382
14000 -322382
14100 -322383
14200 -322385
14300 -322386
14400 -322387
14500 -322389
14600 -322390
14700 -322391
14800 -322392
14900 -322394
15000 -322395
15100 -322395
15200 -322396
15300 -322396
15400 -322397
15500 -322396
15600 -322394
15700 -322392
15800 -322391
15900 -322391
16000 -322391
16100 -322391
16200 -322391
16300 -322391
16400 -322390
16500 -322389
16600 -322387
16700 -322386
16800 -322384
16900 -322383
17000 -322382
17100 -322382
17200 -322382
17300 -322382
17400 -322382
17500 -322382
17600 -322382
17700 -322382
17800 -322382
17900 -322381
18000 -322379
18100 -322377
18200 -322376
18300 -322375
18400 -322374
18500 -322373
18600 -322372
18700 -322370
18800 -322369
18900 -322369
19000 -322368
19100 -322368
19200 -322369
19300 -322372
19400 -322375
19500 -322377
19600 -322379
19700 -322381
19800 -322383
19900 -322384
20000 -322386
20100 -322388
20200 -322389
20300 -322389
20400 -322389
20500 -322390
20600 -322389
20700 -322388
20800 -322386
20900 -322383
21000 -322382
21100 -322381
21200 -322382
21300 -322383
21400 -322384
21500 -322385
21600 -322386
21700 -322387
21800 -322388
21900 -322388
22000 -322386
22100 -322385
22200 -322384
22300 -322383
22400 -322382
22500 -322381
22600 -322381
22700 -322380
22800 -322380
22900 -322381
23000 -322383
23100 -322386
23200 -322388
23300 -322390
23400 -322391
23500 -322392
23600 -322392
23700 -322393
23800 -322393
23900 -322393
24000 -322392
24100 -322391
24200 -322390
24300 -322388
24400 -322388
24500 -322386
24600 -322385
24700 -322384
24800 -322383
24900 -322382
25000 -322381
25100 -322381
25200 -322381
25300 -322381
25400 -322381
25500 -322381
25600 -322382
25700 -322384
25800 -322386
25900 -322389
26000 -322390
26100 -322391
26200 -322392
26300 -322391
26400 -322390
26500 -322389
26600 -322388
26700 -322387
26800 -322385
26900 -322384
27000 -322382
27100 -322380
27200 -322379
27300 -322378
27400 -322377
27500 -322376
27600 -322375
27700 -322375
27800 -322376
27900 -322378
28000 -322380
28100 -322382
28200 -322384
28300 -322385
28400 -322386
28500 -322387
28600 -322389
28700 -322390
28800 -322391
28900 -322391
29000 -322390
29100 -322390
29200 -322389
29300 -322388
29400 -322387
29500 -322385
29600 -322383
29700 -322383
29800 -322382
29900 -322382
30000 -322382
30100 -322383
30200 -322382
30300 -322381
30400 -322380
30500 -322378
30600 -322377
30700 -322376
30800 -322376
30900 -322375
31000 -322375
31100 -322375
31200 -322376
31300 -322377
31400 -322377
31500 -322378
31600 -322379
31700 -322380
31800 -322380
31900 -322381
32000 -322381
32100 -322381
32200 -322383
32300 -322385
32400 -322388
32500 -322390
32600 -322391
32700 -322392
32800 -322392
32900 -322391
33000 -322390
33100 -322388
33200 -322386
33300 -322385
33400 -322385
33500 -322384
33600 -322384
33700 -322385
33800 -322386
33900 -322387
34000 -322389
34100 -322391
34200 -322392
34300 -322393
34400 -322393
34500 -322393
34600 -322394
34700 -322395
34800 -322396
34900 -322397
35000 -322397
35100 -322398
35200 -322398
35300 -322398
35400 -322398
35500 -322399
35600 -322398
35700 -322396
35800 -322392
35900 -322390
36000 -322389
36100 -322389
36200 -322388
36300 -322387
36400 -322387
36500 -322386
36600 -322385
36700 -322385
36800 -322385
36900 -322385
37000 -322385
37100 -322385
37200 -322384
37300 -322384
37400 -322384
37500 -322383
37600 -322384
37700 -322384
37800 -322384
37900 -322386
38000 -322388
38100 -322390
38200 -322392
38300 -322392
38400 -322392
38500 -322391
38600 -322390
38700 -322388
38800 -322386
38900 -322385
39000 -322383
39100 -322382
39200 -322380
39300 -322379
39400 -322378
39500 -322378
39600 -322378
39700 -322379
39800 -322379
39900 -322380
40000 -322381
