# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -6071.76
200 -6071.7
300 -6071.5
400 -6071.3
500 -6071.03
600 -6070.77
700 -6070.64
800 -6070.53
900 -6070.49
1000 -6070.51
1100 -6070.44
1200 -6070.38
1300 -6070.37
1400 -6070.36
1500 -6070.36
1600 -6070.22
1700 -6070.21
1800 -6070.09
1900 -6070.08
2000 -6070.01
2100 -6070.01
2200 -6069.93
2300 -6069.74
2400 -6069.56
2500 -6069.25
2600 -6068.92
2700 -6068.69
2800 -6068.5
2900 -6068.31
3000 -6068.2
3100 -6068.2
3200 -6068.32
3300 -6068.52
3400 -6068.72
3500 -6068.9
3600 -6068.98
3700 -6069.1
3800 -6069.1
3900 -6069.12
4000 -6069.05
4100 -6068.93
4200 -6068.49
4300 -6068.17
4400 -6067.76
4500 -6067.59
4600 -6067.5
4700 -6067.47
4800 -6067.48
4900 -6067.54
5000 -6067.64
5100 -6067.65
5200 -6067.7
5300 -6067.73
5400 -6067.84
5500 -6067.9
5600 -6068.06
5700 -6068.36
5800 -6068.59
5900 -6068.88
6000 -6069.07
6100 -6069.17
6200 -6069.16
6300 -6069.09
6400 -6068.94
6500 -6068.79
6600 -6068.66
6700 -6068.59
6800 -6068.54
6900 -6068.39
7000 -6068.35
7100 -6068.28
7200 -6068.23
7300 -6068.18
7400 -6068.18
7500 -6068.12
7600 -6068.04
7700 -6067.9
7800 -6067.76
7900 -6067.55
8000 -6067.33
8100 -6067.23
8200 -6067.29
8300 -6067.57
8400 -6068.02
8500 -6068.52
8600 -6068.82
8700 -6069.01
8800 -6069.14
8900 -6069.15
9000 -6069.2
9100 -6069.26
9200 -6069.36
9300 -6069.39
9400 -6069.48
9500 -6069.65
9600 -6069.83
9700 -6070.01
9800 -6070.36
9900 -6070.49
10000 -6070.63
10100 -6070.77
10200 -6070.77
10300 -6070.77
10400 -6070.7
10500 -6070.73
10600 -6070.56
10700 -6070.47
10800 -6070.46
10900 -6070.46
11000 -6070.49
11100 -6070.6
11200 -6070.76
11300 -6071.06
11400 -6071.36
11500 -6071.63
11600 -6071.84
11700 -6071.95
11800 -6071.91
11900 -6071.84
12000 -6071.66
12100 -6071.48
12200 -6071.16
12300 -6070.96
12400 -6070.71
12500 -6070.52
12600 -6070.41
12700 -6070.31
12800 -6070.34
12900 -6070.35
13000 -6070.38
13100 -6070.39
13200 -6070.49
13300 -6070.66
13400 -6070.9
13500 -6071.1
13600 -6071.29
13700 -6071.41
13800 -6071.65
13900 -6071.75
14000 -6071.85
14100 -6071.98
14200 -6072
14300 -6072.06
14400 -6071.99
14500 -6071.81
14600 -6071.46
14700 -6071.17
14800 -6070.82
14900 -6070.55
15000 -6070.34
15100 -6070.27
15200 -6070.15
15300 -6070.11
15400 -6070.05
15500 -6070.13
15600 -6070.31
15700 -6070.52
15800 -6070.76
15900 -6070.92
16000 -6071.16
16100 -6071.29
16200 -6071.34
16300 -6071.35
16400 -6071.26
16500 -6071.15
16600 -6070.97
16700 -6070.78
16800 -6070.66
16900 -6070.49
17000 -6070.36
17100 -6070.16
17200 -6070.08
17300 -6069.95
17400 -6069.79
17500 -6069.57
17600 -6069.36
17700 -6069.17
17800 -6069.18
17900 -6069.36
18000 -6069.62
18100 -6070.05
18200 -6070.37
18300 -6070.66
18400 -6070.85
18500 -6071.04
18600 -6071.14
18700 -6071.21
18800 -6071.2
18900 -6071.21
19000 -6071.08
19100 -6070.94
19200 -6070.73
19300 -6070.56
19400 -6070.38
19500 -6070.27
19600 -6070.14
19700 -6070.09
19800 -6070.09
19900 -6070.1
20000 -6070.23
20100 -6070.39
20200 -6070.67
20300 -6070.94
20400 -6071.22
20500 -6071.3
20600 -6071.42
20700 -6071.4
20800 -6071.37
20900 -6071.13
21000 -6070.89
21100 -6070.6
21200 -6070.43
21300 -6070.23
21400 -6070.07
21500 -6069.95
21600 -6069.8
21700 -6069.6
21800 -6069.43
21900 -6069.3
22000 -6069.08
22100 -6068.9
22200 -6068.71
22300 -6068.62
22400 -6068.48
22500 -6068.37
22600 -6068.23
22700 -6068.2
22800 -6068.18
22900 -6068.12
23000 -6068.11
23100 -6068.06
23200 -6068.02
23300 -6068.01
23400 -6068
23500 -6067.92
23600 -6067.9
23700 -6067.85
23800 -6067.84
23900 -6067.85
24000 -6067.88
24100 -6067.96
24200 -6068.09
24300 -6068.22
24400 -6068.41
24500 -6068.57
24600 -6068.87
24700 -6069.06
24800 -6069.13
24900 -6069.11
25000 -6069.05
25100 -6068.97
25200 -6068.77
25300 -6068.52
25400 -6068.22
25500 -6067.81
25600 -6067.58
25700 -6067.51
25800 -6067.57
25900 -6067.72
26000 -6067.93
26100 -6068.12
26200 -6068.23
26300 -6068.4
26400 -6068.59
26500 -6068.74
26600 -6068.83
26700 -6069.05
26800 -6069.26
26900 -6069.44
27000 -6069.65
27100 -6069.92
27200 -6070.17
27300 -6070.35
27400 -6070.47
27500 -6070.57
27600 -6070.71
27700 -6070.66
27800 -6070.69
27900 -6070.64
28000 -6070.6
28100 -6070.57
28200 -6070.51
28300 -6070.37
28400 -6070.2
28500 -6069.9
28600 -6069.56
28700 -6069.27
28800 -6069.16
28900 -6069.23
29000 -6069.49
29100 -6069.77
29200 -6070.17
29300 -6070.48
29400 -6070.65
29500 -6070.7
29600 -6070.77
29700 -6070.79
29800 -6070.9
29900 -6070.8
30000 -6070.77
30100 -6070.75
30200 -6070.77
30300 -6070.64
30400 -6070.44
30500 -6070.34
30600 -6070.39
30700 -6070.29
30800 -6070.16
30900 -6070.01
31000 -6069.88
31100 -6069.62
31200 -6069.52
31300 -6069.44
31400 -6069.57
31500 -6069.78
31600 -6070.09
31700 -6070.41
31800 -6070.7
31900 -6070.92
32000 -6071.13
32100 -6071.06
32200 -6071.03
32300 -6071.06
32400 -6071.06
32500 -6070.96
32600 -6070.77
32700 -6070.62
32800 -6070.42
32900 -6070.25
33000 -6070.08
33100 -6070.07
33200 -6070.01
33300 -6070.01
33400 -6070.07
33500 -6070.17
33600 -6070.34
33700 -6070.65
33800 -6071.12
33900 -6071.46
34000 -6071.74
34100 -6071.85
34200 -6071.81
34300 -6071.69
34400 -6071.51
34500 -6071.26
34600 -6071
34700 -6070.71
34800 -6070.57
34900 -6070.43
35000 -6070.26
35100 -6070.15
35200 -6070.17
35300 -6070.13
35400 -6070.08
35500 -6070.05
35600 -6070.17
35700 -6070.41
35800 -6070.65
35900 -6070.84
36000 -6071.03
36100 -6071.22
36200 -6071.25
36300 -6071.37
36400 -6071.32
36500 -6071.31
36600 -6071.22
36700 -6070.81
36800 -6070.38
36900 -6070.05
37000 -6069.81
37100 -6069.67
37200 -6069.6
37300 -6069.74
37400 -6069.85
37500 -6070.04
37600 -6070.17
37700 -6070.3
37800 -6070.53
37900 -6070.62
38000 -6070.75
38100 -6070.79
38200 -6070.84
38300 -6070.95
38400 -6070.98
38500 -6070.87
38600 -6070.74
38700 -6070.38
38800 -6069.98
38900 -6069.64
39000 -6069.4
39100 -6069.29
39200 -6069.11
39300 -6068.99
39400 -6068.85
39500 -6068.75
39600 -6068.69
39700 -6068.66
39800 -6068.62
39900 -6068.62
40000 -6068.68
