# Time-averaged data for fix myat3
# TimeStep v_myene
100 -651247
200 -651248
300 -651249
400 -651253
500 -651256
600 -651258
700 -651260
800 -651261
900 -651261
1000 -651259
1100 -651257
1200 -651254
1300 -651251
1400 -651249
1500 -651248
1600 -651246
1700 -651244
1800 -651241
1900 -651240
2000 -651240
2100 -651239
2200 -651238
2300 -651235
2400 -651232
2500 -651229
2600 -651228
2700 -651227
2800 -651225
2900 -651223
3000 -651221
3100 -651219
3200 -651216
3300 -651213
3400 -651211
3500 -651208
3600 -651205
3700 -651202
3800 -651200
3900 -651198
4000 -651197
4100 -651197
4200 -651197
4300 -651200
4400 -651205
4500 -651211
4600 -651216
4700 -651221
4800 -651226
4900 -651231
5000 -651235
5100 -651238
5200 -651242
5300 -651246
5400 -651249
5500 -651252
5600 -651255
5700 -651259
5800 -651260
5900 -651262
6000 -651265
6100 -651266
6200 -651268
6300 -651269
6400 -651271
6500 -651272
6600 -651273
6700 -651275
6800 -651276
6900 -651276
7000 -651275
7100 -651273
7200 -651270
7300 -651267
7400 -651263
7500 -651261
7600 -651259
7700 -651257
7800 -651255
7900 -651252
8000 -651249
8100 -651245
8200 -651243
8300 -651241
8400 -651239
8500 -651236
8600 -651233
8700 -651232
8800 -651232
8900 -651232
9000 -651235
9100 -651239
9200 -651243
9300 -651246
9400 -651250
9500 -651252
9600 -651254
9700 -651256
9800 -651257
9900 -651259
10000 -651261
10100 -651263
10200 -651264
10300 -651263
10400 -651262
10500 -651260
10600 -651259
10700 -651258
10800 -651256
10900 -651255
11000 -651252
11100 -651251
11200 -651249
11300 -651247
11400 -651244
11500 -651243
11600 -651242
11700 -651240
11800 -651238
11900 -651235
12000 -651231
12100 -651228
12200 -651226
12300 -651223
12400 -651221
12500 -651219
12600 -651218
12700 -651215
12800 -651212
12900 -651208
13000 -651206
13100 -651205
13200 -651202
13300 -651201
13400 -651200
13500 -651202
13600 -651205
13700 -651208
13800 -651212
13900 -651216
14000 -651221
14100 -651223
14200 -651226
14300 -651229
14400 -651233
14500 -651237
14600 -651240
14700 -651242
14800 -651243
14900 -651246
15000 -651248
15100 -651252
15200 -651254
15300 -651257
15400 -651259
15500 -651261
15600 -651263
15700 -651264
15800 -651264
15900 -651264
16000 -651263
16100 -651264
16200 -651265
16300 -651266
16400 -651267
16500 -651267
16600 -651266
16700 -651264
16800 -651261
16900 -651257
17000 -651254
17100 -651252
17200 -651250
17300 -651247
17400 -651245
17500 -651243
17600 -651242
17700 -651239
17800 -651237
17900 -651234
18000 -651231
18100 -651229
18200 -651227
18300 -651226
18400 -651225
18500 -651226
18600 -651229
18700 -651234
18800 -651237
18900 -651240
19000 -651243
19100 -651245
19200 -651248
19300 -651250
19400 -651250
19500 -651249
19600 -651249
19700 -651248
19800 -651248
19900 -651248
20000 -651249
20100 -651252
20200 -651255
20300 -651257
20400 -651259
20500 -651260
20600 -651260
20700 -651260
20800 -651257
20900 -651254
21000 -651250
21100 -651247
21200 -651244
21300 -651242
21400 -651239
21500 -651236
21600 -651235
21700 -651233
21800 -651230
21900 -651226
22000 -651223
22100 -651220
22200 -651217
22300 -651215
22400 -651213
22500 -651212
22600 -651211
22700 -651211
22800 -651212
22900 -651215
23000 -651218
23100 -651219
23200 -651220
23300 -651223
23400 -651224
23500 -651225
23600 -651226
23700 -651226
23800 -651225
23900 -651226
24000 -651227
24100 -651229
24200 -651232
24300 -651235
24400 -651237
24500 -651239
24600 -651240
24700 -651241
24800 -651244
24900 -651247
25000 -651249
25100 -651251
25200 -651253
25300 -651254
25400 -651255
25500 -651257
25600 -651260
25700 -651261
25800 -651260
25900 -651257
26000 -651254
26100 -651251
26200 -651247
26300 -651243
26400 -651239
26500 -651236
26600 -651232
26700 -651229
26800 -651226
26900 -651223
27000 -651221
27100 -651221
27200 -651222
27300 -651224
27400 -651226
27500 -651229
27600 -651233
27700 -651237
27800 -651240
27900 -651242
28000 -651245
28100 -651249
28200 -651253
28300 -651256
28400 -651260
28500 -651262
28600 -651262
28700 -651262
28800 -651261
28900 -651260
29000 -651258
29100 -651255
29200 -651252
29300 -651250
29400 -651248
29500 -651247
29600 -651245
29700 -651244
29800 -651242
29900 -651240
30000 -651239
30100 -651237
30200 -651235
30300 -651233
30400 -651231
30500 -651230
30600 -651230
30700 -651230
30800 -651230
30900 -651229
31000 -651230
31100 -651231
31200 -651231
31300 -651231
31400 -651229
31500 -651226
31600 -651222
31700 -651218
31800 -651215
31900 -651213
32000 -651211
32100 -651208
32200 -651206
32300 -651204
32400 -651203
32500 -651202
32600 -651203
32700 -651205
32800 -651208
32900 -651211
33000 -651214
33100 -651217
33200 -651221
33300 -651225
33400 -651229
33500 -651233
33600 -651237
33700 -651241
33800 -651244
33900 -651246
34000 -651247
34100 -651249
34200 -651250
34300 -651252
34400 -651253
34500 -651254
34600 -651254
34700 -651255
34800 -651256
34900 -651257
35000 -651256
35100 -651255
35200 -651253
35300 -651251
35400 -651248
35500 -651243
35600 -651240
35700 -651238
35800 -651236
35900 -651233
36000 -651230
36100 -651227
36200 -651225
36300 -651223
36400 -651221
36500 -651220
36600 -651219
36700 -651219
36800 -651218
36900 -651218
37000 -651218
37100 -651220
37200 -651223
37300 -651226
37400 -651229
37500 -651231
37600 -651234
37700 -651235
37800 -651237
37900 -651240
38000 -651242
38100 -651244
38200 -651245
38300 -651247
38400 -651249
38500 -651251
38600 -651252
38700 -651254
38800 -651256
38900 -651258
39000 -651260
39100 -651261
39200 -651260
39300 -651258
39400 -651257
39500 -651255
39600 -651252
39700 -651248
39800 -651246
