# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -328475
200 -328476
300 -328477
400 -328478
500 -328479
600 -328480
700 -328480
800 -328480
900 -328478
1000 -328474
1100 -328472
1200 -328471
1300 -328470
1400 -328469
1500 -328469
1600 -328469
1700 -328469
1800 -328468
1900 -328466
2000 -328464
2100 -328462
2200 -328460
2300 -328459
2400 -328459
2500 -328460
2600 -328462
2700 -328463
2800 -328464
2900 -328465
3000 -328465
3100 -328465
3200 -328463
3300 -328461
3400 -328459
3500 -328458
3600 -328457
3700 -328456
3800 -328456
3900 -328456
4000 -328456
4100 -328455
4200 -328454
4300 -328453
4400 -328452
4500 -328451
4600 -328451
4700 -328451
4800 -328453
4900 -328456
5000 -328459
5100 -328461
5200 -328463
5300 -328465
5400 -328468
5500 -328471
5600 -328472
5700 -328472
5800 -328472
5900 -328472
6000 -328473
6100 -328475
6200 -328477
6300 -328479
6400 -328480
6500 -328480
6600 -328480
6700 -328479
6800 -328477
6900 -328476
7000 -328474
7100 -328472
7200 -328473
7300 -328474
7400 -328475
7500 -328477
7600 -328478
7700 -328479
7800 -328480
7900 -328478
8000 -328477
8100 -328476
8200 -328475
8300 -328473
8400 -328472
8500 -328471
8600 -328470
8700 -328470
8800 -328469
8900 -328468
9000 -328467
9100 -328466
9200 -328466
9300 -328465
9400 -328466
9500 -328467
9600 -328469
9700 -328472
9800 -328473
9900 -328474
10000 -328475
10100 -328476
10200 -328478
10300 -328479
10400 -328479
10500 -328479
10600 -328478
10700 -328477
10800 -328476
10900 -328474
11000 -328473
11100 -328471
11200 -328469
11300 -328469
11400 -328469
11500 -328469
11600 -328469
11700 -328469
11800 -328468
11900 -328467
12000 -328465
12100 -328463
12200 -328462
12300 -328461
12400 -328461
12500 -328460
12600 -328460
12700 -328459
12800 -328458
12900 -328456
13000 -328453
13100 -328451
13200 -328450
13300 -328449
13400 -328447
13500 -328446
13600 -328444
13700 -328443
13800 -328445
13900 -328448
14000 -328451
14100 -328453
14200 -328455
14300 -328457
14400 -328460
14500 -328463
14600 -328465
14700 -328468
14800 -328471
14900 -328474
15000 -328477
15100 -328479
15200 -328481
15300 -328483
15400 -328484
15500 -328484
15600 -328483
15700 -328482
15800 -328479
15900 -328477
16000 -328474
16100 -328472
16200 -328471
16300 -328471
16400 -328472
16500 -328474
16600 -328477
16700 -328479
16800 -328480
16900 -328481
17000 -328480
17100 -328480
17200 -328479
17300 -328476
17400 -328473
17500 -328471
17600 -328469
17700 -328467
17800 -328464
17900 -328461
18000 -328459
18100 -328456
18200 -328453
18300 -328450
18400 -328448
18500 -328445
18600 -328445
18700 -328446
18800 -328448
18900 -328450
19000 -328453
19100 -328456
19200 -328458
19300 -328461
19400 -328463
19500 -328466
19600 -328469
19700 -328471
19800 -328473
19900 -328475
20000 -328478
20100 -328481
20200 -328483
20300 -328483
20400 -328484
20500 -328485
20600 -328486
20700 -328486
20800 -328484
20900 -328482
21000 -328481
21100 -328478
21200 -328476
21300 -328474
21400 -328473
21500 -328472
21600 -328470
21700 -328469
21800 -328468
21900 -328466
22000 -328464
22100 -328462
22200 -328461
22300 -328461
22400 -328461
22500 -328461
22600 -328461
22700 -328463
22800 -328465
22900 -328466
23000 -328466
23100 -328467
23200 -328467
23300 -328466
23400 -328464
23500 -328462
23600 -328460
23700 -328459
23800 -328457
23900 -328457
24000 -328457
24100 -328456
24200 -328453
24300 -328451
24400 -328450
24500 -328450
24600 -328451
24700 -328452
24800 -328456
24900 -328458
25000 -328460
25100 -328461
25200 -328464
25300 -328467
25400 -328469
25500 -328470
25600 -328471
25700 -328471
25800 -328472
25900 -328473
26000 -328473
26100 -328473
26200 -328472
26300 -328471
26400 -328469
26500 -328467
26600 -328466
26700 -328464
26800 -328462
26900 -328461
27000 -328461
27100 -328460
27200 -328460
27300 -328460
27400 -328461
27500 -328462
27600 -328463
27700 -328464
27800 -328464
27900 -328466
28000 -328468
28100 -328469
28200 -328471
28300 -328472
28400 -328472
28500 -328473
28600 -328472
28700 -328472
28800 -328471
28900 -328471
29000 -328470
29100 -328469
29200 -328468
29300 -328468
29400 -328467
29500 -328466
29600 -328465
29700 -328466
29800 -328468
29900 -328470
30000 -328471
30100 -328473
30200 -328475
30300 -328476
30400 -328477
30500 -328477
30600 -328477
30700 -328477
30800 -328477
30900 -328478
31000 -328479
31100 -328480
31200 -328482
31300 -328484
31400 -328485
31500 -328485
31600 -328485
31700 -328484
31800 -328483
31900 -328482
32000 -328480
32100 -328478
32200 -328476
32300 -328474
32400 -328472
32500 -328470
32600 -328468
32700 -328466
32800 -328464
32900 -328462
33000 -328460
33100 -328459
33200 -328458
33300 -328457
33400 -328455
33500 -328454
33600 -328454
33700 -328455
33800 -328457
33900 -328460
34000 -328462
34100 -328464
34200 -328467
34300 -328470
34400 -328472
34500 -328473
34600 -328475
34700 -328478
34800 -328479
34900 -328480
35000 -328481
35100 -328482
35200 -328482
35300 -328482
35400 -328481
35500 -328479
35600 -328477
35700 -328475
35800 -328473
35900 -328471
36000 -328470
36100 -328469
36200 -328469
36300 -328471
36400 -328474
36500 -328477
36600 -328479
36700 -328481
36800 -328483
36900 -328484
37000 -328484
37100 -328485
37200 -328485
37300 -328484
37400 -328482
37500 -328480
37600 -328478
37700 -328477
37800 -328476
37900 -328473
38000 -328472
38100 -328470
38200 -328470
38300 -328469
38400 -328468
38500 -328469
38600 -328471
38700 -328472
38800 -328474
38900 -328476
39000 -328478
39100 -328480
39200 -328481
39300 -328483
39400 -328484
39500 -328484
39600 -328484
39700 -328483
39800 -328481
39900 -328478
40000 -328476
