# Time-averaged data for fix myat3
# TimeStep v_myene
100 -651105
200 -651104
300 -651102
400 -651100
500 -651098
600 -651094
700 -651091
800 -651089
900 -651087
1000 -651086
1100 -651086
1200 -651086
1300 -651085
1400 -651083
1500 -651080
1600 -651078
1700 -651077
1800 -651076
1900 -651074
2000 -651072
2100 -651068
2200 -651065
2300 -651062
2400 -651059
2500 -651057
2600 -651054
2700 -651051
2800 -651048
2900 -651046
3000 -651044
3100 -651042
3200 -651038
3300 -651035
3400 -651033
3500 -651032
3600 -651031
3700 -651029
3800 -651028
3900 -651029
4000 -651032
4100 -651037
4200 -651040
4300 -651044
4400 -651047
4500 -651050
4600 -651053
4700 -651056
4800 -651060
4900 -651064
5000 -651068
5100 -651072
5200 -651075
5300 -651079
5400 -651083
5500 -651086
5600 -651090
5700 -651095
5800 -651098
5900 -651100
6000 -651101
6100 -651101
6200 -651102
6300 -651104
6400 -651107
6500 -651110
6600 -651112
6700 -651113
6800 -651113
6900 -651112
7000 -651109
7100 -651104
7200 -651100
7300 -651096
7400 -651093
7500 -651089
7600 -651086
7700 -651082
7800 -651078
7900 -651074
8000 -651072
8100 -651070
8200 -651068
8300 -651064
8400 -651062
8500 -651061
8600 -651060
8700 -651060
8800 -651060
8900 -651062
9000 -651067
9100 -651071
9200 -651075
9300 -651078
9400 -651082
9500 -651086
9600 -651090
9700 -651093
9800 -651095
9900 -651097
10000 -651098
10100 -651100
10200 -651102
10300 -651102
10400 -651101
10500 -651099
10600 -651097
10700 -651096
10800 -651092
10900 -651089
11000 -651086
11100 -651084
11200 -651082
11300 -651080
11400 -651078
11500 -651076
11600 -651073
11700 -651069
11800 -651065
11900 -651062
12000 -651059
12100 -651057
12200 -651055
12300 -651052
12400 -651050
12500 -651049
12600 -651047
12700 -651045
12800 -651044
12900 -651042
13000 -651042
13100 -651041
13200 -651040
13300 -651039
13400 -651041
13500 -651044
13600 -651048
13700 -651051
13800 -651052
13900 -651053
14000 -651054
14100 -651055
14200 -651055
14300 -651054
14400 -651054
14500 -651054
14600 -651057
14700 -651060
14800 -651064
14900 -651067
15000 -651069
15100 -651071
15200 -651074
15300 -651075
15400 -651077
15500 -651079
15600 -651081
15700 -651084
15800 -651087
15900 -651089
16000 -651089
16100 -651088
16200 -651086
16300 -651083
16400 -651080
16500 -651077
16600 -651074
16700 -651070
16800 -651067
16900 -651063
17000 -651060
17100 -651056
17200 -651053
17300 -651051
17400 -651050
17500 -651049
17600 -651049
17700 -651051
17800 -651054
17900 -651057
18000 -651061
18100 -651065
18200 -651068
18300 -651071
18400 -651074
18500 -651076
18600 -651078
18700 -651080
18800 -651082
18900 -651085
19000 -651088
19100 -651089
19200 -651090
19300 -651090
19400 -651089
19500 -651088
19600 -651086
19700 -651084
19800 -651083
19900 -651083
20000 -651082
20100 -651081
20200 -651081
20300 -651080
20400 -651079
20500 -651078
20600 -651077
20700 -651076
20800 -651075
20900 -651073
21000 -651070
21100 -651068
21200 -651066
21300 -651063
21400 -651061
21500 -651060
21600 -651058
21700 -651057
21800 -651056
21900 -651054
22000 -651051
22100 -651049
22200 -651048
22300 -651048
22400 -651048
22500 -651046
22600 -651044
22700 -651042
22800 -651040
22900 -651037
23000 -651035
23100 -651033
23200 -651032
23300 -651031
23400 -651031
23500 -651033
23600 -651037
23700 -651042
23800 -651045
23900 -651049
24000 -651054
24100 -651058
24200 -651062
24300 -651066
24400 -651070
24500 -651076
24600 -651080
24700 -651084
24800 -651087
24900 -651091
25000 -651094
25100 -651098
25200 -651101
25300 -651103
25400 -651103
25500 -651104
25600 -651104
25700 -651102
25800 -651100
25900 -651095
26000 -651091
26100 -651088
26200 -651084
26300 -651080
26400 -651076
26500 -651072
26600 -651069
26700 -651066
26800 -651064
26900 -651062
27000 -651059
27100 -651057
27200 -651056
27300 -651056
27400 -651057
27500 -651059
27600 -651062
27700 -651065
27800 -651068
27900 -651072
28000 -651075
28100 -651079
28200 -651082
28300 -651085
28400 -651086
28500 -651087
28600 -651088
28700 -651090
28800 -651091
28900 -651093
29000 -651094
29100 -651094
29200 -651093
29300 -651092
29400 -651090
29500 -651086
29600 -651082
29700 -651079
29800 -651077
29900 -651075
30000 -651072
30100 -651070
30200 -651067
30300 -651064
30400 -651062
30500 -651060
30600 -651058
30700 -651056
30800 -651054
30900 -651052
31000 -651050
31100 -651047
31200 -651044
31300 -651043
31400 -651042
31500 -651041
31600 -651041
31700 -651044
31800 -651047
31900 -651049
32000 -651051
32100 -651053
32200 -651055
32300 -651057
32400 -651059
32500 -651061
32600 -651062
32700 -651064
32800 -651065
32900 -651065
33000 -651065
33100 -651067
33200 -651069
33300 -651071
33400 -651074
33500 -651077
33600 -651078
33700 -651079
33800 -651080
33900 -651081
34000 -651082
34100 -651082
34200 -651084
34300 -651086
34400 -651088
34500 -651090
34600 -651090
34700 -651091
34800 -651091
34900 -651090
35000 -651089
35100 -651087
35200 -651084
35300 -651080
35400 -651078
35500 -651076
35600 -651074
35700 -651071
35800 -651068
35900 -651067
36000 -651065
36100 -651062
36200 -651059
36300 -651056
36400 -651053
36500 -651050
36600 -651047
36700 -651046
36800 -651047
36900 -651050
37000 -651053
37100 -651057
37200 -651062
37300 -651065
37400 -651069
37500 -651072
37600 -651075
37700 -651078
37800 -651081
37900 -651084
38000 -651086
38100 -651089
38200 -651092
38300 -651095
38400 -651097
38500 -651099
38600 -651100
38700 -651100
38800 -651099
38900 -651097
39000 -651094
39100 -651091
39200 -651088
39300 -651085
39400 -651083
39500 -651081
39600 -651079
39700 -651077
39800 -651075
39900 -651073
40000 -651071
