# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -161003
200 -161003
300 -161004
400 -161005
500 -161005
600 -161005
700 -161005
800 -161005
900 -161005
1000 -161006
1100 -161007
1200 -161008
1300 -161010
1400 -161012
1500 -161013
1600 -161013
1700 -161013
1800 -161013
1900 -161013
2000 -161012
2100 -161011
2200 -161010
2300 -161010
2400 -161009
2500 -161008
2600 -161007
2700 -161007
2800 -161008
2900 -161008
3000 -161009
3100 -161009
3200 -161011
3300 -161011
3400 -161012
3500 -161012
3600 -161012
3700 -161012
3800 -161013
3900 -161013
4000 -161014
4100 -161015
4200 -161015
4300 -161014
4400 -161014
4500 -161013
4600 -161013
4700 -161012
4800 -161011
4900 -161010
5000 -161010
5100 -161010
5200 -161011
5300 -161011
5400 -161010
5500 -161010
5600 -161011
5700 -161011
5800 -161011
5900 -161011
6000 -161010
6100 -161009
6200 -161009
6300 -161009
6400 -161008
6500 -161007
6600 -161008
6700 -161008
6800 -161007
6900 -161007
7000 -161007
7100 -161008
7200 -161009
7300 -161010
7400 -161011
7500 -161012
7600 -161013
7700 -161014
7800 -161015
7900 -161015
8000 -161016
8100 -161016
8200 -161015
8300 -161015
8400 -161013
8500 -161012
8600 -161010
8700 -161010
8800 -161010
8900 -161009
9000 -161008
9100 -161007
9200 -161007
9300 -161007
9400 -161007
9500 -161007
9600 -161008
9700 -161009
9800 -161010
9900 -161012
10000 -161013
10100 -161013
10200 -161014
10300 -161014
10400 -161015
10500 -161015
10600 -161015
10700 -161016
10800 -161016
10900 -161017
11000 -161017
11100 -161016
11200 -161016
11300 -161015
11400 -161014
11500 -161012
11600 -161010
11700 -161009
11800 -161009
11900 -161009
12000 -161009
12100 -161008
12200 -161008
12300 -161009
12400 -161009
12500 -161010
12600 -161011
12700 -161012
12800 -161013
12900 -161014
13000 -161015
13100 -161015
13200 -161015
13300 -161015
13400 -161014
13500 -161014
13600 -161014
13700 -161014
13800 -161014
13900 -161014
14000 -161014
14100 -161014
14200 -161014
14300 -161013
14400 -161011
14500 -161009
14600 -161008
14700 -161006
14800 -161006
14900 -161006
15000 -161007
15100 -161008
15200 -161009
15300 -161009
15400 -161010
15500 -161011
15600 -161012
15700 -161013
15800 -161014
15900 -161015
16000 -161015
16100 -161016
16200 -161017
16300 -161017
16400 -161018
16500 -161018
16600 -161019
16700 -161018
16800 -161018
16900 -161018
17000 -161017
