# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -166740
200 -166739
300 -166739
400 -166740
500 -166740
600 -166740
700 -166740
800 -166740
900 -166738
1000 -166737
1100 -166736
1200 -166735
1300 -166735
1400 -166735
1500 -166736
1600 -166736
1700 -166737
1800 -166739
1900 -166740
2000 -166741
2100 -166741
2200 -166741
2300 -166740
2400 -166739
2500 -166739
2600 -166739
2700 -166739
2800 -166739
2900 -166739
3000 -166739
3100 -166740
3200 -166742
3300 -166743
3400 -166743
3500 -166743
3600 -166743
3700 -166742
3800 -166742
3900 -166742
4000 -166742
4100 -166743
4200 -166744
4300 -166745
4400 -166746
4500 -166746
4600 -166746
4700 -166745
4800 -166744
4900 -166743
5000 -166742
5100 -166741
5200 -166741
5300 -166740
5400 -166740
5500 -166739
5600 -166739
5700 -166740
5800 -166740
5900 -166740
6000 -166741
6100 -166741
6200 -166741
6300 -166741
6400 -166741
6500 -166741
6600 -166740
6700 -166739
6800 -166738
6900 -166738
7000 -166738
7100 -166739
7200 -166740
7300 -166740
7400 -166741
7500 -166741
7600 -166742
7700 -166742
7800 -166743
7900 -166744
8000 -166745
8100 -166746
8200 -166747
8300 -166747
8400 -166747
8500 -166746
8600 -166744
8700 -166743
8800 -166742
8900 -166741
9000 -166740
9100 -166740
9200 -166739
9300 -166739
9400 -166739
9500 -166739
9600 -166739
9700 -166740
9800 -166741
9900 -166741
10000 -166742
10100 -166744
10200 -166745
10300 -166745
10400 -166745
10500 -166745
10600 -166744
10700 -166744
10800 -166743
10900 -166743
11000 -166742
11100 -166741
11200 -166741
11300 -166741
11400 -166741
11500 -166742
11600 -166741
11700 -166740
11800 -166739
11900 -166739
12000 -166738
12100 -166738
12200 -166738
12300 -166739
12400 -166739
12500 -166740
12600 -166740
12700 -166742
12800 -166743
12900 -166744
13000 -166745
13100 -166746
13200 -166746
13300 -166745
13400 -166744
13500 -166743
13600 -166743
13700 -166742
13800 -166741
13900 -166741
14000 -166741
14100 -166741
14200 -166741
14300 -166740
14400 -166739
14500 -166738
14600 -166736
14700 -166736
14800 -166736
14900 -166736
15000 -166736
15100 -166736
15200 -166737
15300 -166738
15400 -166738
