# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -5851.3
200 -5851.33
300 -5851.17
400 -5850.97
500 -5850.76
600 -5850.47
700 -5850.29
800 -5850.13
900 -5849.98
1000 -5849.88
1100 -5849.86
1200 -5850
1300 -5850.02
1400 -5850.18
1500 -5850.25
1600 -5850.35
1700 -5850.48
1800 -5850.58
1900 -5850.66
2000 -5850.59
2100 -5850.43
2200 -5850.33
2300 -5850.04
2400 -5849.74
2500 -5849.42
2600 -5849.17
2700 -5848.94
2800 -5848.85
2900 -5848.89
3000 -5848.98
3100 -5849.01
3200 -5849.02
3300 -5849.14
3400 -5849.31
3500 -5849.45
3600 -5849.62
3700 -5849.77
3800 -5849.91
3900 -5850.04
4000 -5850.18
4100 -5850.28
4200 -5850.33
4300 -5850.41
4400 -5850.33
4500 -5850.3
4600 -5850.21
4700 -5849.9
4800 -5849.4
4900 -5848.78
5000 -5848.48
5100 -5848.37
5200 -5848.42
5300 -5848.46
5400 -5848.68
5500 -5849
5600 -5849.36
5700 -5849.78
5800 -5850.05
5900 -5850.29
6000 -5850.52
6100 -5850.62
6200 -5850.78
6300 -5850.78
6400 -5850.8
6500 -5850.74
6600 -5850.8
6700 -5850.72
6800 -5850.7
6900 -5850.6
7000 -5850.51
7100 -5850.51
7200 -5850.62
7300 -5850.74
7400 -5850.94
7500 -5851.14
7600 -5851.3
7700 -5851.52
7800 -5851.72
7900 -5851.76
8000 -5851.77
8100 -5851.59
8200 -5851.5
8300 -5851.3
8400 -5850.99
8500 -5850.63
8600 -5850.45
8700 -5850.12
8800 -5850.07
8900 -5850.19
9000 -5850.2
9100 -5850.34
9200 -5850.48
9300 -5850.62
9400 -5850.73
9500 -5850.89
9600 -5850.94
9700 -5850.97
9800 -5850.94
9900 -5850.93
10000 -5850.99
10100 -5851.02
10200 -5850.95
10300 -5850.94
10400 -5850.88
10500 -5850.79
10600 -5850.58
10700 -5850.22
10800 -5849.88
10900 -5849.64
11000 -5849.53
11100 -5849.44
11200 -5849.62
11300 -5849.89
11400 -5850.2
11500 -5850.54
11600 -5850.78
11700 -5851.04
11800 -5851.18
11900 -5851.13
12000 -5851.27
12100 -5851.29
12200 -5851.23
12300 -5851.18
12400 -5851.11
12500 -5850.89
12600 -5850.82
12700 -5850.57
12800 -5850.31
12900 -5850.14
13000 -5849.96
13100 -5849.84
13200 -5849.8
13300 -5849.86
13400 -5850.03
13500 -5850.43
13600 -5850.83
13700 -5851.16
13800 -5851.47
13900 -5851.53
14000 -5851.55
14100 -5851.54
14200 -5851.42
14300 -5851.38
14400 -5851.29
14500 -5851.17
14600 -5850.94
14700 -5850.69
14800 -5850.49
14900 -5850.42
15000 -5850.27
15100 -5850.17
15200 -5850.19
15300 -5850.23
15400 -5850.33
15500 -5850.65
15600 -5850.97
15700 -5851.32
15800 -5851.49
15900 -5851.71
16000 -5851.72
16100 -5851.72
16200 -5851.61
16300 -5851.51
16400 -5851.38
16500 -5851.19
16600 -5851.02
16700 -5850.88
16800 -5850.66
16900 -5850.55
17000 -5850.54
17100 -5850.5
17200 -5850.53
17300 -5850.61
17400 -5850.59
17500 -5850.74
17600 -5850.86
17700 -5850.85
17800 -5850.97
17900 -5851.04
18000 -5851.15
18100 -5851.23
18200 -5851.46
18300 -5851.59
18400 -5851.84
18500 -5851.96
18600 -5851.98
18700 -5852.01
18800 -5851.89
18900 -5851.57
19000 -5851.36
19100 -5851.1
19200 -5850.88
19300 -5850.71
19400 -5850.49
19500 -5850.33
19600 -5850.26
19700 -5850.06
19800 -5849.9
19900 -5849.84
20000 -5849.67
20100 -5849.48
20200 -5849.43
20300 -5849.28
20400 -5849.31
20500 -5849.3
20600 -5849.27
20700 -5849.4
20800 -5849.63
20900 -5849.86
21000 -5850.14
21100 -5850.41
21200 -5850.53
21300 -5850.65
21400 -5850.61
21500 -5850.6
21600 -5850.46
21700 -5850.27
21800 -5849.97
21900 -5849.74
22000 -5849.53
22100 -5849.45
22200 -5849.37
22300 -5849.36
22400 -5849.39
22500 -5849.5
22600 -5849.51
22700 -5849.59
22800 -5849.62
22900 -5849.66
23000 -5849.65
23100 -5849.72
23200 -5849.77
23300 -5849.79
23400 -5849.88
23500 -5849.86
23600 -5849.93
23700 -5849.94
23800 -5849.99
23900 -5849.96
24000 -5849.91
24100 -5849.88
24200 -5849.88
24300 -5849.87
24400 -5849.86
24500 -5849.84
24600 -5849.85
24700 -5849.75
24800 -5849.74
24900 -5849.81
25000 -5849.88
25100 -5850.01
25200 -5850.21
25300 -5850.45
