# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -645176
200 -645173
300 -645170
400 -645169
500 -645169
600 -645169
700 -645169
800 -645169
900 -645170
1000 -645171
1100 -645172
1200 -645171
1300 -645170
1400 -645167
1500 -645164
1600 -645160
1700 -645157
1800 -645155
1900 -645153
2000 -645150
2100 -645147
2200 -645143
2300 -645140
2400 -645136
2500 -645132
2600 -645130
2700 -645129
2800 -645129
2900 -645128
3000 -645129
3100 -645129
3200 -645129
3300 -645129
3400 -645128
3500 -645126
3600 -645125
3700 -645123
3800 -645124
3900 -645126
4000 -645129
4100 -645132
4200 -645135
4300 -645139
4400 -645143
4500 -645145
4600 -645148
4700 -645152
4800 -645157
4900 -645160
5000 -645161
5100 -645164
5200 -645168
5300 -645171
5400 -645173
5500 -645174
5600 -645175
5700 -645175
5800 -645175
5900 -645173
6000 -645170
6100 -645167
6200 -645164
6300 -645161
6400 -645159
6500 -645156
6600 -645153
6700 -645150
6800 -645148
6900 -645147
7000 -645146
7100 -645145
7200 -645143
7300 -645142
7400 -645143
7500 -645144
7600 -645147
7700 -645150
7800 -645153
7900 -645155
8000 -645157
8100 -645158
8200 -645160
8300 -645160
8400 -645159
8500 -645160
8600 -645161
8700 -645163
8800 -645163
8900 -645163
9000 -645164
9100 -645165
9200 -645166
9300 -645165
9400 -645163
9500 -645160
9600 -645157
9700 -645154
9800 -645152
9900 -645151
10000 -645150
10100 -645150
10200 -645153
10300 -645156
10400 -645157
10500 -645157
10600 -645157
10700 -645156
10800 -645156
10900 -645155
11000 -645154
11100 -645153
11200 -645150
11300 -645147
11400 -645145
11500 -645143
11600 -645141
11700 -645139
11800 -645137
11900 -645135
12000 -645135
12100 -645134
12200 -645132
12300 -645129
12400 -645127
12500 -645124
12600 -645121
12700 -645119
12800 -645117
12900 -645116
13000 -645116
13100 -645117
13200 -645119
13300 -645121
13400 -645123
13500 -645126
13600 -645129
13700 -645132
13800 -645135
13900 -645138
14000 -645142
14100 -645147
14200 -645151
14300 -645156
14400 -645161
14500 -645165
14600 -645169
14700 -645173
14800 -645177
14900 -645180
15000 -645183
15100 -645185
15200 -645188
15300 -645190
15400 -645191
15500 -645190
15600 -645189
15700 -645187
15800 -645184
15900 -645179
16000 -645174
16100 -645170
16200 -645166
16300 -645161
16400 -645156
16500 -645152
16600 -645149
16700 -645147
16800 -645144
16900 -645141
17000 -645139
17100 -645139
17200 -645139
17300 -645138
17400 -645136
17500 -645136
17600 -645136
17700 -645138
17800 -645140
17900 -645143
18000 -645147
18100 -645152
18200 -645155
18300 -645158
18400 -645161
18500 -645164
18600 -645167
18700 -645169
18800 -645171
18900 -645173
19000 -645175
19100 -645177
19200 -645177
19300 -645177
19400 -645178
19500 -645178
19600 -645176
19700 -645174
19800 -645171
19900 -645168
20000 -645166
20100 -645164
20200 -645161
20300 -645157
20400 -645155
20500 -645153
20600 -645151
20700 -645148
20800 -645145
20900 -645142
21000 -645139
21100 -645137
21200 -645135
21300 -645134
21400 -645133
21500 -645131
21600 -645127
21700 -645124
21800 -645122
21900 -645119
22000 -645116
22100 -645114
22200 -645113
22300 -645112
22400 -645111
22500 -645110
22600 -645109
22700 -645111
22800 -645112
22900 -645113
23000 -645117
23100 -645121
23200 -645124
23300 -645127
23400 -645131
23500 -645134
23600 -645137
23700 -645140
23800 -645143
23900 -645146
24000 -645149
24100 -645152
24200 -645156
24300 -645158
24400 -645160
24500 -645161
24600 -645162
24700 -645162
24800 -645162
24900 -645161
25000 -645160
25100 -645158
25200 -645158
25300 -645157
25400 -645156
25500 -645154
25600 -645152
25700 -645152
25800 -645151
25900 -645151
26000 -645151
26100 -645152
26200 -645154
26300 -645157
26400 -645159
26500 -645161
26600 -645162
26700 -645163
26800 -645163
26900 -645162
27000 -645161
27100 -645159
27200 -645157
27300 -645155
27400 -645153
27500 -645153
27600 -645155
27700 -645161
27800 -645166
27900 -645170
28000 -645172
28100 -645173
28200 -645176
28300 -645179
28400 -645179
28500 -645179
28600 -645178
28700 -645175
28800 -645172
28900 -645169
29000 -645166
29100 -645163
29200 -645161
29300 -645159
29400 -645157
29500 -645155
29600 -645152
29700 -645150
29800 -645147
29900 -645144
30000 -645142
30100 -645139
30200 -645136
30300 -645135
30400 -645134
30500 -645133
30600 -645132
30700 -645130
