# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -5969.97
200 -5970.04
300 -5970.03
400 -5970
500 -5970.1
600 -5970.15
700 -5970.24
800 -5970.58
900 -5970.77
1000 -5971.03
1100 -5971.31
1200 -5971.52
1300 -5971.61
1400 -5971.63
1500 -5971.69
1600 -5971.64
1700 -5971.61
1800 -5971.5
1900 -5971.34
2000 -5971.18
2100 -5971.07
2200 -5970.83
2300 -5970.57
2400 -5970.32
2500 -5970.16
2600 -5970.06
2700 -5969.81
2800 -5969.91
2900 -5970.16
3000 -5970.58
3100 -5971.04
3200 -5971.38
3300 -5971.59
3400 -5971.82
3500 -5971.92
3600 -5971.91
3700 -5971.87
3800 -5971.88
3900 -5971.76
4000 -5971.55
4100 -5971.39
4200 -5971.18
4300 -5970.99
4400 -5970.72
4500 -5970.59
4600 -5970.54
4700 -5970.56
4800 -5970.68
4900 -5970.96
5000 -5971.28
5100 -5971.62
5200 -5971.95
5300 -5972.07
5400 -5971.97
5500 -5972.17
5600 -5971.94
5700 -5971.89
5800 -5971.7
5900 -5971.68
6000 -5971.57
6100 -5971.41
6200 -5971.35
6300 -5971.33
6400 -5971.34
6500 -5971.16
6600 -5971.3
6700 -5971.09
6800 -5970.97
6900 -5971.14
7000 -5970.67
7100 -5970.45
7200 -5970.36
7300 -5970.42
7400 -5970.19
7500 -5970.42
7600 -5970.75
7700 -5970.95
7800 -5971.34
7900 -5971.46
8000 -5971.9
8100 -5972.05
8200 -5972.07
8300 -5972.16
8400 -5971.95
8500 -5971.8
8600 -5971.69
8700 -5971.36
8800 -5971.17
8900 -5971.19
9000 -5971.14
9100 -5971
9200 -5971.17
9300 -5971.18
9400 -5971.03
9500 -5971.06
9600 -5970.93
9700 -5970.9
9800 -5970.86
9900 -5970.81
10000 -5970.69
10100 -5970.5
10200 -5970.43
10300 -5970.36
10400 -5970.21
10500 -5970
10600 -5970.03
10700 -5969.91
10800 -5969.68
10900 -5969.77
11000 -5969.74
11100 -5969.88
11200 -5969.93
11300 -5970.06
11400 -5970.2
11500 -5970.45
11600 -5970.69
11700 -5970.79
11800 -5970.96
11900 -5971.04
12000 -5971.04
12100 -5970.85
12200 -5970.61
12300 -5970.33
12400 -5969.97
12500 -5969.75
12600 -5969.48
12700 -5969.35
12800 -5969.24
12900 -5969.27
13000 -5969.24
13100 -5969.46
13200 -5969.69
13300 -5969.9
13400 -5970.09
13500 -5970.41
13600 -5970.89
13700 -5971.33
13800 -5971.75
13900 -5972.38
14000 -5973
14100 -5973.55
14200 -5974.42
14300 -5975.21
14400 -5976.53
14500 -5978.15
14600 -5979.4
14700 -5980.23
14800 -5980.39
14900 -5980.85
15000 -5981.26
15100 -5982.2
15200 -5983.29
15300 -5984.23
15400 -5985.04
15500 -5985.95
15600 -5986.89
15700 -5987.63
15800 -5988.88
15900 -5990.06
16000 -5991.38
16100 -5992.55
16200 -5993.3
16300 -5994.16
16400 -5994.66
