# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -328332
200 -328332
300 -328331
400 -328329
500 -328327
600 -328325
700 -328324
800 -328324
900 -328325
1000 -328326
1100 -328326
1200 -328328
1300 -328329
1400 -328330
1500 -328331
1600 -328332
1700 -328333
1800 -328334
1900 -328334
2000 -328333
2100 -328332
2200 -328330
2300 -328329
2400 -328328
2500 -328327
2600 -328326
2700 -328325
2800 -328325
2900 -328324
3000 -328324
3100 -328326
3200 -328328
3300 -328329
3400 -328330
3500 -328331
3600 -328332
3700 -328333
3800 -328332
3900 -328331
4000 -328330
4100 -328328
4200 -328326
4300 -328324
4400 -328324
4500 -328324
4600 -328324
4700 -328323
4800 -328322
4900 -328322
5000 -328322
5100 -328323
5200 -328323
5300 -328325
5400 -328326
5500 -328328
5600 -328330
5700 -328332
5800 -328333
5900 -328334
6000 -328335
6100 -328335
6200 -328335
6300 -328334
6400 -328333
6500 -328331
6600 -328329
6700 -328328
6800 -328326
6900 -328325
7000 -328324
7100 -328324
7200 -328325
7300 -328326
7400 -328326
7500 -328327
7600 -328329
7700 -328331
7800 -328333
7900 -328334
8000 -328335
8100 -328336
8200 -328337
8300 -328339
8400 -328340
8500 -328340
8600 -328340
8700 -328339
8800 -328338
8900 -328336
9000 -328334
9100 -328332
9200 -328331
9300 -328331
9400 -328329
9500 -328328
9600 -328327
9700 -328326
9800 -328325
9900 -328324
10000 -328324
10100 -328323
10200 -328323
10300 -328324
10400 -328325
10500 -328327
10600 -328329
10700 -328332
10800 -328333
10900 -328334
11000 -328335
11100 -328336
11200 -328337
11300 -328337
11400 -328337
11500 -328337
11600 -328337
11700 -328337
11800 -328336
11900 -328335
12000 -328334
12100 -328332
12200 -328331
12300 -328329
12400 -328327
12500 -328326
12600 -328325
12700 -328323
12800 -328322
12900 -328322
13000 -328322
13100 -328322
13200 -328322
13300 -328321
13400 -328321
13500 -328321
13600 -328321
13700 -328321
13800 -328320
13900 -328320
14000 -328320
14100 -328319
14200 -328318
14300 -328316
14400 -328315
14500 -328314
14600 -328314
14700 -328314
14800 -328316
14900 -328318
15000 -328321
15100 -328322
15200 -328323
15300 -328323
15400 -328323
15500 -328323
15600 -328321
15700 -328320
15800 -328318
15900 -328316
16000 -328314
16100 -328313
16200 -328313
16300 -328314
16400 -328314
16500 -328314
16600 -328314
16700 -328315
16800 -328317
16900 -328319
17000 -328321
17100 -328322
17200 -328323
17300 -328325
17400 -328327
17500 -328328
17600 -328329
17700 -328330
17800 -328330
17900 -328330
18000 -328329
18100 -328328
18200 -328327
18300 -328325
18400 -328323
18500 -328321
18600 -328320
18700 -328320
18800 -328322
18900 -328323
19000 -328325
19100 -328327
19200 -328329
19300 -328330
19400 -328331
19500 -328332
19600 -328333
19700 -328334
19800 -328335
19900 -328337
20000 -328339
20100 -328340
20200 -328341
20300 -328341
20400 -328341
20500 -328340
20600 -328339
20700 -328338
20800 -328336
20900 -328335
21000 -328334
21100 -328334
21200 -328333
21300 -328333
21400 -328334
21500 -328335
21600 -328336
21700 -328337
21800 -328336
21900 -328336
22000 -328334
22100 -328332
22200 -328330
22300 -328329
22400 -328329
22500 -328330
22600 -328331
22700 -328331
22800 -328331
22900 -328331
23000 -328331
23100 -328330
23200 -328330
23300 -328329
23400 -328327
23500 -328327
23600 -328327
23700 -328328
23800 -328330
23900 -328332
24000 -328334
24100 -328336
24200 -328337
24300 -328337
24400 -328337
24500 -328336
24600 -328336
24700 -328334
24800 -328332
24900 -328331
25000 -328329
25100 -328328
25200 -328328
25300 -328328
25400 -328329
25500 -328330
25600 -328331
25700 -328332
25800 -328334
25900 -328336
26000 -328337
26100 -328339
26200 -328340
26300 -328341
26400 -328341
26500 -328342
26600 -328342
26700 -328342
26800 -328341
26900 -328340
27000 -328338
27100 -328336
27200 -328335
27300 -328334
27400 -328333
27500 -328332
27600 -328330
27700 -328330
27800 -328330
27900 -328330
28000 -328330
28100 -328330
28200 -328331
28300 -328331
28400 -328332
28500 -328331
28600 -328329
28700 -328327
28800 -328326
28900 -328325
29000 -328325
29100 -328325
29200 -328325
29300 -328326
29400 -328327
29500 -328329
29600 -328331
29700 -328333
29800 -328334
29900 -328335
30000 -328336
30100 -328337
30200 -328338
30300 -328338
30400 -328338
30500 -328338
30600 -328338
30700 -328337
30800 -328336
30900 -328335
31000 -328334
31100 -328331
31200 -328328
31300 -328326
31400 -328325
31500 -328325
31600 -328326
31700 -328326
31800 -328327
