# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 3.93044e-05 8.21643e-06
25 2.45 0.00561824 0.00127966
26 2.55 0.174917 0.0441691
27 2.65 1.42681 0.421843
28 2.75 2.70004 1.19149
29 2.85 2.72283 2.025
30 2.95 2.19316 2.74421
31 3.05 1.54531 3.28593
32 3.15 1.04018 3.67487
33 3.25 0.745025 3.97142
34 3.35 0.622185 4.23456
35 3.45 0.594939 4.50146
36 3.55 0.634348 4.80276
37 3.65 0.700272 5.15438
38 3.75 0.781975 5.56882
39 3.85 0.866509 6.0529
40 3.95 0.949326 6.61112
41 4.05 1.0356 7.25126
42 4.15 1.10827 7.97055
43 4.25 1.16321 8.76234
44 4.35 1.19553 9.61491
45 4.45 1.20173 10.5117
46 4.55 1.20495 11.4518
47 4.65 1.18985 12.4214
48 4.75 1.15543 13.4039
49 4.85 1.1198 14.3966
50 4.95 1.07055 15.3851
51 5.05 1.03388 16.3788
52 5.15 0.996241 17.3746
53 5.25 0.971715 18.384
54 5.35 0.951606 19.4104
55 5.45 0.938404 20.4608
56 5.55 0.929079 21.5393
57 5.65 0.919473 22.6455
58 5.75 0.908529 23.7775
59 5.85 0.903167 24.9424
60 5.95 0.897494 26.1398
61 6.05 0.909652 27.3945
62 6.15 0.922713 28.7098
63 6.25 0.94844 30.1059
64 6.35 0.970872 31.5812
65 6.45 0.996353 33.1434
66 6.55 1.01732 34.7882
67 6.65 1.03862 36.5191
68 6.75 1.04292 38.3098
69 6.85 1.05057 40.1674
70 6.95 1.05156 42.0814
71 7.05 1.04237 44.0337
72 7.15 1.03403 46.0258
73 7.25 1.02832 48.0627
74 7.35 1.01619 50.1315
75 7.45 1.01015 52.2443
76 7.55 1.00601 54.4053
77 7.65 0.998198 56.6066
78 7.75 0.999342 58.8686
79 7.85 0.994385 61.1779
80 7.95 0.99634 63.5509
81 8.05 0.996308 65.9841
82 8.15 1.00016 68.4877
83 8.25 1.00381 71.0625
84 8.35 1.00605 73.706
85 8.45 1.00746 76.4169
86 8.55 1.00915 79.197
87 8.65 1.01118 82.0483
88 8.75 1.00757 84.9554
89 8.85 1.00715 87.9281
90 8.95 1.00663 90.9668
91 9.05 1.00241 94.0608
92 9.15 1.00084 97.2186
93 9.25 0.998956 100.44
94 9.35 0.996923 103.724
95 9.45 0.993245 107.067
96 9.55 0.989146 110.466
97 9.65 0.989295 113.938
98 9.75 0.988941 117.481
99 9.85 0.989221 121.098
100 9.95 0.99073 124.794
