# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0.000100696 2.32465e-05
25 2.45 0.0221397 0.00557856
26 2.55 0.579064 0.162979
27 2.65 3.00357 1.04469
28 2.75 2.85839 1.94829
29 2.85 1.81084 2.56313
30 2.95 1.3656 3.05989
31 3.05 1.15785 3.51012
32 3.15 1.0189 3.93272
33 3.25 0.923201 4.34033
34 3.35 0.850912 4.73949
35 3.45 0.8132 5.14408
36 3.55 0.815811 5.57383
37 3.65 0.834196 6.03837
38 3.75 0.877725 6.5543
39 3.85 0.931209 7.13125
40 3.95 0.982307 7.77188
41 4.05 1.03396 8.48077
42 4.15 1.06492 9.24738
43 4.25 1.08969 10.0701
44 4.35 1.10111 10.941
45 4.45 1.10547 11.856
46 4.55 1.10324 12.8107
47 4.65 1.08895 13.7949
48 4.75 1.07162 14.8055
49 4.85 1.04768 15.8356
50 4.95 1.02481 16.8852
51 5.05 0.998606 17.9496
52 5.15 0.98267 19.039
53 5.25 0.972441 20.1593
54 5.35 0.956866 21.3041
55 5.45 0.949408 22.4828
56 5.55 0.936809 23.6889
57 5.65 0.939036 24.9419
58 5.75 0.947523 26.2513
59 5.85 0.954041 27.616
60 5.95 0.957882 29.0334
61 6.05 0.967337 30.5133
62 6.15 0.972274 32.0504
63 6.25 0.988923 33.665
64 6.35 0.996579 35.3446
65 6.45 1.00784 37.0972
66 6.55 1.01791 38.9225
67 6.65 1.02659 40.82
68 6.75 1.03288 42.7871
69 6.85 1.03489 44.8167
70 6.95 1.03036 46.897
71 7.05 1.02363 49.0235
72 7.15 1.01751 51.1977
73 7.25 1.01395 53.4253
74 7.35 1.00557 55.6959
75 7.45 0.999212 58.0139
76 7.55 0.997925 60.3916
77 7.65 0.99577 62.8273
78 7.75 0.995097 65.3255
79 7.85 0.997984 67.8959
80 7.95 0.998864 70.5346
81 8.05 1.0021 73.2489
82 8.15 1.00472 76.0383
83 8.25 1.00683 78.9026
84 8.35 1.00468 81.8304
85 8.45 1.00747 84.8372
86 8.55 1.00716 87.9145
87 8.65 1.00638 91.0619
88 8.75 1.00587 94.2808
89 8.85 1.00773 97.5798
90 8.95 1.00362 100.94
91 9.05 0.998547 104.358
92 9.15 0.997455 107.849
93 9.25 0.995352 111.408
94 9.35 0.993648 115.039
95 9.45 0.992695 118.745
96 9.55 0.994554 122.536
97 9.65 0.98996 126.389
98 9.75 0.991289 130.328
99 9.85 0.992304 134.352
100 9.95 0.996009 138.473
