# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 7.16157e-05 1.65331e-05
25 2.45 0.0101286 0.00255802
26 2.55 0.237076 0.0669998
27 2.65 1.62159 0.543024
28 2.75 2.70868 1.3993
29 2.85 2.55199 2.26578
30 2.95 1.99458 2.99135
31 3.05 1.41289 3.54076
32 3.15 1.02697 3.96671
33 3.25 0.80597 4.32256
34 3.35 0.730376 4.66517
35 3.45 0.741195 5.03394
36 3.55 0.788895 5.44951
37 3.65 0.854504 5.92536
38 3.75 0.925812 6.46956
39 3.85 0.989796 7.0828
40 3.95 1.04604 7.765
41 4.05 1.09479 8.5156
42 4.15 1.13066 9.32954
43 4.25 1.14592 10.1947
44 4.35 1.15736 11.1101
45 4.45 1.15591 12.0669
46 4.55 1.12991 13.0446
47 4.65 1.10518 14.0435
48 4.75 1.07246 15.0549
49 4.85 1.03002 16.0676
50 4.95 0.997577 17.0893
51 5.05 0.960539 18.1132
52 5.15 0.941029 19.1564
53 5.25 0.919869 20.2161
54 5.35 0.912575 21.3079
55 5.45 0.915185 22.4441
56 5.55 0.907658 23.6127
57 5.65 0.906885 24.8228
58 5.75 0.910625 26.0812
59 5.85 0.912854 27.387
60 5.95 0.930804 28.7643
61 6.05 0.944765 30.2097
62 6.15 0.960356 31.7279
63 6.25 0.982803 33.3326
64 6.35 1.00862 35.0325
65 6.45 1.02993 36.8234
66 6.55 1.04897 38.7045
67 6.65 1.05918 40.6623
68 6.75 1.05954 42.6801
69 6.85 1.05574 44.7506
70 6.95 1.04855 46.8676
71 7.05 1.04473 49.038
72 7.15 1.03679 51.2534
73 7.25 1.02802 53.5119
74 7.35 1.01929 55.8135
75 7.45 1.01294 58.1633
76 7.55 1.00277 60.5525
77 7.65 1.0012 63.0015
78 7.75 0.99635 65.5028
79 7.85 0.996284 68.0689
80 7.95 0.994169 70.6952
81 8.05 0.999881 73.4035
82 8.15 0.999604 76.1787
83 8.25 1.00074 79.0256
84 8.35 0.997912 81.9337
85 8.45 0.997361 84.9103
86 8.55 1.00437 87.9792
87 8.65 0.99979 91.1059
88 8.75 0.996878 94.296
89 8.85 0.997586 97.5618
90 8.95 0.993611 100.888
91 9.05 0.993855 104.291
92 9.15 0.99429 107.77
93 9.25 0.992484 111.32
94 9.35 0.987949 114.929
95 9.45 0.986495 118.612
96 9.55 0.988634 122.38
97 9.65 0.990117 126.234
98 9.75 0.991645 130.174
99 9.85 0.993639 134.204
100 9.95 0.997134 138.33
