# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -165395
200 -165392
300 -165388
400 -165380
500 -165369
600 -165355
700 -165342
800 -165333
900 -165326
1000 -165323
1100 -165323
1200 -165324
1300 -165327
1400 -165330
1500 -165335
1600 -165341
1700 -165345
1800 -165350
1900 -165355
2000 -165360
2100 -165365
2200 -165369
2300 -165374
2400 -165378
2500 -165383
2600 -165389
2700 -165396
2800 -165403
2900 -165408
3000 -165412
3100 -165412
3200 -165409
3300 -165402
3400 -165392
3500 -165379
3600 -165365
3700 -165354
3800 -165344
3900 -165338
4000 -165334
4100 -165331
4200 -165329
4300 -165328
4400 -165329
4500 -165332
4600 -165337
4700 -165346
4800 -165355
4900 -165370
5000 -165384
5100 -165397
5200 -165404
5300 -165407
5400 -165407
5500 -165405
5600 -165401
5700 -165396
5800 -165391
5900 -165384
6000 -165379
6100 -165372
6200 -165366
6300 -165362
6400 -165358
6500 -165353
6600 -165349
6700 -165346
6800 -165343
6900 -165340
7000 -165339
7100 -165339
7200 -165340
7300 -165345
7400 -165358
7500 -165378
7600 -165398
7700 -165411
7800 -165419
7900 -165421
8000 -165421
8100 -165418
8200 -165412
8300 -165403
8400 -165391
8500 -165379
8600 -165369
8700 -165360
8800 -165354
8900 -165348
9000 -165346
9100 -165344
9200 -165343
9300 -165342
9400 -165343
9500 -165344
9600 -165346
9700 -165351
9800 -165358
9900 -165371
10000 -165388
10100 -165405
10200 -165417
10300 -165422
10400 -165423
10500 -165421
10600 -165418
10700 -165410
10800 -165400
10900 -165389
11000 -165378
11100 -165370
11200 -165363
11300 -165357
11400 -165353
11500 -165350
11600 -165348
11700 -165348
11800 -165348
11900 -165349
12000 -165350
12100 -165353
12200 -165355
12300 -165359
12400 -165365
12500 -165372
12600 -165384
12700 -165397
12800 -165408
12900 -165416
13000 -165420
13100 -165421
13200 -165418
13300 -165412
13400 -165401
13500 -165388
13600 -165374
13700 -165363
13800 -165355
13900 -165351
14000 -165348
14100 -165346
14200 -165344
14300 -165344
14400 -165345
14500 -165347
14600 -165350
14700 -165355
14800 -165359
14900 -165364
15000 -165371
15100 -165379
15200 -165386
15300 -165395
15400 -165403
15500 -165409
15600 -165414
15700 -165417
15800 -165418
15900 -165414
16000 -165405
16100 -165390
16200 -165373
16300 -165360
16400 -165349
16500 -165343
16600 -165336
16700 -165333
16800 -165331
16900 -165332
17000 -165334
17100 -165338
17200 -165343
17300 -165350
17400 -165358
17500 -165368
17600 -165379
17700 -165389
17800 -165398
17900 -165404
18000 -165408
18100 -165411
18200 -165411
18300 -165405
18400 -165392
18500 -165372
18600 -165354
18700 -165341
18800 -165332
18900 -165326
19000 -165324
19100 -165324
19200 -165324
19300 -165327
19400 -165332
19500 -165338
19600 -165346
19700 -165356
19800 -165365
19900 -165374
20000 -165382
20100 -165388
20200 -165393
20300 -165395
20400 -165396
20500 -165393
20600 -165386
20700 -165371
20800 -165350
20900 -165330
21000 -165317
21100 -165312
21200 -165311
21300 -165312
21400 -165317
21500 -165324
21600 -165333
21700 -165343
21800 -165354
21900 -165362
22000 -165370
22100 -165376
22200 -165381
22300 -165384
22400 -165385
22500 -165385
22600 -165383
22700 -165378
22800 -165371
22900 -165359
23000 -165341
23100 -165322
23200 -165308
23300 -165299
23400 -165295
23500 -165297
23600 -165302
23700 -165309
23800 -165317
23900 -165325
24000 -165334
24100 -165343
24200 -165350
24300 -165356
24400 -165359
24500 -165363
24600 -165363
24700 -165364
24800 -165364
24900 -165364
25000 -165363
25100 -165360
25200 -165356
25300 -165350
25400 -165338
25500 -165323
25600 -165307
25700 -165295
25800 -165288
25900 -165285
26000 -165285
26100 -165290
26200 -165299
26300 -165311
26400 -165324
26500 -165335
26600 -165344
26700 -165350
26800 -165355
26900 -165357
27000 -165359
27100 -165359
27200 -165359
27300 -165359
27400 -165358
27500 -165356
27600 -165355
27700 -165353
27800 -165351
27900 -165347
28000 -165343
28100 -165338
28200 -165333
28300 -165326
28400 -165322
28500 -165318
28600 -165317
28700 -165317
28800 -165320
28900 -165325
29000 -165333
29100 -165343
29200 -165356
29300 -165368
29400 -165378
29500 -165384
29600 -165387
29700 -165388
29800 -165387
29900 -165386
30000 -165381
30100 -165375
30200 -165367
30300 -165357
30400 -165347
30500 -165338
30600 -165327
30700 -165317
30800 -165306
30900 -165292
31000 -165274
31100 -165254
31200 -165238
31300 -165229
31400 -165229
31500 -165236
31600 -165248
31700 -165262
31800 -165274
31900 -165283
32000 -165292
32100 -165301
32200 -165312
32300 -165324
32400 -165336
32500 -165346
32600 -165356
32700 -165363
32800 -165369
32900 -165374
33000 -165377
33100 -165381
33200 -165382
33300 -165382
33400 -165380
33500 -165377
33600 -165372
33700 -165363
33800 -165350
33900 -165337
34000 -165325
34100 -165315
34200 -165310
34300 -165308
34400 -165310
34500 -165315
34600 -165323
34700 -165332
34800 -165343
34900 -165352
35000 -165358
35100 -165361
35200 -165361
35300 -165361
35400 -165363
35500 -165363
35600 -165361
35700 -165358
35800 -165356
35900 -165354
36000 -165351
36100 -165348
36200 -165343
36300 -165338
36400 -165332
36500 -165326
36600 -165320
36700 -165315
36800 -165311
36900 -165312
37000 -165313
37100 -165320
37200 -165331
37300 -165345
37400 -165361
37500 -165372
37600 -165379
37700 -165385
37800 -165386
37900 -165387
38000 -165384
38100 -165378
38200 -165372
38300 -165365
38400 -165357
38500 -165348
38600 -165339
38700 -165331
38800 -165324
38900 -165317
39000 -165313
39100 -165309
39200 -165307
39300 -165306
39400 -165309
39500 -165318
39600 -165330
39700 -165345
39800 -165358
39900 -165368
40000 -165377
