# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -319640
200 -319640
300 -319638
400 -319636
500 -319631
600 -319625
700 -319616
800 -319605
900 -319591
1000 -319576
1100 -319564
1200 -319554
1300 -319549
1400 -319549
1500 -319555
1600 -319566
1700 -319583
1800 -319605
1900 -319625
2000 -319640
2100 -319651
2200 -319657
2300 -319660
2400 -319661
2500 -319660
2600 -319658
2700 -319655
2800 -319650
2900 -319645
3000 -319638
3100 -319629
3200 -319617
3300 -319603
3400 -319587
3500 -319571
3600 -319558
3700 -319548
3800 -319541
3900 -319540
4000 -319543
4100 -319552
4200 -319571
4300 -319597
4400 -319621
4500 -319638
4600 -319650
4700 -319657
4800 -319660
4900 -319660
5000 -319657
5100 -319651
5200 -319644
5300 -319634
5400 -319622
5500 -319606
5600 -319592
5700 -319580
5800 -319572
5900 -319567
6000 -319565
6100 -319567
6200 -319573
6300 -319583
6400 -319596
6500 -319612
6600 -319629
6700 -319642
6800 -319650
6900 -319653
7000 -319653
7100 -319652
7200 -319650
7300 -319646
7400 -319640
7500 -319630
7600 -319621
7700 -319612
7800 -319603
7900 -319592
8000 -319582
8100 -319575
8200 -319570
8300 -319567
8400 -319567
8500 -319569
8600 -319574
8700 -319588
8800 -319607
8900 -319630
9000 -319651
9100 -319666
9200 -319675
9300 -319678
9400 -319676
9500 -319671
9600 -319664
9700 -319654
9800 -319641
9900 -319626
10000 -319613
10100 -319604
10200 -319598
10300 -319594
10400 -319590
10500 -319588
10600 -319589
10700 -319592
10800 -319594
10900 -319596
11000 -319599
11100 -319601
11200 -319603
11300 -319606
11400 -319609
11500 -319613
11600 -319616
11700 -319621
11800 -319626
11900 -319630
12000 -319632
12100 -319633
12200 -319633
12300 -319633
12400 -319634
12500 -319635
12600 -319637
12700 -319638
12800 -319638
12900 -319638
13000 -319637
13100 -319636
13200 -319634
13300 -319632
13400 -319626
13500 -319617
13600 -319605
13700 -319590
13800 -319573
13900 -319560
14000 -319549
14100 -319542
14200 -319540
14300 -319543
14400 -319551
14500 -319566
14600 -319586
14700 -319607
14800 -319626
14900 -319638
15000 -319644
15100 -319647
15200 -319648
15300 -319646
15400 -319643
15500 -319640
15600 -319636
15700 -319631
15800 -319625
15900 -319618
16000 -319610
16100 -319601
16200 -319593
16300 -319584
16400 -319574
16500 -319564
16600 -319553
16700 -319543
16800 -319535
16900 -319530
17000 -319532
17100 -319542
17200 -319558
17300 -319581
17400 -319603
17500 -319620
17600 -319633
17700 -319642
17800 -319647
17900 -319650
18000 -319653
18100 -319654
18200 -319654
18300 -319653
18400 -319651
18500 -319646
18600 -319639
18700 -319629
18800 -319613
18900 -319593
19000 -319571
19100 -319555
19200 -319546
19300 -319543
19400 -319544
19500 -319549
19600 -319558
19700 -319569
19800 -319583
19900 -319595
20000 -319605
20100 -319611
20200 -319615
20300 -319617
20400 -319619
20500 -319620
20600 -319619
20700 -319619
20800 -319618
20900 -319619
21000 -319620
21100 -319622
21200 -319626
21300 -319632
21400 -319641
21500 -319655
21600 -319673
21700 -319690
21800 -319703
21900 -319712
22000 -319714
22100 -319710
22200 -319701
22300 -319686
22400 -319666
22500 -319647
22600 -319631
22700 -319620
22800 -319612
22900 -319606
23000 -319600
23100 -319596
23200 -319592
23300 -319588
23400 -319586
23500 -319586
23600 -319587
23700 -319589
23800 -319594
23900 -319601
24000 -319615
24100 -319631
24200 -319649
24300 -319664
24400 -319676
24500 -319684
24600 -319686
24700 -319685
24800 -319681
24900 -319672
25000 -319657
25100 -319639
25200 -319619
25300 -319602
25400 -319592
25500 -319586
25600 -319583
25700 -319582
25800 -319583
25900 -319585
26000 -319586
26100 -319589
26200 -319592
26300 -319599
26400 -319608
26500 -319621
26600 -319635
26700 -319650
26800 -319664
26900 -319674
27000 -319680
27100 -319682
27200 -319680
27300 -319674
27400 -319664
27500 -319647
27600 -319627
27700 -319604
27800 -319583
27900 -319571
28000 -319567
28100 -319567
28200 -319568
28300 -319572
28400 -319577
28500 -319583
28600 -319589
28700 -319596
28800 -319606
28900 -319617
29000 -319629
29100 -319640
29200 -319650
29300 -319659
29400 -319664
29500 -319668
29600 -319668
29700 -319664
29800 -319655
29900 -319637
30000 -319613
30100 -319587
30200 -319570
30300 -319561
30400 -319559
30500 -319560
30600 -319564
30700 -319571
30800 -319580
30900 -319591
31000 -319602
31100 -319612
31200 -319619
31300 -319626
31400 -319631
31500 -319636
31600 -319642
31700 -319646
31800 -319651
31900 -319655
32000 -319662
32100 -319671
32200 -319680
32300 -319687
32400 -319689
32500 -319687
32600 -319679
32700 -319668
32800 -319653
32900 -319638
33000 -319621
33100 -319607
33200 -319596
33300 -319590
33400 -319586
33500 -319585
33600 -319585
33700 -319587
33800 -319590
33900 -319596
34000 -319606
34100 -319622
34200 -319642
34300 -319663
34400 -319681
34500 -319693
34600 -319700
34700 -319701
34800 -319698
34900 -319692
35000 -319684
35100 -319675
35200 -319665
35300 -319655
35400 -319646
35500 -319639
35600 -319635
35700 -319633
35800 -319630
35900 -319627
36000 -319624
36100 -319622
36200 -319619
36300 -319618
36400 -319618
36500 -319617
36600 -319615
36700 -319611
36800 -319605
36900 -319599
37000 -319591
37100 -319583
37200 -319576
37300 -319568
37400 -319559
37500 -319554
37600 -319552
37700 -319551
37800 -319552
37900 -319558
38000 -319565
38100 -319576
38200 -319592
38300 -319610
38400 -319628
38500 -319642
38600 -319652
38700 -319659
38800 -319663
38900 -319663
39000 -319661
39100 -319657
39200 -319653
39300 -319647
39400 -319639
39500 -319629
39600 -319618
39700 -319605
39800 -319590
39900 -319572
40000 -319548
