# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -159702
200 -159698
300 -159689
400 -159677
500 -159663
600 -159651
700 -159641
800 -159635
900 -159631
1000 -159628
1100 -159625
1200 -159625
1300 -159625
1400 -159626
1500 -159628
1600 -159630
1700 -159634
1800 -159638
1900 -159644
2000 -159651
2100 -159658
2200 -159667
2300 -159675
2400 -159682
2500 -159688
2600 -159693
2700 -159696
2800 -159695
2900 -159690
3000 -159680
3100 -159664
3200 -159646
3300 -159632
3400 -159622
3500 -159616
3600 -159612
3700 -159610
3800 -159609
3900 -159609
4000 -159610
4100 -159613
4200 -159616
4300 -159621
4400 -159625
4500 -159632
4600 -159641
4700 -159651
4800 -159661
4900 -159671
5000 -159679
5100 -159687
5200 -159691
5300 -159694
5400 -159694
5500 -159690
5600 -159681
5700 -159663
5800 -159643
5900 -159627
6000 -159616
6100 -159611
6200 -159607
6300 -159607
6400 -159609
6500 -159611
6600 -159615
6700 -159619
6800 -159625
6900 -159631
7000 -159637
7100 -159643
7200 -159650
7300 -159656
7400 -159662
7500 -159668
7600 -159675
7700 -159682
7800 -159689
7900 -159695
8000 -159702
8100 -159706
8200 -159709
8300 -159709
8400 -159704
8500 -159695
8600 -159679
8700 -159663
8800 -159650
8900 -159640
9000 -159633
9100 -159627
9200 -159622
9300 -159618
9400 -159614
9500 -159611
9600 -159606
9700 -159603
9800 -159600
9900 -159596
10000 -159592
10100 -159589
10200 -159587
10300 -159587
10400 -159589
10500 -159594
10600 -159603
10700 -159617
10800 -159629
10900 -159641
11000 -159650
11100 -159656
11200 -159659
11300 -159662
11400 -159662
11500 -159660
11600 -159656
11700 -159650
11800 -159641
11900 -159630
12000 -159615
12100 -159601
12200 -159592
12300 -159587
12400 -159586
12500 -159587
12600 -159589
12700 -159591
12800 -159596
12900 -159601
13000 -159606
13100 -159612
13200 -159619
13300 -159624
13400 -159629
13500 -159635
13600 -159640
13700 -159644
13800 -159647
13900 -159648
14000 -159649
14100 -159648
14200 -159647
14300 -159645
14400 -159640
14500 -159631
14600 -159613
14700 -159592
14800 -159575
14900 -159565
15000 -159562
15100 -159563
15200 -159566
15300 -159573
15400 -159584
15500 -159598
15600 -159610
15700 -159621
15800 -159629
15900 -159634
16000 -159639
16100 -159642
16200 -159643
16300 -159643
16400 -159641
16500 -159638
16600 -159633
16700 -159627
16800 -159619
16900 -159609
17000 -159598
17100 -159586
17200 -159575
17300 -159566
17400 -159561
17500 -159560
17600 -159566
17700 -159580
17800 -159601
17900 -159621
18000 -159635
18100 -159642
18200 -159646
18300 -159649
18400 -159652
18500 -159653
18600 -159654
18700 -159651
18800 -159646
18900 -159639
19000 -159630
19100 -159619
19200 -159610
19300 -159602
19400 -159594
19500 -159590
19600 -159589
19700 -159589
19800 -159593
19900 -159601
20000 -159613
20100 -159630
20200 -159647
20300 -159660
20400 -159666
20500 -159668
20600 -159667
20700 -159665
20800 -159661
20900 -159656
21000 -159651
21100 -159643
21200 -159634
21300 -159626
21400 -159618
21500 -159609
21600 -159603
21700 -159598
21800 -159594
21900 -159591
22000 -159589
22100 -159589
22200 -159593
22300 -159601
22400 -159618
22500 -159639
22600 -159656
22700 -159667
22800 -159673
22900 -159674
23000 -159674
23100 -159671
23200 -159666
23300 -159660
23400 -159650
23500 -159640
23600 -159631
23700 -159623
23800 -159616
23900 -159611
24000 -159607
24100 -159605
24200 -159606
24300 -159608
24400 -159611
24500 -159617
24600 -159628
24700 -159645
24800 -159666
24900 -159682
25000 -159690
25100 -159693
25200 -159691
25300 -159688
25400 -159682
25500 -159674
25600 -159665
25700 -159655
25800 -159645
25900 -159636
26000 -159629
26100 -159623
26200 -159619
26300 -159618
26400 -159618
26500 -159619
26600 -159623
26700 -159627
26800 -159633
26900 -159641
27000 -159652
27100 -159666
27200 -159681
27300 -159694
27400 -159704
27500 -159707
27600 -159707
27700 -159703
27800 -159697
27900 -159689
28000 -159682
28100 -159675
28200 -159669
28300 -159662
28400 -159655
28500 -159646
28600 -159638
28700 -159631
28800 -159624
28900 -159619
29000 -159615
29100 -159612
29200 -159611
29300 -159612
29400 -159615
29500 -159620
29600 -159630
29700 -159643
29800 -159658
29900 -159672
30000 -159683
30100 -159688
30200 -159689
30300 -159688
30400 -159684
30500 -159678
30600 -159669
30700 -159660
30800 -159652
30900 -159645
31000 -159639
31100 -159634
31200 -159630
31300 -159626
31400 -159624
31500 -159622
31600 -159622
31700 -159623
31800 -159625
31900 -159629
32000 -159635
32100 -159646
32200 -159660
32300 -159676
32400 -159690
32500 -159697
32600 -159700
32700 -159699
32800 -159696
32900 -159691
33000 -159684
33100 -159675
33200 -159668
33300 -159660
33400 -159653
33500 -159646
33600 -159640
33700 -159633
33800 -159627
33900 -159620
34000 -159615
34100 -159612
34200 -159610
34300 -159608
34400 -159608
34500 -159610
34600 -159614
34700 -159620
34800 -159630
34900 -159646
35000 -159662
35100 -159675
35200 -159683
35300 -159687
35400 -159687
35500 -159685
