# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -325581
200 -325581
300 -325581
400 -325580
500 -325578
600 -325572
700 -325564
800 -325552
900 -325536
1000 -325520
1100 -325505
1200 -325494
1300 -325488
1400 -325486
1500 -325487
1600 -325491
1700 -325503
1800 -325521
1900 -325543
2000 -325564
2100 -325580
2200 -325588
2300 -325593
2400 -325593
2500 -325590
2600 -325586
2700 -325581
2800 -325575
2900 -325570
3000 -325562
3100 -325553
3200 -325542
3300 -325531
3400 -325517
3500 -325500
3600 -325484
3700 -325469
3800 -325457
3900 -325449
4000 -325446
4100 -325451
4200 -325468
4300 -325500
4400 -325533
4500 -325554
4600 -325567
4700 -325575
4800 -325580
4900 -325582
5000 -325583
5100 -325580
5200 -325576
5300 -325572
5400 -325565
5500 -325557
5600 -325548
5700 -325538
5800 -325526
5900 -325514
6000 -325502
6100 -325493
6200 -325487
6300 -325482
6400 -325479
6500 -325480
6600 -325487
6700 -325502
6800 -325525
6900 -325550
7000 -325570
7100 -325584
7200 -325592
7300 -325594
7400 -325593
7500 -325591
7600 -325587
7700 -325581
7800 -325572
7900 -325560
8000 -325544
8100 -325528
8200 -325511
8300 -325497
8400 -325487
8500 -325483
8600 -325483
8700 -325484
8800 -325486
8900 -325490
9000 -325496
9100 -325505
9200 -325514
9300 -325523
9400 -325532
9500 -325542
9600 -325550
9700 -325556
9800 -325561
9900 -325563
10000 -325564
10100 -325564
10200 -325564
10300 -325562
10400 -325561
10500 -325560
10600 -325558
10700 -325558
10800 -325557
10900 -325556
11000 -325555
11100 -325554
11200 -325552
11300 -325549
11400 -325546
11500 -325539
11600 -325532
11700 -325520
11800 -325504
11900 -325484
12000 -325465
12100 -325450
12200 -325442
12300 -325441
12400 -325446
12500 -325459
12600 -325476
12700 -325496
12800 -325514
12900 -325527
13000 -325536
13100 -325542
13200 -325545
13300 -325549
13400 -325553
13500 -325556
13600 -325556
13700 -325555
13800 -325551
13900 -325547
14000 -325540
14100 -325529
14200 -325516
14300 -325500
14400 -325484
14500 -325469
14600 -325457
14700 -325450
14800 -325446
14900 -325448
15000 -325457
15100 -325477
15200 -325505
15300 -325532
15400 -325550
15500 -325559
15600 -325563
15700 -325563
15800 -325561
15900 -325561
16000 -325559
16100 -325556
16200 -325551
16300 -325545
16400 -325539
16500 -325533
16600 -325528
16700 -325522
16800 -325515
16900 -325506
17000 -325496
17100 -325486
17200 -325475
17300 -325464
17400 -325456
17500 -325453
17600 -325455
17700 -325463
17800 -325479
17900 -325500
18000 -325523
18100 -325542
18200 -325555
18300 -325563
18400 -325567
18500 -325569
18600 -325570
18700 -325568
18800 -325566
18900 -325562
19000 -325558
19100 -325554
19200 -325548
19300 -325539
19400 -325527
19500 -325512
19600 -325494
19700 -325476
19800 -325462
19900 -325453
20000 -325452
20100 -325456
20200 -325466
20300 -325480
20400 -325499
20500 -325518
20600 -325532
20700 -325540
20800 -325544
20900 -325546
21000 -325548
21100 -325550
21200 -325551
21300 -325553
21400 -325556
21500 -325558
21600 -325563
21700 -325568
21800 -325575
21900 -325582
22000 -325588
22100 -325593
22200 -325599
22300 -325602
22400 -325602
22500 -325599
22600 -325589
22700 -325575
22800 -325558
22900 -325540
23000 -325523
23100 -325510
23200 -325501
23300 -325496
23400 -325492
23500 -325492
23600 -325494
23700 -325500
23800 -325511
23900 -325522
24000 -325535
24100 -325552
24200 -325570
24300 -325587
24400 -325602
24500 -325612
24600 -325616
24700 -325615
24800 -325610
24900 -325606
25000 -325601
25100 -325592
25200 -325582
25300 -325571
25400 -325560
25500 -325550
25600 -325539
25700 -325530
25800 -325524
25900 -325518
26000 -325511
26100 -325506
26200 -325503
26300 -325500
26400 -325497
26500 -325495
26600 -325494
26700 -325496
26800 -325501
26900 -325509
27000 -325519
27100 -325532
27200 -325543
27300 -325553
27400 -325561
27500 -325565
27600 -325567
27700 -325566
27800 -325564
27900 -325558
28000 -325547
28100 -325533
28200 -325518
28300 -325501
28400 -325487
28500 -325477
28600 -325469
28700 -325465
28800 -325463
28900 -325464
29000 -325470
29100 -325483
29200 -325505
29300 -325535
29400 -325562
29500 -325577
29600 -325584
29700 -325588
29800 -325588
29900 -325584
30000 -325578
30100 -325569
30200 -325560
30300 -325549
30400 -325535
30500 -325522
30600 -325512
30700 -325506
30800 -325503
30900 -325502
31000 -325505
31100 -325512
31200 -325524
31300 -325542
31400 -325566
31500 -325591
31600 -325610
31700 -325618
31800 -325620
31900 -325617
32000 -325611
32100 -325603
32200 -325592
32300 -325580
32400 -325568
32500 -325556
32600 -325546
32700 -325538
32800 -325531
32900 -325524
33000 -325521
33100 -325520
33200 -325519
33300 -325519
33400 -325519
33500 -325521
33600 -325524
33700 -325529
33800 -325535
33900 -325543
34000 -325554
34100 -325573
34200 -325594
34300 -325611
34400 -325622
34500 -325626
34600 -325626
34700 -325621
34800 -325613
34900 -325600
35000 -325583
35100 -325565
35200 -325550
35300 -325537
35400 -325529
35500 -325524
35600 -325521
35700 -325520
35800 -325519
35900 -325519
36000 -325522
36100 -325529
36200 -325536
36300 -325544
36400 -325554
36500 -325567
36600 -325584
36700 -325602
36800 -325620
36900 -325636
37000 -325646
37100 -325650
37200 -325649
37300 -325642
37400 -325630
37500 -325611
37600 -325586
37700 -325563
37800 -325552
37900 -325548
38000 -325545
38100 -325542
38200 -325538
38300 -325533
38400 -325527
38500 -325523
38600 -325517
38700 -325512
38800 -325509
38900 -325508
39000 -325511
39100 -325516
39200 -325524
39300 -325536
39400 -325549
39500 -325563
39600 -325579
39700 -325593
39800 -325602
39900 -325609
40000 -325612
