# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -5906.11
200 -5906.11
300 -5905.96
400 -5905.85
500 -5905.45
600 -5904.62
700 -5902.86
800 -5900.95
900 -5898.46
1000 -5895.61
1100 -5892.85
1200 -5890.99
1300 -5890.21
1400 -5890.42
1500 -5891.84
1600 -5894.14
1700 -5897.27
1800 -5900.84
1900 -5903.66
2000 -5905.6
2100 -5906.89
2200 -5907.62
2300 -5907.92
2400 -5907.63
2500 -5907.51
2600 -5907.31
2700 -5906.94
2800 -5906.3
2900 -5905.58
3000 -5904.78
3100 -5903.33
3200 -5901.87
3300 -5900.04
3400 -5897.85
3500 -5895.67
3600 -5893.56
3700 -5892.18
3800 -5891.62
3900 -5892.08
4000 -5893.31
4100 -5896.24
4200 -5900.16
4300 -5903.97
4400 -5907.16
4500 -5909.05
4600 -5909.92
4700 -5910.6
4800 -5910.8
4900 -5910.85
5000 -5910.19
5100 -5909.82
5200 -5908.6
5300 -5907.19
5400 -5905.74
5500 -5904.05
5600 -5902.11
5700 -5899.78
5800 -5897.71
5900 -5895.86
6000 -5894.02
6100 -5892.63
6200 -5892.4
6300 -5892.3
6400 -5894.33
6500 -5896.31
6600 -5900.4
6700 -5904.29
6800 -5907.33
6900 -5909.11
7000 -5910.28
7100 -5911.43
7200 -5912.15
7300 -5912.59
7400 -5911.74
7500 -5910.6
7600 -5909.21
7700 -5907.96
7800 -5906.57
7900 -5904.27
8000 -5902.17
8100 -5899.91
8200 -5897.79
8300 -5896.08
8400 -5894.93
8500 -5894.96
8600 -5896.08
8700 -5898.08
8800 -5900.96
8900 -5905.47
9000 -5909.6
9100 -5912.02
9200 -5912.82
9300 -5912.81
9400 -5912.7
9500 -5912.54
9600 -5912.14
9700 -5910.58
9800 -5909.05
9900 -5906.67
10000 -5904.64
10100 -5903
10200 -5901.5
10300 -5900.45
10400 -5899.65
10500 -5899.47
10600 -5898.8
10700 -5898.97
10800 -5899.76
10900 -5901.96
11000 -5905.84
11100 -5909.56
11200 -5912.4
11300 -5914.11
11400 -5914.75
11500 -5914.92
11600 -5914.26
11700 -5913.45
11800 -5912.38
11900 -5911.12
12000 -5909.6
12100 -5908.02
12200 -5906.61
12300 -5905.05
12400 -5903.6
12500 -5902.52
12600 -5901.42
12700 -5900.25
12800 -5898.3
12900 -5896.09
13000 -5893.08
13100 -5889.31
13200 -5885.57
13300 -5883.31
13400 -5883.8
13500 -5885.3
13600 -5888.82
13700 -5891.1
13800 -5894.48
13900 -5897.41
14000 -5899.82
14100 -5901.69
14200 -5903.88
14300 -5906.63
14400 -5907.28
14500 -5907.76
14600 -5907.27
14700 -5906.98
14800 -5907.83
14900 -5908.55
15000 -5909.54
15100 -5909.02
15200 -5907.6
15300 -5906.67
15400 -5904.22
15500 -5901.5
15600 -5898.69
15700 -5896.8
15800 -5895.58
15900 -5894.34
16000 -5893.61
16100 -5893.24
16200 -5894.07
16300 -5895.86
16400 -5898.35
16500 -5901.29
16600 -5904.74
16700 -5907.01
16800 -5908.09
16900 -5908.23
17000 -5907.7
17100 -5907.45
17200 -5907.34
17300 -5907.28
17400 -5906.68
17500 -5906.28
17600 -5905.96
17700 -5904.94
17800 -5903.62
17900 -5901.79
18000 -5900.27
18100 -5898.95
18200 -5897.71
18300 -5896.15
18400 -5893.77
18500 -5892.4
18600 -5891.59
18700 -5890.95
18800 -5891.14
18900 -5892.6
19000 -5895.43
19100 -5898.92
19200 -5902.63
19300 -5905.65
19400 -5907.97
19500 -5909.56
19600 -5910.65
19700 -5910.72
19800 -5910.76
19900 -5910.61
20000 -5909.87
20100 -5908.78
20200 -5907.15
20300 -5905.14
20400 -5902.83
20500 -5900.87
20600 -5899.28
20700 -5897.97
20800 -5897.2
20900 -5897.1
21000 -5897.43
21100 -5899.4
21200 -5902.15
21300 -5906.75
21400 -5910.15
21500 -5912.65
21600 -5914.07
21700 -5914.63
21800 -5914.87
21900 -5914.79
22000 -5914.37
22100 -5913.21
22200 -5911.14
22300 -5909.05
22400 -5906.41
22500 -5904.22
22600 -5902.38
22700 -5901.05
22800 -5900.78
22900 -5900.85
23000 -5900.92
23100 -5901.01
23200 -5901.56
23300 -5902.47
23400 -5903.3
23500 -5904.53
23600 -5905.24
23700 -5905.76
23800 -5906.24
23900 -5906.83
24000 -5906.69
24100 -5906.59
24200 -5906.54
24300 -5906.46
24400 -5906.58
24500 -5906.87
24600 -5907.08
24700 -5906.84
24800 -5907.05
24900 -5906.13
25000 -5905.69
25100 -5904.92
25200 -5904.13
25300 -5902.96
25400 -5901.16
25500 -5898.66
25600 -5895.76
25700 -5893.47
25800 -5892.91
25900 -5892.83
26000 -5893.8
26100 -5896.57
26200 -5899.96
26300 -5903.63
26400 -5906.29
26500 -5908.01
26600 -5909.01
26700 -5909.75
26800 -5910.37
26900 -5910.13
27000 -5910.39
27100 -5910.24
27200 -5909.75
27300 -5908.41
27400 -5907.03
27500 -5905.27
27600 -5903.07
27700 -5901.12
27800 -5899.32
27900 -5897.49
28000 -5896.23
28100 -5895.23
28200 -5894.31
28300 -5893.74
28400 -5893.88
28500 -5894.77
28600 -5897.01
28700 -5899.99
28800 -5902.68
28900 -5905.39
29000 -5907.9
29100 -5909.89
29200 -5911.81
29300 -5912.59
29400 -5913.27
29500 -5913.02
29600 -5912.73
29700 -5912.25
29800 -5911.12
29900 -5909.54
30000 -5907.32
30100 -5904.93
30200 -5902.24
30300 -5899.54
30400 -5897.44
30500 -5895.95
30600 -5895.42
30700 -5895.71
30800 -5896.27
30900 -5897.11
31000 -5898.23
31100 -5899.42
31200 -5900.57
31300 -5901.66
31400 -5902.21
31500 -5903.22
31600 -5904.3
31700 -5905.41
31800 -5906.16
31900 -5907.03
32000 -5908.24
32100 -5908.7
32200 -5909.11
32300 -5908.4
32400 -5907.91
32500 -5906.57
32600 -5904.83
32700 -5902.13
32800 -5899
32900 -5896.18
33000 -5894.52
33100 -5893.47
33200 -5892.17
33300 -5892.17
33400 -5892.98
33500 -5895.21
33600 -5897.74
33700 -5901.02
33800 -5903.77
33900 -5905.83
34000 -5906.76
34100 -5907.2
34200 -5907.33
34300 -5907.28
34400 -5907.18
34500 -5906.47
34600 -5905.99
34700 -5905.05
34800 -5903.92
34900 -5902.84
35000 -5901.66
35100 -5900.58
35200 -5899.84
35300 -5899.24
35400 -5898.69
35500 -5898.1
35600 -5897.44
35700 -5896.79
35800 -5896.61
35900 -5897.23
36000 -5898.73
36100 -5900.95
36200 -5903.33
36300 -5906.21
36400 -5908.35
36500 -5910.12
36600 -5911.48
36700 -5911.74
36800 -5912.13
36900 -5912.28
37000 -5911.99
37100 -5911.32
37200 -5910.14
37300 -5908.22
37400 -5905.23
37500 -5901.02
37600 -5897.65
37700 -5895.28
37800 -5894.09
37900 -5894.2
38000 -5894.85
38100 -5895.46
38200 -5897.21
38300 -5898.64
38400 -5900.56
38500 -5902.27
38600 -5903.8
38700 -5905.37
38800 -5906.77
38900 -5907.9
39000 -5908.56
39100 -5909.02
39200 -5909.42
39300 -5909.48
39400 -5909.14
39500 -5908.55
39600 -5908.2
39700 -5907.86
39800 -5906.84
39900 -5903.7
40000 -5899.63
