# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -159337
200 -159335
300 -159329
400 -159322
500 -159312
600 -159302
700 -159291
800 -159280
900 -159270
1000 -159262
1100 -159259
1200 -159260
1300 -159265
1400 -159272
1500 -159280
1600 -159287
1700 -159293
1800 -159300
1900 -159308
2000 -159316
2100 -159323
2200 -159331
2300 -159340
2400 -159349
2500 -159355
2600 -159359
2700 -159362
2800 -159363
2900 -159361
3000 -159356
3100 -159349
3200 -159337
3300 -159321
3400 -159306
3500 -159296
3600 -159292
3700 -159289
3800 -159288
3900 -159287
4000 -159290
4100 -159295
4200 -159300
4300 -159305
4400 -159311
4500 -159319
4600 -159329
4700 -159339
4800 -159347
4900 -159353
5000 -159356
5100 -159355
5200 -159352
5300 -159348
5400 -159344
5500 -159340
5600 -159334
5700 -159326
5800 -159318
5900 -159312
6000 -159307
6100 -159302
6200 -159299
6300 -159296
6400 -159293
6500 -159290
6600 -159288
6700 -159290
6800 -159297
6900 -159310
7000 -159329
7100 -159345
7200 -159357
7300 -159362
7400 -159364
7500 -159364
7600 -159361
7700 -159355
7800 -159348
7900 -159341
8000 -159335
8100 -159330
8200 -159325
8300 -159318
8400 -159311
8500 -159304
8600 -159296
8700 -159286
8800 -159274
8900 -159260
9000 -159247
9100 -159238
9200 -159232
9300 -159229
9400 -159230
9500 -159239
9600 -159260
9700 -159283
9800 -159300
9900 -159312
10000 -159320
10100 -159327
10200 -159333
10300 -159338
10400 -159342
10500 -159346
10600 -159349
10700 -159351
10800 -159350
10900 -159345
11000 -159336
11100 -159326
11200 -159316
11300 -159306
11400 -159296
11500 -159290
11600 -159286
11700 -159285
11800 -159285
11900 -159286
12000 -159291
12100 -159298
12200 -159309
12300 -159322
12400 -159337
12500 -159348
12600 -159354
12700 -159357
12800 -159357
12900 -159357
13000 -159355
13100 -159351
13200 -159347
13300 -159343
13400 -159339
13500 -159334
13600 -159329
13700 -159323
13800 -159318
13900 -159312
14000 -159306
14100 -159300
14200 -159293
14300 -159286
14400 -159278
14500 -159270
14600 -159261
14700 -159253
14800 -159246
14900 -159243
15000 -159245
15100 -159251
15200 -159265
15300 -159285
15400 -159304
15500 -159316
15600 -159322
15700 -159326
15800 -159329
15900 -159332
16000 -159334
16100 -159336
16200 -159336
16300 -159336
16400 -159335
16500 -159332
16600 -159327
16700 -159320
16800 -159310
16900 -159299
17000 -159291
17100 -159283
17200 -159278
17300 -159274
17400 -159273
17500 -159273
17600 -159279
17700 -159292
17800 -159312
17900 -159333
18000 -159346
18100 -159353
18200 -159356
18300 -159356
18400 -159354
18500 -159350
18600 -159346
18700 -159340
18800 -159335
18900 -159329
19000 -159323
19100 -159316
19200 -159308
19300 -159300
