# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -164904
200 -164905
300 -164905
400 -164908
500 -164912
600 -164917
700 -164921
800 -164928
900 -164937
1000 -164951
1100 -164965
1200 -164976
1300 -164982
1400 -164984
1500 -164983
1600 -164979
1700 -164971
1800 -164963
1900 -164952
2000 -164942
2100 -164933
2200 -164926
2300 -164924
2400 -164926
2500 -164930
2600 -164933
2700 -164937
2800 -164940
2900 -164944
3000 -164949
3100 -164954
3200 -164959
3300 -164964
3400 -164968
3500 -164973
3600 -164978
3700 -164984
3800 -164990
3900 -164997
4000 -165006
4100 -165015
4200 -165024
4300 -165032
4400 -165041
4500 -165049
4600 -165055
4700 -165059
4800 -165057
4900 -165050
5000 -165036
5100 -165018
5200 -165003
5300 -164991
5400 -164981
5500 -164974
5600 -164968
5700 -164963
5800 -164958
5900 -164954
6000 -164950
6100 -164947
6200 -164945
6300 -164944
6400 -164946
6500 -164950
6600 -164955
6700 -164962
6800 -164973
6900 -164985
7000 -164996
7100 -165004
7200 -165009
7300 -165011
7400 -165012
7500 -165010
7600 -165004
7700 -164991
7800 -164972
7900 -164954
8000 -164942
8100 -164935
8200 -164932
8300 -164932
8400 -164935
8500 -164939
8600 -164946
8700 -164952
8800 -164959
8900 -164965
9000 -164970
9100 -164975
9200 -164980
9300 -164986
9400 -164990
9500 -164994
9600 -164996
9700 -164996
9800 -164992
9900 -164982
10000 -164968
10100 -164952
10200 -164938
10300 -164927
10400 -164920
10500 -164916
10600 -164914
10700 -164917
10800 -164921
10900 -164926
11000 -164933
11100 -164941
11200 -164951
11300 -164961
11400 -164972
11500 -164981
11600 -164987
11700 -164991
11800 -164992
11900 -164991
12000 -164989
12100 -164988
12200 -164986
12300 -164983
12400 -164980
12500 -164977
12600 -164972
12700 -164968
12800 -164962
12900 -164958
13000 -164954
13100 -164951
13200 -164950
13300 -164950
13400 -164948
13500 -164946
13600 -164943
13700 -164942
13800 -164938
13900 -164933
14000 -164930
14100 -164930
14200 -164931
14300 -164933
14400 -164935
14500 -164939
14600 -164946
14700 -164954
14800 -164963
14900 -164971
15000 -164976
15100 -164979
15200 -164980
15300 -164977
15400 -164970
15500 -164960
15600 -164945
15700 -164930
15800 -164916
15900 -164907
16000 -164903
