# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -5876
200 -5875.75
300 -5875.63
400 -5875.38
500 -5875.34
600 -5875.23
700 -5875.04
800 -5874.6
900 -5874.15
1000 -5873.64
1100 -5873.18
1200 -5872.84
1300 -5872.74
1400 -5872.8
1500 -5872.89
1600 -5873.32
1700 -5873.93
1800 -5875.01
1900 -5876.28
2000 -5877.67
2100 -5879.13
2200 -5880.5
2300 -5881.8
2400 -5882.85
2500 -5883.88
2600 -5884.62
2700 -5884.98
2800 -5884.92
2900 -5884.09
3000 -5882.42
3100 -5879.88
3200 -5876.28
3300 -5873.14
3400 -5870.95
3500 -5869.43
3600 -5868.56
3700 -5868.19
3800 -5868.45
3900 -5869.26
4000 -5870.5
4100 -5872.4
4200 -5874.37
4300 -5876.45
4400 -5878.28
4500 -5879.95
4600 -5881.28
4700 -5882.41
4800 -5883.01
4900 -5883.16
5000 -5882.86
5100 -5882.25
5200 -5881.61
5300 -5880.94
5400 -5880.59
5500 -5880.19
5600 -5879.57
5700 -5878.79
5800 -5877.98
5900 -5876.91
6000 -5875.95
6100 -5874.93
6200 -5873.95
6300 -5873.09
6400 -5872.23
6500 -5871.48
6600 -5870.79
6700 -5870.23
6800 -5870.05
6900 -5870.32
7000 -5871.17
7100 -5872.53
7200 -5874.6
7300 -5877.03
7400 -5879.3
7500 -5881.42
7600 -5883.13
7700 -5884.26
7800 -5884.85
7900 -5884.83
8000 -5884.51
8100 -5883.69
8200 -5882.1
8300 -5879.77
8400 -5876.7
8500 -5873.35
8600 -5870.63
8700 -5869.1
8800 -5868.32
8900 -5868.23
9000 -5868.78
9100 -5869.48
9200 -5870.55
9300 -5871.82
9400 -5873.11
9500 -5874.64
9600 -5876
9700 -5877.42
9800 -5878.9
9900 -5880.01
10000 -5880.8
10100 -5881.47
10200 -5882.07
10300 -5882.47
10400 -5882.51
10500 -5882.18
10600 -5881.55
10700 -5879.92
10800 -5877.75
10900 -5875.36
11000 -5872.79
11100 -5870.65
11200 -5869.01
11300 -5867.84
11400 -5867.21
11500 -5867.25
11600 -5868.09
11700 -5869.23
11800 -5871.18
11900 -5873.9
12000 -5876.54
12100 -5878.93
12200 -5880.85
12300 -5882.15
12400 -5882.77
12500 -5882.95
12600 -5882.84
12700 -5882.6
12800 -5881.83
12900 -5880.94
13000 -5879.9
13100 -5879
13200 -5878.07
13300 -5877.27
13400 -5876.61
13500 -5876.14
13600 -5875.69
13700 -5875.41
13800 -5875.18
13900 -5875.11
14000 -5875.19
14100 -5875.26
14200 -5875.35
14300 -5875.5
14400 -5875.74
14500 -5876.15
14600 -5876.47
14700 -5877.14
14800 -5878.17
14900 -5879.65
15000 -5881.82
15100 -5884.55
15200 -5886.98
15300 -5888.57
15400 -5889.36
15500 -5889.76
15600 -5889.31
15700 -5887.9
15800 -5885.87
15900 -5883.32
16000 -5880.64
16100 -5878.41
16200 -5876.74
16300 -5875.67
16400 -5874.74
16500 -5874.12
16600 -5873.83
16700 -5873.65
16800 -5873.64
16900 -5874.05
17000 -5874.45
17100 -5875.11
17200 -5876.09
17300 -5877.48
17400 -5879.48
17500 -5882.23
17600 -5884.75
17700 -5887
17800 -5888.39
17900 -5889.14
18000 -5889.28
18100 -5888.79
18200 -5887.57
18300 -5885.35
18400 -5882.55
18500 -5879.45
18600 -5877.05
18700 -5875.7
18800 -5875.08
18900 -5874.68
19000 -5874.51
19100 -5874.33
19200 -5874.1
19300 -5874.09
19400 -5874.34
19500 -5874.57
19600 -5875.04
19700 -5875.84
19800 -5876.88
19900 -5877.89
20000 -5879.13
20100 -5880.67
20200 -5882.4
20300 -5884.02
20400 -5885.42
20500 -5886.51
20600 -5887.35
20700 -5887.61
20800 -5887.3
20900 -5886.02
21000 -5883.72
21100 -5880.59
21200 -5877.07
21300 -5874.18
21400 -5872.19
21500 -5871.16
21600 -5870.56
