# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -644325
200 -644329
300 -644335
400 -644341
500 -644345
600 -644348
700 -644352
800 -644362
900 -644381
1000 -644403
1100 -644421
1200 -644431
1300 -644436
1400 -644439
1500 -644441
1600 -644441
1700 -644439
1800 -644432
1900 -644419
2000 -644396
2100 -644366
2200 -644342
2300 -644322
2400 -644311
2500 -644307
2600 -644314
2700 -644326
2800 -644338
2900 -644349
3000 -644356
3100 -644363
3200 -644368
3300 -644371
3400 -644368
3500 -644357
3600 -644331
3700 -644288
3800 -644246
3900 -644220
4000 -644206
4100 -644201
4200 -644202
4300 -644209
4400 -644220
4500 -644232
4600 -644243
4700 -644250
4800 -644257
4900 -644264
5000 -644274
5100 -644286
5200 -644301
5300 -644319
5400 -644342
5500 -644366
5600 -644387
5700 -644399
5800 -644404
5900 -644404
6000 -644402
6100 -644397
6200 -644390
6300 -644378
6400 -644360
6500 -644334
6600 -644308
6700 -644283
6800 -644263
6900 -644250
7000 -644247
7100 -644255
7200 -644266
7300 -644282
7400 -644301
7500 -644323
7600 -644346
7700 -644362
7800 -644367
7900 -644365
8000 -644362
8100 -644357
8200 -644352
8300 -644343
8400 -644330
8500 -644312
8600 -644294
8700 -644280
8800 -644273
8900 -644271
9000 -644269
9100 -644265
9200 -644262
9300 -644258
9400 -644251
9500 -644239
9600 -644223
9700 -644205
9800 -644185
9900 -644168
10000 -644154
10100 -644146
10200 -644141
10300 -644133
10400 -644117
10500 -644100
10600 -644094
10700 -644105
10800 -644124
10900 -644148
11000 -644176
11100 -644203
11200 -644230
11300 -644253
11400 -644271
11500 -644285
11600 -644299
11700 -644312
11800 -644321
11900 -644332
12000 -644346
12100 -644361
12200 -644369
12300 -644368
12400 -644360
12500 -644350
12600 -644340
12700 -644325
12800 -644302
12900 -644270
13000 -644239
13100 -644220
13200 -644212
13300 -644211
13400 -644215
13500 -644224
13600 -644237
13700 -644252
13800 -644270
13900 -644289
14000 -644306
14100 -644315
14200 -644316
14300 -644312
14400 -644307
14500 -644304
14600 -644299
14700 -644291
14800 -644277
14900 -644258
15000 -644238
15100 -644215
15200 -644195
15300 -644179
15400 -644169
15500 -644166
