# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -159234
200 -159236
300 -159241
400 -159252
500 -159269
600 -159285
700 -159298
800 -159308
900 -159316
1000 -159323
1100 -159332
1200 -159340
1300 -159347
1400 -159353
1500 -159361
1600 -159370
1700 -159379
1800 -159386
1900 -159392
2000 -159396
2100 -159397
2200 -159397
2300 -159394
2400 -159389
2500 -159379
2600 -159365
2700 -159349
2800 -159334
2900 -159324
3000 -159319
3100 -159317
3200 -159318
3300 -159321
3400 -159325
3500 -159330
3600 -159336
3700 -159344
3800 -159351
3900 -159357
4000 -159362
4100 -159364
4200 -159365
4300 -159364
4400 -159359
4500 -159348
4600 -159329
4700 -159308
4800 -159293
4900 -159284
5000 -159278
5100 -159272
5200 -159267
5300 -159265
5400 -159267
5500 -159271
5600 -159278
5700 -159286
5800 -159295
5900 -159304
6000 -159313
6100 -159321
6200 -159328
6300 -159334
6400 -159340
6500 -159345
6600 -159348
6700 -159349
6800 -159348
6900 -159347
7000 -159345
7100 -159340
7200 -159333
7300 -159319
7400 -159302
7500 -159287
7600 -159278
7700 -159273
7800 -159272
7900 -159274
8000 -159284
8100 -159300
8200 -159317
8300 -159329
8400 -159338
8500 -159346
8600 -159354
8700 -159362
8800 -159369
8900 -159373
9000 -159375
9100 -159376
9200 -159375
9300 -159373
9400 -159369
9500 -159363
9600 -159353
9700 -159339
9800 -159323
9900 -159310
10000 -159303
10100 -159300
10200 -159297
10300 -159294
10400 -159291
10500 -159289
10600 -159287
10700 -159288
10800 -159289
10900 -159292
11000 -159298
11100 -159307
11200 -159318
11300 -159332
11400 -159346
11500 -159357
11600 -159364
11700 -159366
11800 -159364
11900 -159361
12000 -159358
12100 -159354
12200 -159349
12300 -159343
12400 -159338
12500 -159333
12600 -159329
12700 -159326
12800 -159323
12900 -159321
13000 -159320
13100 -159322
13200 -159326
13300 -159331
13400 -159338
13500 -159347
13600 -159357
13700 -159365
13800 -159371
13900 -159375
14000 -159376
14100 -159377
14200 -159377
14300 -159378
14400 -159377
14500 -159375
14600 -159371
14700 -159366
14800 -159363
14900 -159359
15000 -159355
15100 -159351
15200 -159345
15300 -159339
15400 -159333
15500 -159326
15600 -159319
15700 -159313
15800 -159309
15900 -159307
16000 -159305
16100 -159304
16200 -159304
16300 -159304
16400 -159304
16500 -159304
16600 -159304
16700 -159304
16800 -159304
16900 -159304
17000 -159304
17100 -159304
17200 -159301
17300 -159296
17400 -159289
17500 -159279
17600 -159268
17700 -159258
17800 -159251
17900 -159246
18000 -159249
18100 -159256
18200 -159268
18300 -159283
18400 -159297
18500 -159310
18600 -159319
18700 -159327
18800 -159332
18900 -159335
19000 -159338
19100 -159342
19200 -159345
19300 -159348
19400 -159350
19500 -159354
19600 -159358
19700 -159362
19800 -159364
19900 -159362
20000 -159358
20100 -159353
20200 -159345
20300 -159332
20400 -159317
20500 -159303
20600 -159294
20700 -159289
20800 -159289
20900 -159292
21000 -159297
21100 -159305
21200 -159312
21300 -159320
21400 -159327
21500 -159333
21600 -159338
21700 -159341
21800 -159342
21900 -159343
22000 -159342
22100 -159335
22200 -159320
22300 -159298
22400 -159278
22500 -159266
22600 -159261
22700 -159258
22800 -159257
22900 -159258
23000 -159260
23100 -159266
23200 -159274
23300 -159284
23400 -159296
23500 -159308
23600 -159318
23700 -159325
23800 -159331
23900 -159336
24000 -159340
24100 -159342
24200 -159343
24300 -159343
24400 -159343
24500 -159344
24600 -159343
24700 -159342
24800 -159339
24900 -159335
25000 -159332
25100 -159328
25200 -159324
25300 -159318
25400 -159310
25500 -159302
25600 -159297
25700 -159297
25800 -159301
25900 -159308
26000 -159316
26100 -159325
26200 -159336
26300 -159346
26400 -159354
26500 -159359
26600 -159362
26700 -159362
26800 -159359
26900 -159354
27000 -159348
27100 -159341
27200 -159332
27300 -159319
27400 -159304
27500 -159290
27600 -159283
27700 -159280
27800 -159278
27900 -159278
28000 -159277
28100 -159276
28200 -159275
28300 -159275
28400 -159276
28500 -159280
28600 -159285
28700 -159292
28800 -159299
28900 -159307
29000 -159314
29100 -159323
29200 -159333
29300 -159341
29400 -159348
29500 -159353
29600 -159356
29700 -159358
29800 -159358
29900 -159354
30000 -159345
30100 -159329
30200 -159309
30300 -159293
30400 -159282
30500 -159276
30600 -159275
30700 -159279
30800 -159286
30900 -159295
31000 -159306
31100 -159317
31200 -159329
31300 -159338
31400 -159345
31500 -159350
31600 -159351
31700 -159352
31800 -159353
31900 -159352
32000 -159350
32100 -159345
32200 -159338
32300 -159328
32400 -159316
32500 -159303
32600 -159291
32700 -159280
32800 -159272
32900 -159267
33000 -159264
33100 -159264
33200 -159265
33300 -159269
33400 -159272
33500 -159274
33600 -159276
33700 -159280
33800 -159286
33900 -159293
34000 -159300
34100 -159307
34200 -159315
34300 -159322
34400 -159329
34500 -159337
34600 -159345
34700 -159352
34800 -159360
34900 -159368
35000 -159375
35100 -159382
35200 -159388
35300 -159392
35400 -159392
35500 -159388
35600 -159379
35700 -159366
35800 -159353
35900 -159340
36000 -159330
36100 -159322
36200 -159317
36300 -159313
36400 -159310
36500 -159309
36600 -159310
36700 -159314
36800 -159319
36900 -159324
37000 -159330
37100 -159339
37200 -159351
37300 -159363
37400 -159373
37500 -159380
37600 -159384
37700 -159384
37800 -159379
37900 -159366
38000 -159345
38100 -159327
38200 -159314
38300 -159307
38400 -159301
38500 -159296
38600 -159292
38700 -159290
38800 -159288
38900 -159287
39000 -159286
39100 -159286
39200 -159285
39300 -159284
39400 -159284
39500 -159285
39600 -159287
39700 -159290
39800 -159294
39900 -159296
40000 -159297
