# Time-averaged data for fix myat3
# TimeStep v_myeng
100 -5864.96
200 -5864.82
300 -5864.5
400 -5863.96
500 -5863.09
600 -5861.89
700 -5860.03
800 -5857.47
900 -5854.49
1000 -5851.43
1100 -5849.01
1200 -5847.47
1300 -5846.88
1400 -5847.68
1500 -5849.8
1600 -5852.7
1700 -5856.17
1800 -5859.23
1900 -5861.49
2000 -5862.88
2100 -5863.48
2200 -5863.92
2300 -5864.24
2400 -5864.38
2500 -5864.15
2600 -5864
2700 -5863.83
2800 -5863.52
2900 -5863.02
3000 -5862.23
3100 -5861.18
3200 -5859.77
3300 -5857.9
3400 -5856.01
3500 -5853.96
3600 -5852.19
3700 -5850.34
3800 -5849.17
3900 -5849.07
4000 -5849.87
4100 -5851.92
4200 -5855.31
4300 -5859.41
4400 -5863.04
4500 -5865.15
4600 -5866.36
4700 -5867.04
4800 -5867.43
4900 -5867.36
5000 -5866.91
5100 -5866.16
5200 -5865.38
5300 -5864.13
5400 -5862.45
5500 -5860.68
5600 -5858.48
5700 -5856.09
5800 -5853.85
5900 -5852.1
6000 -5850.92
6100 -5850.19
6200 -5849.98
6300 -5851.03
6400 -5854.1
6500 -5858.55
6600 -5862.97
6700 -5865.93
6800 -5867.8
6900 -5868.83
7000 -5869.24
7100 -5869.29
7200 -5869.18
7300 -5868.46
7400 -5867.29
7500 -5865.55
7600 -5863.48
7700 -5861.32
7800 -5859.11
7900 -5857.29
8000 -5855.93
8100 -5855.05
8200 -5854.54
8300 -5854.64
8400 -5855.26
8500 -5856.52
8600 -5858.22
8700 -5860.65
8800 -5864.16
8900 -5868.23
9000 -5871.39
9100 -5872.89
9200 -5873.45
9300 -5873.32
9400 -5872.56
9500 -5871.49
9600 -5870.21
9700 -5868.65
9800 -5866.73
9900 -5864.58
10000 -5862.78
10100 -5861.16
10200 -5859.56
10300 -5858.55
10400 -5857.92
10500 -5857.37
10600 -5856.98
10700 -5856.95
10800 -5857.45
10900 -5858.42
11000 -5859.97
11100 -5862.26
11200 -5865.75
11300 -5869.72
11400 -5872.41
11500 -5873.96
11600 -5874.54
11700 -5874.47
11800 -5873.68
11900 -5872.3
12000 -5870.83
12100 -5869.07
12200 -5867.19
12300 -5865.37
12400 -5863.85
12500 -5862.48
12600 -5861.49
12700 -5860.71
12800 -5860.21
12900 -5859.91
13000 -5859.65
13100 -5859.49
13200 -5859.53
13300 -5859.89
13400 -5860.6
13500 -5861.47
13600 -5863
13700 -5865.52
13800 -5868.82
13900 -5871.77
14000 -5874.07
14100 -5875.45
14200 -5875.93
14300 -5875.67
14400 -5874.74
14500 -5873.33
14600 -5871.47
14700 -5869.12
14800 -5867.09
14900 -5865.4
15000 -5864.14
15100 -5863.09
15200 -5862.26
15300 -5861.64
15400 -5861.09
15500 -5860.59
15600 -5860.11
15700 -5859.71
15800 -5859.45
15900 -5859.24
16000 -5859.21
16100 -5859.22
16200 -5859.62
16300 -5860.09
16400 -5861.21
16500 -5862.7
16600 -5864.85
16700 -5866.73
16800 -5868.33
16900 -5869.73
17000 -5870.82
17100 -5871.38
17200 -5871.47
17300 -5871.06
17400 -5869.9
17500 -5867.91
17600 -5864.89
17700 -5861.75
17800 -5858.99
17900 -5856.98
18000 -5855.84
18100 -5855.4
18200 -5855.37
18300 -5855.73
18400 -5856.51
18500 -5857.65
18600 -5858.98
18700 -5860.44
18800 -5861.97
18900 -5863.29
19000 -5864.78
19100 -5866.25
19200 -5867.25
19300 -5868.03
19400 -5868.72
19500 -5869.33
19600 -5869.75
19700 -5870.25
19800 -5870.64
19900 -5870.6
20000 -5869.9
20100 -5868.65
20200 -5867.06
20300 -5865.18
20400 -5862.82
20500 -5860.55
20600 -5858.54
20700 -5856.77
20800 -5855.3
20900 -5854.54
21000 -5854.2
21100 -5854.43
21200 -5855.2
21300 -5856.34
21400 -5858.27
21500 -5861
21600 -5863.86
21700 -5866.35
21800 -5868.33
21900 -5869.47
22000 -5870.05
22100 -5870.11
22200 -5869.95
22300 -5869.38
22400 -5868.59
22500 -5867.64
22600 -5866.56
22700 -5865.52
22800 -5864.6
22900 -5863.77
23000 -5863.03
23100 -5862.46
23200 -5861.86
23300 -5861.35
23400 -5860.91
23500 -5860.63
23600 -5860.53
23700 -5860.41
23800 -5860.28
23900 -5860.43
24000 -5860.55
24100 -5861.1
24200 -5862.22
24300 -5864.11
24400 -5866.99
24500 -5870.22
24600 -5872.68
24700 -5874.24
24800 -5875.04
24900 -5875.23
25000 -5874.59
25100 -5873.33
25200 -5871.47
25300 -5869.06
25400 -5866.35
25500 -5864.18
25600 -5862.32
25700 -5860.91
25800 -5860.09
25900 -5859.49
26000 -5859.25
26100 -5859.07
26200 -5859.23
26300 -5859.38
26400 -5859.99
26500 -5860.71
26600 -5861.94
26700 -5863.43
26800 -5865.42
26900 -5867.96
27000 -5870.81
27100 -5873.22
27200 -5874.84
27300 -5875.84
27400 -5875.91
27500 -5875.31
27600 -5874.12
27700 -5872.24
27800 -5869.72
27900 -5867.45
28000 -5865.78
28100 -5864.39
28200 -5863.45
28300 -5862.95
28400 -5862.53
28500 -5862.15
28600 -5861.77
28700 -5861.39
28800 -5860.94
28900 -5860.53
29000 -5860.26
29100 -5860.11
29200 -5860.12
29300 -5860.24
29400 -5860.3
29500 -5860.67
29600 -5861.31
29700 -5862.24
29800 -5863.55
29900 -5864.95
30000 -5866.42
30100 -5867.74
30200 -5868.77
30300 -5869.77
30400 -5870.57
30500 -5870.99
30600 -5870.82
30700 -5870.18
30800 -5868.89
30900 -5866.59
31000 -5863.58
31100 -5860.4
31200 -5857.71
31300 -5855.72
31400 -5854.62
31500 -5854.21
31600 -5854.37
31700 -5854.99
31800 -5855.92
31900 -5857.39
32000 -5859.21
32100 -5860.93
32200 -5862.68
32300 -5864.41
32400 -5865.84
32500 -5866.67
32600 -5867.27
32700 -5867.55
32800 -5867.52
32900 -5867.14
33000 -5866.74
33100 -5866.17
33200 -5865.91
33300 -5865.42
33400 -5864.75
33500 -5864.25
33600 -5863.44
33700 -5862.22
33800 -5861.12
33900 -5860.09
34000 -5859.15
34100 -5858
34200 -5856.86
34300 -5855.69
34400 -5854.23
34500 -5852.75
34600 -5851.73
34700 -5851.09
34800 -5851.17
34900 -5851.88
35000 -5853.48
35100 -5856.15
35200 -5859.57
35300 -5862.52
35400 -5864.97
35500 -5866.46
35600 -5867.44
35700 -5868
35800 -5868.17
35900 -5868.31
36000 -5868.08
36100 -5867.23
36200 -5865.99
36300 -5864.06
36400 -5861.46
36500 -5858.55
36600 -5855.6
36700 -5853.36
36800 -5851.89
36900 -5851.02
37000 -5851.03
37100 -5851.91
37200 -5853.19
37300 -5854.39
37400 -5855.5
37500 -5856.37
37600 -5857.55
37700 -5858.51
37800 -5859.64
37900 -5860.86
38000 -5862.09
38100 -5863.11
38200 -5863.92
38300 -5864.86
38400 -5865.72
38500 -5866.32
38600 -5866.92
38700 -5867.56
38800 -5868.18
38900 -5868.54
39000 -5868.65
39100 -5868.61
39200 -5868.08
39300 -5866.99
39400 -5865.54
39500 -5863.6
39600 -5861.43
39700 -5859.15
39800 -5857.11
39900 -5855.61
40000 -5854.63
