#######x              Curve3
0.00816482              4.0024
0.0448845              4.0024
0.106084              4.0024
0.142804              4.0024
0.167284              4.0024
0.216243              4.0024
0.240723              4.0024
0.277443              4.0024
0.301922              4.0024
0.338642              4.0024
0.363122              4.0024
0.387602              4.0024
0.412082              4.0024
0.448801              4.0024
0.473281              4.0024
0.497761              4.0024
0.534481              4.0024
0.55896              4.0024
0.59568              4.0024
0.62016              4.0024
0.65688              4.0024
0.681359              4.0024
0.718079              4.0024
0.742559              4.0024
0.779279              4.0024
0.791519              4.0024
0.828238              4.0024
0.864958              4.0024
0.901678              4.0024
0.938397              4.0024
0.975117              4.0024
0.999597              4.0024
1.02408              4.0024
1.04856              4.0024
1.07304              4.0024
1.09752              4.0024
1.122              4.0024
1.14648              4.0024
1.17096              4.0024
1.1832              4.0024
1.20768              4.0024
1.21992              4.0024
1.25663              4.0024
1.29335              4.0024
1.33007              4.0024
1.36679              4.0024
1.39127              4.0024
1.42799              4.0024
1.44023              4.0024
1.47695              4.0024
1.50143              4.0024
1.52591              4.0024
1.55039              4.0024
1.57487              4.0024
1.59935              4.0024
1.62383              4.0024
1.64831              4.0024
1.67281              4.00958
1.70953              4.00958
1.73402              4.01677
1.77075              4.02395
1.78301              4.03114
1.79528              4.04551
1.80753              4.05269
1.8198              4.06707
1.83207              4.08144
1.84434              4.09581
1.85661              4.11018
1.86889              4.13174
1.88118              4.15329
1.89346              4.17485
1.90575              4.19641
1.91803              4.21796
1.93033              4.24671
1.94266              4.28982
1.95495              4.31856
1.96728              4.36168
1.9796              4.3976
1.99189              4.42635
1.99194              4.4479
2.00424              4.47665
2.01655              4.51257
2.01661              4.54132
2.02891              4.57006
2.02895              4.59162
2.04125              4.62036
2.05356              4.65629
2.05361              4.67784
2.0659              4.70659
2.07822              4.74251
2.09053              4.77844
2.09058              4.8
2.10287              4.82874
2.11519              4.86467
2.1275              4.9006
2.13981              4.93653
2.15214              4.97964
2.16445              5.01557
2.17675              5.04431
2.18905              5.07305
2.20134              5.09461
2.21365              5.13054
2.22593              5.1521
2.23822              5.17365
2.2505              5.19521
2.2628              5.22395
2.27508              5.24551
2.29961              5.26707
2.32412              5.28144
2.36085              5.28862
2.38533              5.28862
2.40978              5.27425
2.43422              5.25269
2.45865              5.23114
2.48306              5.19521
2.49527              5.18084
2.51969              5.1521
2.54408              5.10898
2.55628              5.08743
2.56849              5.07305
2.5807              5.05868
2.59288              5.02994
2.60509              5.01557
2.62951              4.98683
2.6539              4.94371
2.67834              4.92216
2.69055              4.90778
2.70275              4.88623
2.7272              4.87186
2.75163              4.8503
2.76384              4.83593
2.78829              4.82156
2.80052              4.81437
2.83721              4.8
2.87391              4.79281
2.91062              4.78563
2.94735              4.79281
2.98407              4.79281
2.99633              4.8
3.02081              4.8
3.04532              4.81437
3.09431              4.82874
3.11882              4.84311
3.15558              4.86467
3.18009              4.87904
3.22908              4.89341
3.2536              4.91497
3.27812              4.93653
3.30263              4.9509
3.32714              4.96527
3.35165              4.97964
3.37616              4.99401
3.41292              5.01557
3.43743              5.02994
3.4742              5.0515
3.51096              5.07305
3.52323              5.08743
3.55998              5.1018
3.59673              5.11617
3.62122              5.12335
3.68245              5.13772
3.71919              5.14491
3.76815              5.14491
3.81711              5.14491
3.86605              5.13772
3.92723              5.13054
3.96394              5.12335
4.00063              5.10898
4.06182              5.1018
4.09851              5.08743
4.14744              5.07305
4.20861              5.05868
4.24533              5.05868
4.28203              5.0515
4.31874              5.04431
4.3677              5.04431
4.4044              5.03713
4.45335              5.02994
4.50229              5.02275
4.55125              5.02275
4.58797              5.02275
4.64915              5.01557
4.68586              5.00838
4.74706              5.00838
4.796              5.0012
4.84495              4.99401
4.89391              4.99401
4.93061              4.98683
4.97956              4.97964
5.02852              4.97964
5.06524              4.97964
5.0897              4.97246
5.1509              4.97246
5.19985              4.96527
5.23657              4.96527
5.28553              4.96527
5.33447              4.95808
5.39567              4.95808
5.43239              4.95808
5.46911              4.95808
5.51809              4.96527
5.5548              4.96527
5.60376              4.96527
5.65274              4.97246
5.7017              4.97246
5.76291              4.97964
5.82411              4.97964
5.84861              4.98683
5.88533              4.98683
5.95878              4.99401
6.00774              4.99401
6.08119              5.0012
6.15463              5.0012
6.20359              5.0012
6.25255              5.0012
6.30153              5.00838
6.36273              5.00838
6.41169              5.00838
6.46065              5.00838
6.50961              5.00838
6.54632              5.00838
6.59528              5.00838
6.64424              5.00838
6.6932              5.00838
6.74216              5.00838
6.79112              5.00838
6.82784              5.00838
6.86456              5.00838
6.90128              5.00838
6.95024              5.00838
6.98696              5.00838
7.02368              5.00838
7.07264              5.00838
7.1216              5.00838
7.15832              5.00838
7.19504              5.00838
7.23176              5.00838
7.26848              5.00838
7.3052              5.00838
7.34192              5.00838
7.37864              5.00838
7.41536              5.00838
7.45208              5.00838
7.4888              5.00838
7.52552              5.00838
7.57448              5.00838
7.59896              5.00838
7.63568              5.00838
7.6724              5.00838
7.70912              5.00838
7.7336              5.00838
7.78255              5.00838
7.81927              5.00838
7.86823              5.00838
7.90495              5.00838
7.95391              5.00838
8.00287              5.00838
8.02735              5.00838
8.06407              5.00838
8.11302              5.0012
8.14974              5.0012
8.1987              5.0012
8.24766              5.0012
8.28438              5.0012
8.33334              5.0012
8.37006              5.0012
8.41902              5.0012
8.44349              5.0012
8.48021              5.0012
8.51693              5.0012
8.55365              5.0012
8.59037              5.0012
8.62709              5.0012
8.67605              5.0012
8.72501              5.0012
8.76173              5.0012
8.79845              5.0012
8.83517              5.0012
8.88413              5.0012
8.92085              5.0012
8.95757              5.0012
8.98205              5.0012
9.01877              5.0012
9.06773              5.0012
9.10445              5.0012
9.14117              5.0012
9.17789              5.0012
9.21461              5.0012
9.25133              5.0012
9.28805              5.0012
9.31253              5.0012
9.34925              5.0012
9.38597              5.0012
9.42269              5.0012
9.45941              5.0012
9.49613              5.0012
9.53285              5.0012
9.56957              5.0012
9.60629              5.0012
9.65525              5.0012
9.7042              5.0012
9.74092              5.0012
9.77764              5.0012
9.81436              5.0012
9.85108              5.0012
9.8878              5.0012
9.92452              5.0012
9.96124              5.0012
9.98572              5.0012
10.0224              5.0012
