#############x              Curve2
0.00510118              2.5006
0.16422              2.5006
0.274379              2.5006
0.409018              2.5006
0.506937              2.5006
0.604856              2.5006
0.678296              2.5006
0.739495              2.5006
0.812935              2.5006
0.898614              2.5006
0.972053              2.5006
1.04549              2.5006
1.11893              2.5006
1.16789              2.5006
1.22909              2.5006
1.27807              2.50778
1.32705              2.52216
1.35156              2.53653
1.37607              2.5509
1.40064              2.59401
1.41294              2.62275
1.43746              2.64431
1.44978              2.68024
1.46207              2.70898
1.47437              2.73772
1.48666              2.75928
1.49897              2.79521
1.51127              2.82395
1.52358              2.85988
1.53588              2.88862
1.54819              2.92455
1.56051              2.96048
1.57282              2.99641
1.57288              3.02515
1.58519              3.06108
1.59749              3.08982
1.60979              3.11856
1.6221              3.15449
1.62215              3.17605
1.63443              3.1976
1.64676              3.24072
1.6468              3.26228
1.65909              3.28383
1.67138              3.31257
1.67143              3.33413
1.68371              3.35569
1.696              3.37725
1.69604              3.3988
1.70832              3.42036
1.72061              3.44192
1.73291              3.47066
1.7452              3.4994
1.75749              3.52096
1.782              3.53533
1.79425              3.54251
1.81875              3.5497
1.8432              3.53533
1.86765              3.52096
1.87984              3.4994
1.89204              3.47784
1.90424              3.45629
1.9164              3.42036
1.91643              3.43473
1.9286              3.3988
1.94079              3.37725
1.95298              3.3485
1.96516              3.31976
1.97735              3.2982
1.98953              3.26946
2.00172              3.24072
2.01387              3.1976
2.0139              3.21198
2.02605              3.16886
2.03824              3.14731
2.05043              3.11856
2.06259              3.08263
2.06262              3.09701
2.0748              3.06826
2.08695              3.02515
2.087              3.04671
2.09917              3.01078
2.11138              2.99641
2.12359              2.98204
2.13578              2.96048
2.14799              2.94611
2.16019              2.92455
2.1724              2.91018
2.18461              2.89581
2.19684              2.88862
2.22127              2.86707
2.24572              2.85269
2.27014              2.82395
2.29459              2.80958
2.31904              2.79521
2.34349              2.78084
2.36796              2.77365
2.39242              2.76647
2.4169              2.76647
2.44138              2.76647
2.46586              2.76647
2.49036              2.77365
2.51485              2.78084
2.53935              2.78802
2.56386              2.8024
2.58838              2.82395
2.61289              2.83832
2.63741              2.85988
2.66194              2.88144
2.67422              2.90299
2.68649              2.91737
2.69877              2.93892
2.72331              2.96766
2.7356              2.98922
2.74788              3.01078
2.76015              3.02515
2.77243              3.04671
2.78472              3.06826
2.797              3.08982
2.79703              3.10419
2.8093              3.11856
2.82158              3.14012
2.83387              3.16168
2.8339              3.17605
2.84617              3.19042
2.8462              3.20479
2.85846              3.21916
2.87076              3.2479
2.88306              3.27665
2.89535              3.2982
2.89537              3.31257
2.90764              3.32695
2.91994              3.35569
2.93226              3.39162
2.94454              3.41317
2.95684              3.44192
2.96914              3.47066
2.98143              3.4994
2.99375              3.53533
3.00605              3.56407
3.01835              3.59281
3.03064              3.62156
3.04293              3.64311
3.05521              3.66467
3.06751              3.69341
3.07981              3.72216
3.09209              3.74371
3.10438              3.76527
3.12891              3.79401
3.14121              3.82275
3.1535              3.84431
3.16577              3.85868
3.1903              3.88743
3.21483              3.90898
3.23935              3.93054
3.2761              3.94491
3.31284              3.9521
3.33732              3.9521
