# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0.403027 0.0256959
14 1.35 0.0575928 0.0299786
15 1.45 0 0.0299786
16 1.55 0 0.0299786
17 1.65 0 0.0299786
18 1.75 0 0.0299786
19 1.85 0 0.0299786
20 1.95 0 0.0299786
21 2.05 0 0.0299786
22 2.15 0 0.0299786
23 2.25 0.000230768 0.0300262
24 2.35 1.41619 0.349025
25 2.45 1.00775 0.595761
26 2.55 0.769712 0.799909
27 2.65 5.54972 2.38955
28 2.75 1.86286 2.96415
29 2.85 0.538092 3.14242
30 2.95 0.215533 3.21892
31 3.05 0.0921906 3.25389
32 3.15 0.164041 3.32028
33 3.25 0.309634 3.45367
34 3.35 0.54228 3.70189
35 3.45 0.719572 4.05124
36 3.55 0.994665 4.5625
37 3.65 1.23547 5.23381
38 3.75 1.32152 5.99176
39 3.85 1.33781 6.80054
40 3.95 1.37223 7.67378
41 4.05 1.41481 8.62026
42 4.15 1.452 9.64017
43 4.25 1.36184 10.6434
44 4.35 1.18778 11.5601
45 4.45 1.0758 12.4289
46 4.55 1.00785 13.2799
47 4.65 0.907086 14.0798
48 4.75 0.894353 14.9028
49 4.85 0.892824 15.7593
50 4.95 0.864472 16.6232
51 5.05 0.837375 17.4942
52 5.15 0.824754 18.3863
53 5.25 0.821213 19.3095
54 5.35 0.832132 20.2808
55 5.45 0.82738 21.2831
56 5.55 0.856348 22.3589
57 5.65 0.923783 23.5616
58 5.75 0.99987 24.9099
59 5.85 1.05003 26.3755
60 5.95 1.07595 27.929
61 6.05 1.09887 29.5694
62 6.15 1.12815 31.3097
63 6.25 1.14947 33.1409
64 6.35 1.08075 34.9182
65 6.45 1.03813 36.6796
66 6.55 1.02005 38.4644
67 6.65 1.01689 40.2985
68 6.75 1.01343 42.1816
69 6.85 1.00358 44.1022
70 6.95 0.972515 46.018
71 7.05 0.962571 47.9691
72 7.15 0.960063 49.9708
73 7.25 0.975147 52.0612
74 7.35 0.987878 54.2378
75 7.45 0.991269 56.4816
76 7.55 0.993861 58.7922
77 7.65 1.00353 61.1874
78 7.75 1.0207 63.6877
79 7.85 1.03445 66.2874
80 7.95 1.03152 68.9463
81 8.05 1.02453 71.654
82 8.15 1.00237 74.3694
83 8.25 0.997408 77.138
84 8.35 0.999269 79.9795
85 8.45 0.990611 82.8642
86 8.55 0.994029 85.8277
87 8.65 1.01313 88.9194
88 8.75 1.00194 92.0479
89 8.85 0.986444 95.1989
90 8.95 0.975931 98.387
91 9.05 0.982769 101.67
92 9.15 1.0007 105.087
93 9.25 0.997543 108.568
94 9.35 0.995562 112.117
95 9.45 0.99952 115.758
96 9.55 1.0133 119.527
97 9.65 1.01977 123.4
98 9.75 1.01668 127.341
99 9.85 1.00793 131.33
100 9.95 1.00189 135.375
