# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 6.46006 1.33333
6 1.1 0 1.33333
7 1.3 0 1.33333
8 1.5 1.17835 2.00714
9 1.7 0.369414 2.27837
10 1.9 0.716157 2.93505
11 2.1 0.614382 3.62313
12 2.3 0.653588 4.50107
13 2.5 0.712479 5.63169
14 2.7 0.826079 7.1606
15 2.9 0.950133 9.18915
16 3.1 1.08784 11.843
17 3.3 1.14282 15.0021
18 3.5 1.10137 18.4268
19 3.7 1.1051 22.267
20 3.9 1.06901 26.394
21 4.1 1.04055 30.8337
22 4.3 1.04702 35.7473
23 4.5 1.0288 41.035
24 4.7 1.019 46.748
25 4.9 1.01272 52.9193
26 5.1 0.977032 59.369
27 5.3 0.958358 66.2013
28 5.5 0.981605 73.7373
29 5.7 0.946657 81.5432
30 5.9 0.962911 90.05
31 6.1 0.98879 99.3876
32 6.3 0.978457 109.243
33 6.5 1.0137 120.113
34 6.7 1.00484 131.56
35 6.9 1.01998 143.884
36 7.1 1.02392 156.984
37 7.3 1.01577 170.721
38 7.5 1.01442 185.202
39 7.7 1.01972 200.545
40 7.9 1.01444 216.612
41 8.1 0.980655 232.941
42 8.3 0.983613 250.137
43 8.5 0.994941 268.38
44 8.7 0.998775 287.565
45 8.9 0.984788 307.36
46 9.1 0.994963 328.27
47 9.3 0.997963 350.174
48 9.5 1.00077 373.095
49 9.7 1.01343 397.293
50 9.9 0.991152 421.946
100 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0.51514 0.0513919
5 0.9 1.27589 0.261242
6 1.1 1.0589 0.521056
7 1.3 1.22566 0.940757
8 1.5 0.350878 1.10064
9 1.7 0.324501 1.29051
10 1.9 0.51382 1.66595
11 2.1 0.643017 2.23983
12 2.3 0.852187 3.15203
13 2.5 0.923432 4.31977
14 2.7 1.01147 5.81156
15 2.9 1.13525 7.74304
16 3.1 1.11765 9.91577
17 3.3 1.13666 12.4197
18 3.5 1.0324 14.9779
19 3.7 0.999613 17.7459
20 3.9 1.01064 20.8551
21 4.1 0.980804 24.1899
22 4.3 0.960033 27.7802
23 4.5 1.00034 31.8772
24 4.7 0.998509 36.3383
25 4.9 1.02127 41.2976
26 5.1 1.00788 46.5996
27 5.3 1.01668 52.3754
28 5.5 0.980264 58.3726
29 5.7 1.00154 64.9536
30 5.9 0.998675 71.9843
31 6.1 0.984348 79.3919
32 6.3 0.987938 87.3219
33 6.5 1.00176 95.8815
34 6.7 0.991598 104.884
35 6.9 1.00375 114.548
36 7.1 1.01773 124.924
37 7.3 1.00843 135.792
38 7.5 1.00431 147.216
39 7.7 1.00259 159.238
40 7.9 0.992506 171.764
41 8.1 1.00295 185.072
42 8.3 0.989836 198.862
43 8.5 0.983962 213.239
44 8.7 1.01814 228.824
