# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0.968156 0.0651392
9 1.7 4.50027 0.453919
10 1.9 0.0401159 0.458244
11 2.1 0.171879 0.480899
12 2.3 0.634081 0.581113
13 2.5 0.813553 0.733019
14 2.7 0.355028 0.810321
15 2.9 0.744141 0.997259
16 3.1 0.491787 1.13842
17 3.3 0.617761 1.33936
18 3.5 0.443877 1.50176
19 3.7 0.317719 1.63165
20 3.9 0.474664 1.84728
21 4.1 0.492098 2.09435
22 4.3 0.562326 2.40488
23 4.5 0.796566 2.88655
24 4.7 1.02279 3.56128
25 4.9 1.1524 4.38767
26 5.1 1.21608 5.33221
27 5.3 1.23837 6.37101
28 5.5 1.17437 7.43173
29 5.7 1.16514 8.56214
30 5.9 1.19689 9.80642
31 6.1 1.19822 11.1377
32 6.3 1.15433 12.5058
33 6.5 1.11624 13.914
34 6.7 1.04893 15.32
35 6.9 1.02586 16.7785
36 7.1 1.01973 18.3135
37 7.3 0.989652 19.8883
38 7.5 0.959272 21.4995
39 7.7 0.962312 23.2033
40 7.9 0.937479 24.9504
41 8.1 0.967627 26.846
42 8.3 1.01188 28.9274
43 8.5 1.00914 31.1046
44 8.7 1.00334 33.3725
45 8.9 1.00867 35.7582
46 9.1 0.998112 38.2262
47 9.3 0.994713 40.7951
48 9.5 0.978526 43.4321
49 9.7 0.970251 46.158
50 9.9 0.956588 48.9575
