# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0.000102788 1.2848e-06
11 1.05 0.000805002 1.32762e-05
12 1.15 0.00227507 5.42827e-05
13 1.25 0.197435 0.0115804
14 1.35 0.021485 0.0125128
15 1.45 0.0068947 0.0127569
16 1.55 0.000862032 0.0127884
17 1.65 0.00204885 0.0128764
18 1.75 0.0033332 0.0130361
19 1.85 0.00257212 0.0131726
20 1.95 0.00211758 0.0132953
21 2.05 0.00209858 0.0134277
22 2.15 0.00175707 0.0135497
23 2.25 0.0100891 0.0144152
24 2.35 1.70687 0.352129
25 2.45 0.983185 0.569413
26 2.55 0.747959 0.743169
27 2.65 5.52637 2.21212
28 2.75 1.83518 2.72009
29 2.85 0.705098 2.91848
30 2.95 0.413373 3.03852
31 3.05 0.225684 3.10609
32 3.15 0.184514 3.16744
33 3.25 0.299065 3.28061
34 3.35 0.500041 3.48874
35 3.45 0.666106 3.78542
36 3.55 0.914366 4.2191
37 3.65 1.1165 4.77928
38 3.75 1.214 5.42248
39 3.85 1.30223 6.14866
40 3.95 1.3799 6.95843
41 4.05 1.39608 7.81698
42 4.15 1.3087 8.65727
43 4.25 1.20774 9.46776
44 4.35 1.11236 10.2457
45 4.45 1.03642 10.9989
46 4.55 0.985941 11.7481
47 4.65 0.939697 12.4923
48 4.75 0.881515 13.2153
49 4.85 0.859483 13.9461
50 4.95 0.863204 14.7124
51 5.05 0.891071 15.5379
52 5.15 0.911801 16.4192
53 5.25 0.902866 17.3248
54 5.35 0.880685 18.2414
55 5.45 0.901435 19.2171
56 5.55 0.928938 20.2599
57 5.65 0.953637 21.3707
58 5.75 0.985562 22.5609
59 5.85 1.01938 23.8405
60 5.95 1.05625 25.2134
61 6.05 1.08117 26.669
62 6.15 1.08269 28.1732
63 6.25 1.0581 29.6921
64 6.35 1.04834 31.2433
65 6.45 1.04226 32.8343
66 6.55 1.02596 34.4492
67 6.65 1.01686 36.0979
68 6.75 1.00004 37.7675
69 6.85 0.97685 39.4473
70 6.95 0.966091 41.1543
71 7.05 0.971123 42.9235
72 7.15 0.972617 44.7459
73 7.25 0.980712 46.6374
74 7.35 0.986607 48.5947
75 7.45 0.995855 50.6245
76 7.55 1.00569 52.7325
77 7.65 1.00705 54.8973
78 7.75 1.00852 57.1229
79 7.85 1.00611 59.3984
80 7.95 1.00991 61.7427
81 8.05 1.01215 64.1527
82 8.15 1.00419 66.5999
83 8.25 1.00029 69.0981
84 8.35 1.0004 71.6572
85 8.45 1.00166 74.2831
86 8.55 1.01401 77.0076
87 8.65 1.01625 79.8007
88 8.75 1.01744 82.6663
89 8.85 1.01596 85.5947
90 8.95 1.01294 88.5793
91 9.05 0.999292 91.5882
92 9.15 0.993279 94.6427
93 9.25 0.995687 97.7706
94 9.35 0.991044 100.95
95 9.45 0.99515 104.209
96 9.55 0.992076 107.53
97 9.65 0.986175 110.898
98 9.75 0.987419 114.34
99 9.85 0.989629 117.861
100 9.95 0.995257 121.478
