# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
40000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 7.57658 0.847901
8 1.5 0.273618 0.888651
9 1.7 0.0848795 0.904882
10 1.9 0.0217032 0.910064
11 2.1 0 0.910064
12 2.3 0.144392 0.960578
13 2.5 0.0678264 0.988608
14 2.7 1.34826 1.6385
15 2.9 0.188613 1.74336
16 3.1 0.0323893 1.76394
17 3.3 0.977958 2.46801
18 3.5 0.615128 2.96615
19 3.7 0.471031 3.39246
20 3.9 0.96757 4.36533
21 4.1 1.3503 5.86582
22 4.3 1.42192 7.60377
23 4.5 1.3539 9.416
24 4.7 1.3388 11.3709
25 4.9 1.36627 13.5393
26 5.1 1.3035 15.7803
27 5.3 1.1771 17.9657
28 5.5 1.06427 20.0937
29 5.7 0.975007 22.1874
30 5.9 0.913805 24.29
31 6.1 0.870298 26.4303
32 6.3 0.844742 28.6464
33 6.5 0.827566 30.9575
34 6.7 0.840252 33.4506
35 6.9 0.889467 36.2497
36 7.1 0.9207 39.3172
37 7.3 0.965703 42.7186
38 7.5 1.00954 46.4719
39 7.7 1.03309 50.5202
40 7.9 1.05404 54.8681
41 8.1 1.06335 59.4791
42 8.3 1.07209 64.3605
43 8.5 1.06526 69.4473
44 8.7 1.05933 74.7467
45 8.9 1.04545 80.2199
46 9.1 1.02551 85.8327
47 9.3 1.00564 91.5814
48 9.5 0.982863 97.4441
49 9.7 0.96601 103.451
50 9.9 0.981296 109.808
